,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,n_considered,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered
0,0,w2d80146,Red,1.0,5146.0,1,1,1,choice,1,1,6,-8.0,5,5,1,2
1,1,w2d80146,Yellow,0.0,5130.0,1,2,1,choice,2,1,-4,13.0,5,5,1,1
2,2,w2d80146,Object,0.0,2796.0,1,3,1,choice,1,2,-7,-7.0,5,5,1,2
3,3,w2d80146,Scene,1.0,1079.0,1,4,1,choice,2,2,2,13.0,5,5,2,2
4,4,w2d80146,Blue,1.0,2536.0,0,5,1,choice,3,6,-2,-6.0,5,5,3,3
5,5,w2d80146,Animal,1.0,3475.0,1,6,1,choice,3,2,5,-7.0,5,5,2,2
6,6,w2d80146,Food,1.0,5002.0,0,1,2,choice,1,0,-2,-2.0,4,4,0,0
7,7,w2d80146,Object,1.0,2951.0,1,2,2,choice,3,1,3,-7.0,4,4,3,3
8,8,w2d80146,Red,0.0,2417.0,1,3,2,choice,2,2,-5,-3.0,4,4,2,2
9,9,w2d80146,Blue,0.0,2888.0,1,4,2,choice,3,2,-1,-4.0,4,4,1,1
10,10,w2d80146,Yellow,1.0,2316.0,1,5,2,choice,1,1,6,6.0,4,4,1,2
11,11,w2d80146,Scene,1.0,2522.0,0,6,2,choice,2,1,-1,8.0,4,4,1,1
12,12,w2d80146,Yellow,1.0,1367.0,0,1,3,choice,3,2,-1,7.0,5,5,2,2
13,13,w2d80146,Food,0.0,2510.0,1,2,3,choice,1,1,-2,3.0,5,5,0,0
14,14,w2d80146,Green,1.0,2151.0,1,3,3,choice,2,2,1,13.0,5,5,2,2
15,15,w2d80146,Object,1.0,2405.0,1,4,3,choice,2,2,6,6.0,5,5,2,2
16,16,w2d80146,Red,1.0,3084.0,1,5,3,choice,1,1,7,4.0,5,5,1,1
17,17,w2d80146,Scene,1.0,1877.0,1,6,3,choice,3,3,3,15.0,5,5,3,3
18,18,w2d80146,Object,1.0,2800.0,1,1,4,choice,2,1,5,14.0,1,1,1,1
19,19,w2d80146,Red,1.0,2676.0,1,2,4,choice,3,0,1,5.0,1,1,0,0
20,20,w2d80146,Food,0.0,3301.0,1,3,4,choice,3,1,-3,9.0,1,1,0,1
21,21,w2d80146,Green,1.0,2773.0,1,4,4,choice,2,2,8,16.0,1,1,1,2
22,22,w2d80146,Animal,0.0,3971.0,0,5,4,choice,1,0,3,-4.0,1,1,0,0
23,23,w2d80146,Blue,1.0,4153.0,0,6,4,choice,1,1,-4,-2.0,1,1,0,1
24,24,w2d80146,Green,1.0,1240.0,1,1,5,choice,3,2,1,4.0,3,3,1,2
25,25,w2d80146,Blue,0.0,1918.0,1,2,5,choice,1,1,-8,-4.0,3,3,1,1
