,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,n_considered,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered
0,0,w7c1d29f,Red,0.0,1832.0,0,1,1,choice,1,1,2,2.0,4,4,1,1
1,1,w7c1d29f,Blue,0.0,3242.0,1,2,1,choice,3,2,-4,-4.0,4,4,2,2
2,2,w7c1d29f,Yellow,1.0,2277.0,0,3,1,choice,2,1,-5,8.0,4,4,1,1
3,3,w7c1d29f,Scene,0.0,5080.0,0,1,2,choice,3,2,3,1.0,6,6,3,3
4,4,w7c1d29f,Object,1.0,5931.0,1,2,2,choice,2,2,4,5.0,6,6,2,2
5,5,w7c1d29f,Food,0.0,3359.0,1,3,2,choice,1,1,-7,-8.0,6,6,1,1
6,6,w7c1d29f,Food,1.0,2484.0,0,1,3,choice,3,3,-3,2.0,6,6,3,3
7,7,w7c1d29f,Animal,0.0,4797.0,0,2,3,choice,1,0,9,6.0,6,6,1,1
8,8,w7c1d29f,Blue,0.0,3778.0,1,3,3,choice,2,1,-4,-1.0,6,6,2,2
9,9,w7c1d29f,Green,1.0,5062.0,0,1,4,choice,2,0,-4,-3.0,6,6,2,2
10,10,w7c1d29f,Yellow,0.0,3593.0,1,2,4,choice,1,1,-3,-4.0,6,6,1,1
11,11,w7c1d29f,Red,1.0,1632.0,1,3,4,choice,3,2,1,4.0,6,6,3,3
12,12,w7c1d29f,Animal,0.0,5005.0,1,1,5,choice,3,3,-1,-4.0,6,6,3,3
13,13,w7c1d29f,Scene,1.0,1734.0,0,2,5,choice,2,2,-7,9.0,6,6,2,2
14,14,w7c1d29f,Object,1.0,4263.0,1,3,5,choice,1,1,5,5.0,6,6,1,1
15,15,wfe9216a,Scene,1.0,7246.0,1,1,1,choice,3,1,5,-14.0,5,5,2,2
16,16,wfe9216a,Object,0.0,5883.0,1,2,1,choice,2,1,-4,-1.0,5,5,2,2
17,17,wfe9216a,Animal,0.0,3731.0,1,3,1,choice,1,1,-2,0.0,5,5,1,2
18,18,wfe9216a,Object,1.0,6613.0,0,1,2,choice,1,1,-7,-8.0,6,6,1,1
19,19,wfe9216a,Food,0.0,1011.0,0,2,2,choice,3,2,1,1.0,6,6,3,3
20,20,wfe9216a,Scene,1.0,5879.0,1,3,2,choice,2,1,1,-1.0,6,6,2,2
21,21,wfe9216a,Green,1.0,2241.0,1,1,3,choice,2,1,2,-9.0,3,3,1,1
22,22,wfe9216a,Animal,1.0,4574.0,0,2,3,choice,1,1,-8,0.0,3,3,1,1
23,23,wfe9216a,Yellow,1.0,4446.0,0,3,3,choice,3,1,-6,8.0,3,3,2,2
24,24,wfe9216a,Blue,1.0,2087.0,1,1,4,choice,3,2,1,0.0,4,4,3,3
25,25,wfe9216a,Yellow,1.0,2988.0,0,2,4,choice,1,1,-4,3.0,4,4,1,2
26,26,wfe9216a,Red,0.0,2107.0,0,3,4,choice,2,1,2,-2.0,4,4,0,1
27,27,wfe9216a,Blue,1.0,2722.0,1,1,5,choice,1,1,6,6.0,2,2,0,1
28,28,wfe9216a,Green,0.0,1695.0,1,2,5,choice,3,1,-1,-1.0,2,2,1,1
29,29,wfe9216a,Red,0.0,2822.0,1,3,5,choice,2,1,-1,6.0,2,2,1,1
30,30,w47f6859,Food,0.0,5449.0,1,1,1,choice,3,0,-1,-3.0,4,4,1,1
31,31,w47f6859,Object,1.0,1854.0,1,2,1,choice,1,1,3,-2.0,4,4,1,2
32,32,w47f6859,Animal,0.0,707.0,1,3,1,choice,2,1,-1,10.0,4,4,2,2
33,33,w47f6859,Scene,1.0,2881.0,0,1,2,choice,2,1,-5,13.0,5,5,2,2
