,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered
0,0,w18042a7,Pattern,1.0,2199.0,1,1,2,choice,4,1,2.0,1,1,1,1
1,1,w18042a7,Animal,0.0,2993.0,0,2,2,choice,2,4,2.0,1,1,0,0
2,2,w18042a7,Sea,0.0,4930.0,1,3,2,choice,1,-1,1.0,1,1,0,0
3,3,w18042a7,Large,0.0,938.0,0,4,2,choice,3,2,3.0,1,1,1,1
4,4,w18042a7,Small,1.0,2099.0,0,1,3,choice,4,-1,0.0,1,1,1,1
5,5,w18042a7,Animal,1.0,1755.0,1,2,3,choice,1,1,2.0,1,1,0,0
6,6,w18042a7,Sea,0.0,831.0,1,3,3,choice,3,-3,-3.0,1,1,0,0
7,7,w18042a7,Solid,1.0,975.0,0,4,3,choice,2,-1,-1.0,1,1,0,0
8,8,w18042a7,Object,1.0,2371.0,0,1,4,choice,2,-2,2.0,5,5,1,1
9,9,w18042a7,Large,0.0,837.0,0,2,4,choice,4,3,5.0,5,5,4,4
10,10,w18042a7,Land,0.0,1641.0,0,3,4,choice,1,1,1.0,5,5,1,1
11,11,w18042a7,Solid,1.0,2103.0,0,4,4,choice,3,-1,3.0,5,5,2,2
12,12,w18042a7,Land,0.0,3569.0,0,1,5,choice,1,1,1.0,5,5,1,1
13,13,w18042a7,Animal,1.0,2336.0,1,2,5,choice,4,3,3.0,5,5,4,4
14,14,w18042a7,Pattern,1.0,1280.0,0,3,5,choice,3,-1,-1.0,5,5,2,2
15,15,w18042a7,Small,1.0,1706.0,0,4,5,choice,2,-3,-3.0,5,5,1,1
16,16,w18042a7,Solid,1.0,2697.0,1,1,6,choice,3,4,4.0,4,4,2,2
17,17,w18042a7,Object,1.0,4064.0,1,2,6,choice,1,1,1.0,4,4,0,0
18,18,w18042a7,Large,1.0,2917.0,0,3,6,choice,2,-1,-1.0,4,4,1,1
19,19,w18042a7,Land,1.0,951.0,0,4,6,choice,4,-1,-1.0,4,4,2,2
20,20,w18042a7,Pattern,1.0,1635.0,0,1,7,choice,4,-1,-1.0,6,6,4,4
21,21,w18042a7,Object,0.0,3187.0,1,2,7,choice,3,-2,-2.0,6,6,3,3
22,22,w18042a7,Large,1.0,1142.0,0,3,7,choice,2,-1,-1.0,6,6,2,2
23,23,w18042a7,Sea,1.0,2031.0,1,4,7,choice,1,2,2.0,6,6,1,1
24,24,w2b4a70d,Solid,1.0,2020.0,1,1,1,choice,1,1,1.0,3,3,0,2
25,25,w2b4a70d,Animal,1.0,3165.0,0,2,1,choice,4,-1,1.0,3,3,1,3
26,26,w2b4a70d,Large,1.0,1584.0,0,3,1,choice,2,-3,1.0,3,3,1,3
27,27,w2b4a70d,Land,1.0,3420.0,0,4,1,choice,3,-5,0.0,3,3,1,2
28,28,w2b4a70d,Animal,1.0,2477.0,1,1,2,choice,4,2,0.0,4,4,2,2
29,29,w2b4a70d,Small,1.0,3839.0,0,2,2,choice,3,-2,-2.0,4,4,2,2
30,30,w2b4a70d,Sea,0.0,4056.0,1,3,2,choice,2,-1,2.0,4,4,2,2
31,31,w2b4a70d,Pattern,0.0,1272.0,1,4,2,choice,1,-1,-1.0,4,4,0,1
32,32,w2b4a70d,Object,1.0,1970.0,1,1,3,choice,4,4,0.0,4,4,3,4
33,33,w2b4a70d,Large,1.0,3943.0,1,2,3,choice,1,1,2.0,4,4,0,1
34,34,w2b4a70d,Pattern,0.0,1014.0,1,3,3,choice,3,-2,1.0,4,4,1,1
35,35,w2b4a70d,Land,1.0,4252.0,1,4,3,choice,2,1,-1.0,4,4,2,4
36,36,w2b4a70d,Solid,1.0,1833.0,1,1,4,choice,3,1,3.0,5,5,3,3
37,37,w2b4a70d,Animal,1.0,919.0,0,2,4,choice,4,-2,1.0,5,5,4,4
38,38,w2b4a70d,Small,0.0,2722.0,0,3,4,choice,2,1,0.0,5,5,2,2
39,39,w2b4a70d,Land,0.0,1890.0,0,4,4,choice,1,2,-1.0,5,5,0,0
40,40,w2b4a70d,Large,0.0,3200.0,1,1,5,choice,2,-4,1.0,5,5,1,1
41,41,w2b4a70d,Solid,1.0,3730.0,0,2,5,choice,3,-1,-1.0,5,5,2,2
42,42,w2b4a70d,Object,1.0,4210.0,1,3,5,choice,4,3,1.0,5,5,4,4
43,43,w2b4a70d,Sea,0.0,2857.0,0,4,5,choice,1,1,-1.0,5,5,1,1
44,44,w2b4a70d,Pattern,0.0,3598.0,0,1,6,choice,4,3,-1.0,4,4,2,2
45,45,w2b4a70d,Large,0.0,4940.0,1,2,6,choice,2,-2,0.0,4,4,2,3
46,46,w2b4a70d,Land,1.0,2937.0,0,3,6,choice,3,-1,1.0,4,4,2,2
47,47,w2b4a70d,Object,,,0,4,6,choice,1,1,-1.0,4,4,1,1
48,48,w2b4a70d,Animal,1.0,2905.0,1,1,7,choice,2,1,1.0,4,4,2,3
49,49,w2b4a70d,Small,0.0,2937.0,1,2,7,choice,1,-1,-1.0,4,4,1,2
50,50,w2b4a70d,Sea,1.0,1145.0,1,3,7,choice,3,2,3.0,4,4,3,4
51,51,w2b4a70d,Pattern,0.0,2125.0,0,4,7,choice,4,5,-2.0,4,4,3,4
52,52,w8f710ed,Animal,1.0,3162.0,1,1,1,choice,3,1,3.0,4,4,2,2
53,53,w8f710ed,Solid,0.0,1378.0,1,2,1,choice,4,-4,-2.0,4,4,2,2
54,54,w8f710ed,Small,0.0,3302.0,1,3,1,choice,1,-2,-2.0,4,4,0,0
55,55,w8f710ed,Land,1.0,4323.0,0,4,1,choice,2,-1,-1.0,4,4,2,2
56,56,w8f710ed,Pattern,0.0,3917.0,1,1,2,choice,1,-1,-1.0,6,6,1,1
57,57,w8f710ed,Land,1.0,3410.0,1,2,2,choice,2,1,1.0,6,6,2,2
58,58,w8f710ed,Object,1.0,1994.0,1,3,2,choice,4,2,2.0,6,6,4,4
59,59,w8f710ed,Small,0.0,1351.0,1,4,2,choice,3,-3,-3.0,6,6,3,3
60,60,w8f710ed,Large,0.0,6165.0,0,1,3,choice,2,2,-2.0,5,5,1,1
61,61,w8f710ed,Object,1.0,2342.0,1,2,3,choice,4,3,-1.0,5,5,3,3
62,62,w8f710ed,Solid,0.0,1119.0,1,3,3,choice,3,-2,-3.0,5,5,2,3
63,63,w8f710ed,Land,1.0,3795.0,0,4,3,choice,1,-2,-1.0,5,5,1,1
64,64,w8f710ed,Pattern,1.0,1262.0,1,1,4,choice,4,4,3.0,6,6,4,4
65,65,w8f710ed,Sea,0.0,1613.0,1,2,4,choice,3,-1,-1.0,6,6,3,3
66,66,w8f710ed,Large,1.0,1794.0,1,3,4,choice,2,3,3.0,6,6,2,2
67,67,w8f710ed,Animal,0.0,3242.0,0,4,4,choice,1,1,1.0,6,6,1,1
68,68,w8f710ed,Object,0.0,6391.0,1,1,5,choice,3,-1,-1.0,6,6,3,3
69,69,w8f710ed,Pattern,0.0,2983.0,1,2,5,choice,4,-2,-2.0,6,6,4,4
70,70,w8f710ed,Sea,1.0,1072.0,1,3,5,choice,2,3,3.0,6,6,2,2
71,71,w8f710ed,Large,0.0,1967.0,1,4,5,choice,1,-1,-1.0,6,6,1,1
72,72,w8f710ed,Object,,,0,1,6,choice,1,-1,-1.0,4,4,1,2
73,73,w8f710ed,Land,1.0,4294.0,0,2,6,choice,3,-1,-1.0,4,4,2,3
74,74,w8f710ed,Small,1.0,3704.0,1,3,6,choice,2,4,1.0,4,4,2,3
75,75,w8f710ed,Pattern,1.0,1896.0,1,4,6,choice,4,5,1.0,4,4,2,3
76,76,w8f710ed,Animal,1.0,1238.0,1,1,7,choice,3,3,3.0,3,3,1,2
77,77,w8f710ed,Small,1.0,6277.0,1,2,7,choice,4,1,1.0,3,3,1,2
78,78,w8f710ed,Solid,0.0,1576.0,1,3,7,choice,2,-2,-2.0,3,3,1,1
79,79,w8f710ed,Sea,0.0,2591.0,0,4,7,choice,1,1,1.0,3,3,0,1
80,80,wd697686,Land,1.0,6799.0,1,1,1,choice,1,2,1.0,3,3,1,4
81,81,wd697686,Solid,1.0,7056.0,1,2,1,choice,4,1,0.0,3,3,2,3
82,82,wd697686,Large,1.0,2630.0,1,3,1,choice,2,4,4.0,3,3,1,2
83,83,wd697686,Animal,0.0,771.0,1,4,1,choice,3,-2,1.0,3,3,2,2
