,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered
0,0,w593f4a8,Object,,,0,1,1,choice,After,Object,3,-1,-1.0,2,2,0,1
1,1,w593f4a8,Scene,0.0,1272.0,1,1,2,choice,Before,Scene,3,-3,-1.0,4,4,3,3
2,2,w593f4a8,Green,0.0,4210.0,1,1,3,choice,After,Green,1,-2,1.0,2,2,0,0
3,3,w593f4a8,Red,1.0,1442.0,1,1,4,choice,Before,Red,1,1,1.0,4,4,1,1
4,4,w593f4a8,Animal,,,0,1,5,choice,After,Animal,2,-1,0.0,6,6,2,2
5,5,w593f4a8,Red,1.0,908.0,1,1,6,choice,Before,Red,2,1,1.0,5,5,2,2
6,6,w593f4a8,Blue,1.0,1770.0,1,1,8,choice,Before,Blue,3,1,1.0,4,4,3,3
7,13,w13e388b,Object,,,0,1,1,choice,After,Object,2,-4,-1.0,4,4,1,2
8,14,w13e388b,Yellow,0.0,2255.0,1,1,2,choice,Before,Yellow,3,-2,-4.0,5,5,3,3
9,15,w13e388b,Animal,1.0,4999.0,0,1,3,choice,After,Animal,2,-1,1.0,4,4,2,3
10,16,w13e388b,Red,1.0,1127.0,0,1,4,choice,Before,Red,1,-1,-1.0,4,4,1,2
11,17,w13e388b,Scene,1.0,4942.0,1,1,5,choice,After,Scene,3,1,2.0,4,4,1,2
12,18,w13e388b,Food,1.0,997.0,1,1,6,choice,Before,Food,3,1,2.0,5,5,3,3
13,19,w13e388b,Red,0.0,4608.0,1,1,7,choice,After,Red,1,-2,-2.0,5,5,1,2
14,20,w13e388b,Object,1.0,692.0,1,1,8,choice,Before,Object,2,1,1.0,5,5,2,2
15,27,w479605b,Food,0.0,5016.0,1,1,1,choice,After,Food,1,-2,-2.0,4,4,1,1
16,28,w479605b,Object,,,0,1,2,choice,Before,Object,2,-3,-3.0,5,5,1,1
17,29,w479605b,Object,1.0,2752.0,0,1,3,choice,After,Object,1,-1,1.0,4,4,0,1
18,30,w479605b,Red,1.0,992.0,1,1,4,choice,Before,Red,3,1,3.0,4,4,2,2
19,31,w479605b,Animal,1.0,2808.0,1,1,5,choice,After,Animal,3,2,0.0,4,4,1,1
20,32,w479605b,Red,0.0,1957.0,1,1,6,choice,Before,Red,2,-1,-1.0,4,4,2,2
21,33,w479605b,Scene,1.0,2866.0,1,1,7,choice,After,Scene,2,4,4.0,3,3,1,2
22,34,w479605b,Blue,0.0,1358.0,1,1,8,choice,Before,Blue,3,-2,-5.0,3,3,3,4
23,41,w383e1fe,Food,1.0,3678.0,0,1,1,choice,Before,Food,3,-3,-3.0,5,5,3,3
24,42,w383e1fe,Green,1.0,3747.0,0,1,2,choice,After,Green,2,-1,-1.0,6,6,2,2
25,43,w383e1fe,Object,1.0,1379.0,0,1,3,choice,Before,Object,3,-2,-2.0,6,6,3,3
26,44,w383e1fe,Animal,1.0,2556.0,0,1,4,choice,After,Animal,2,-1,-1.0,6,6,2,2
27,45,w383e1fe,Yellow,1.0,1264.0,1,1,5,choice,Before,Yellow,1,2,2.0,6,6,1,1
