wid,option,n_images_with_option,n_images_with_option_wid,recalled_n_images_with_option,n_total_memories,rt,correct,choice,nback_performance,log_rt
w2e9806f,Objects,7.0,7.0,3.0,10,7427.0,1.0,1.0,0.9333333333333333,8.912877287669296
w2e9806f,Clouds,2.0,2.0,0.0,10,3317.0,0.0,1.0,0.9333333333333333,8.106816038947052
w2e9806f,Produce ,6.0,6.0,4.0,10,1391.0,1.0,1.0,0.9333333333333333,7.237778191923443
w2e9806f,Things With Wheels,2.0,1.0,2.0,10,3877.0,1.0,1.0,0.9333333333333333,8.262816937670928
w2e9806f,Outdoor Scenes,12.0,12.0,5.0,10,3500.0,0.0,1.0,0.9333333333333333,8.160518247477505
w2e9806f,Animals,7.0,6.0,3.0,10,2779.0,0.0,1.0,0.9333333333333333,7.929846429742503
w2e9806f,Foods,7.0,4.0,4.0,10,5811.0,1.0,1.0,0.9333333333333333,8.667507952075105
w2e9806f,Birds,3.0,3.0,1.0,10,1347.0,1.0,2.0,0.9333333333333333,7.205635176410364
w2e9806f,Mammals,3.0,2.0,2.0,10,3163.0,1.0,1.0,0.9333333333333333,8.059276223305648
w2e9806f,Insects,1.0,1.0,0.0,10,1837.0,1.0,2.0,0.9333333333333333,7.515889085215125
w2e9806f,Sky,4.0,3.0,2.0,10,2305.0,0.0,1.0,0.9333333333333333,7.742835955430749
w2e9806f,Vegetables,3.0,3.0,1.0,10,2762.0,1.0,1.0,0.9333333333333333,7.923710333969238
w2e9806f,Pets,2.0,2.0,2.0,10,718.0,1.0,1.0,0.9333333333333333,6.576469569048224
w2e9806f,Berries,2.0,2.0,2.0,10,7270.0,0.0,2.0,0.9333333333333333,8.891511570527564
w2e9806f,Fruit,3.0,3.0,3.0,10,761.0,1.0,1.0,0.9333333333333333,6.634633357861686
w2e9806f,Dessert,1.0,0.0,0.0,10,3710.0,1.0,1.0,0.9333333333333333,8.21878715560148
w2e9806f,Grass,3.0,3.0,1.0,10,5221.0,1.0,2.0,0.9333333333333333,8.560444233410552
w2e9806f,Water,3.0,3.0,0.0,10,2238.0,0.0,1.0,0.9333333333333333,7.71333788887187
w2e9806f,Balls,3.0,3.0,0.0,10,1274.0,1.0,1.0,0.9333333333333333,7.149916836132109
w2e9806f,Beach,2.0,0.0,0.0,10,1087.0,0.0,1.0,0.9333333333333333,6.99117688712121
w2e9806f,Appliances,1.0,1.0,1.0,10,860.0,1.0,2.0,0.9333333333333333,6.756932389247553
w2e9806f,Vehicles,3.0,3.0,2.0,10,5132.0,1.0,1.0,0.9333333333333333,8.543250725735527
w2e9806f,Hands,2.0,2.0,1.0,10,6380.0,0.0,1.0,0.9333333333333333,8.760923376338836
w2e9806f,Things In Bowls,4.0,4.0,2.0,10,4846.0,1.0,1.0,0.9333333333333333,8.48590890137647
w2e9806f,Leaves,6.0,4.0,4.0,10,5659.0,0.0,1.0,0.9333333333333333,8.641002477142523
w2e9806f,Things That Fly,4.0,2.0,2.0,10,6495.0,1.0,2.0,0.9333333333333333,8.7787879291047
w2e9806f,Wild Animals,4.0,5.0,1.0,10,4324.0,1.0,2.0,0.9333333333333333,8.371936178759098
w2e9806f,Sports Court,2.0,2.0,0.0,10,4951.0,1.0,1.0,0.9333333333333333,8.507344855361422
w2e9806f,Sweet Foods,4.0,1.0,3.0,10,1654.0,1.0,1.0,0.9333333333333333,7.4109518755836366
wf57281a,Grass,3.0,2.0,1.0,12,3610.0,1.0,2.0,0.7666666666666667,8.191463051326927
wf57281a,Pets,2.0,3.0,2.0,12,631.0,1.0,1.0,0.7666666666666667,6.447305862541213
wf57281a,Appliances,1.0,1.0,0.0,12,1311.0,1.0,2.0,0.7666666666666667,7.1785454837637
wf57281a,Objects,7.0,13.0,4.0,12,1764.0,1.0,1.0,0.7666666666666667,7.475339236566737
wf57281a,Wild Animals,4.0,4.0,2.0,12,1285.0,1.0,2.0,0.7666666666666667,7.158513997329321
wf57281a,Things That Fly,4.0,4.0,3.0,12,4101.0,1.0,2.0,0.7666666666666667,8.31898612539206
wf57281a,Leaves,6.0,5.0,4.0,12,2046.0,0.0,1.0,0.7666666666666667,7.6236419465115715
wf57281a,Animals,7.0,7.0,4.0,12,3808.0,1.0,2.0,0.7666666666666667,8.244859395911256
wf57281a,Fruit,3.0,3.0,2.0,12,750.0,1.0,1.0,0.7666666666666667,6.620073206530356
wf57281a,Produce ,6.0,7.0,3.0,12,914.0,1.0,1.0,0.7666666666666667,6.81783057145415
wf57281a,Sky,4.0,2.0,2.0,12,3938.0,1.0,2.0,0.7666666666666667,8.278428259199071
wf57281a,Mammals,3.0,3.0,2.0,12,1144.0,1.0,1.0,0.7666666666666667,7.042286171939743
wf57281a,Things In Bowls,4.0,5.0,2.0,12,1282.0,0.0,2.0,0.7666666666666667,7.156176637480615
wf57281a,Vehicles,3.0,2.0,2.0,12,721.0,1.0,1.0,0.7666666666666667,6.580639137284949
wf57281a,Sports Court,2.0,2.0,2.0,12,5573.0,0.0,2.0,0.7666666666666667,8.625688787569537
wf57281a,Water,3.0,2.0,0.0,12,1121.0,0.0,1.0,0.7666666666666667,7.02197642307216
wf57281a,Berries,2.0,2.0,2.0,12,7033.0,0.0,2.0,0.7666666666666667,8.858368636308018
wf57281a,Sweet Foods,4.0,2.0,3.0,12,1098.0,1.0,1.0,0.7666666666666667,7.001245622069476
wf57281a,Dessert,1.0,1.0,1.0,12,267.0,1.0,1.0,0.7666666666666667,5.58724865840025
wf57281a,Balls,3.0,3.0,2.0,12,4481.0,1.0,1.0,0.7666666666666667,8.407601514786142
wf57281a,Outdoor Scenes,12.0,9.0,5.0,12,2187.0,0.0,1.0,0.7666666666666667,7.690286020676768
wf57281a,Insects,1.0,1.0,1.0,12,744.0,1.0,2.0,0.7666666666666667,6.612041034833092
wf57281a,Clouds,2.0,2.0,0.0,12,786.0,0.0,1.0,0.7666666666666667,6.666956792429207
wf57281a,Hands,2.0,2.0,1.0,12,3169.0,1.0,2.0,0.7666666666666667,8.06117135969092
