,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,n_considered,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value,considered_value,considered_mem_value,considered_recalled_mem_value
0,1,w2d80146,Yellow,0.0,5130.0,1,2,1,choice,2,1,-4,13.0,5,5,1,1,5.0,15,5.0,5.0
1,2,w2d80146,Object,0.0,2796.0,1,3,1,choice,1,2,-7,-7.0,5,5,1,2,-7.0,-14,-7.0,-7.0
2,3,w2d80146,Scene,1.0,1079.0,1,4,1,choice,2,2,2,13.0,5,5,2,2,13.0,9,13.0,13.0
3,4,w2d80146,Blue,1.0,2536.0,0,5,1,choice,3,6,-2,-6.0,5,5,3,3,-6.0,-4,-9.0,-9.0
4,5,w2d80146,Animal,1.0,3475.0,1,6,1,choice,3,2,5,-7.0,5,5,2,2,-15.0,28,-15.0,-15.0
5,7,w2d80146,Object,1.0,2951.0,1,2,2,choice,3,1,3,-7.0,4,4,3,3,-7.0,2,-6.0,-6.0
6,8,w2d80146,Red,0.0,2417.0,1,3,2,choice,2,2,-5,-3.0,4,4,2,2,-3.0,-2,-3.0,-3.0
7,9,w2d80146,Blue,0.0,2888.0,1,4,2,choice,3,2,-1,-4.0,4,4,1,1,-6.0,6,-2.0,-6.0
8,11,w2d80146,Scene,1.0,2522.0,0,6,2,choice,2,1,-1,8.0,4,4,1,1,4.0,2,4.0,4.0
9,12,w2d80146,Yellow,1.0,1367.0,0,1,3,choice,3,2,-1,7.0,5,5,2,2,4.0,6,7.0,7.0
10,14,w2d80146,Green,1.0,2151.0,1,3,3,choice,2,2,1,13.0,5,5,2,2,13.0,-7,13.0,13.0
11,16,w2d80146,Red,1.0,3084.0,1,5,3,choice,1,1,7,4.0,5,5,1,1,4.0,14,4.0,4.0
12,17,w2d80146,Scene,1.0,1877.0,1,6,3,choice,3,3,3,15.0,5,5,3,3,15.0,6,15.0,15.0
13,18,w2d80146,Object,1.0,2800.0,1,1,4,choice,2,1,5,14.0,1,1,1,1,9.0,-2,9.0,9.0
14,21,w2d80146,Green,1.0,2773.0,1,4,4,choice,2,2,8,16.0,1,1,1,2,9.0,-2,9.0,9.0
15,24,w2d80146,Green,1.0,1240.0,1,1,5,choice,3,2,1,4.0,3,3,1,2,-4.0,-4,-1.0,-4.0
16,26,w2d80146,Animal,1.0,3485.0,0,3,5,choice,3,2,-5,8.0,3,3,2,2,5.0,6,12.0,9.0
17,28,w2d80146,Scene,0.0,2464.0,0,5,5,choice,1,1,4,-4.0,3,3,1,1,-4.0,8,-4.0,-4.0
18,29,w2d80146,Yellow,1.0,1736.0,1,6,5,choice,2,1,7,7.0,3,3,1,1,9.0,18,9.0,9.0
19,33,w7a04fdc,Red,1.0,1035.0,0,4,2,choice,2,3,-2,0.0,2,2,1,1,0.0,-4,4.0,0.0
20,34,w7a04fdc,Food,1.0,402.0,0,5,2,choice,3,5,-3,0.0,2,2,1,1,0.0,-15,2.0,0.0
21,36,w7a04fdc,Yellow,1.0,2977.0,1,1,3,choice,3,1,3,0.0,1,1,1,1,0.0,-4,1.0,1.0
22,44,w7a04fdc,Food,1.0,550.0,0,3,4,choice,3,1,-1,0.0,2,2,1,1,0.0,-4,2.0,2.0
23,47,w7a04fdc,Red,0.0,503.0,1,6,4,choice,1,1,-2,0.0,2,2,1,1,0.0,-4,2.0,2.0
24,78,wca8e71a,Object,,,0,1,1,choice,3,1,-4,-6.0,6,6,3,3,-6.0,1,-8.0,-8.0
25,79,wca8e71a,Blue,1.0,1851.0,1,2,1,choice,2,1,3,-3.0,6,6,2,2,-3.0,12,5.0,5.0
26,80,wca8e71a,Yellow,0.0,1548.0,1,3,1,choice,3,1,-1,-3.0,6,6,3,3,-3.0,0,-4.0,-4.0
27,81,wca8e71a,Red,1.0,795.0,1,4,1,choice,1,1,7,7.0,6,6,1,1,7.0,7,7.0,7.0
28,82,wca8e71a,Scene,1.0,2715.0,1,5,1,choice,2,2,5,1.0,6,6,2,2,1.0,10,1.0,1.0
29,83,wca8e71a,Animal,0.0,1786.0,0,6,1,choice,1,1,8,6.0,6,6,1,1,6.0,8,6.0,6.0
30,84,wca8e71a,Scene,1.0,1267.0,1,1,2,choice,3,3,2,4.0,5,5,3,4,4.0,4,4.0,4.0
31,85,wca8e71a,Yellow,0.0,953.0,1,2,2,choice,1,1,-8,-7.0,5,5,1,1,-7.0,-16,-7.0,-7.0
32,86,wca8e71a,Red,0.0,625.0,0,3,2,choice,3,2,2,-8.0,5,5,2,2,-3.0,-13,-3.0,-3.0
33,87,wca8e71a,Food,0.0,1342.0,1,4,2,choice,1,1,-7,-8.0,5,5,1,1,-8.0,-21,-8.0,-8.0
34,88,wca8e71a,Green,1.0,2096.0,1,5,2,choice,2,2,3,3.0,5,5,2,2,3.0,9,3.0,3.0
35,89,wca8e71a,Object,0.0,1565.0,0,6,2,choice,2,1,2,-8.0,5,5,1,1,-3.0,-3,-8.0,-8.0
36,91,wca8e71a,Food,0.0,899.0,1,2,3,choice,3,2,-2,0.0,5,5,2,2,3.0,2,3.0,3.0
37,92,wca8e71a,Animal,1.0,947.0,0,3,3,choice,2,2,-7,5.0,5,5,2,2,5.0,-16,4.0,4.0
38,93,wca8e71a,Blue,0.0,1100.0,1,4,3,choice,2,1,-3,-3.0,5,5,2,2,-3.0,-8,-4.0,-4.0
39,94,wca8e71a,Scene,1.0,2020.0,1,5,3,choice,1,1,6,5.0,5,5,1,2,5.0,12,5.0,5.0
40,95,wca8e71a,Red,1.0,588.0,1,6,3,choice,3,3,3,16.0,5,5,3,3,16.0,6,16.0,16.0
41,96,wca8e71a,Object,1.0,1749.0,0,1,4,choice,2,2,-2,-6.0,6,6,2,2,-6.0,-4,-6.0,-6.0
42,97,wca8e71a,Blue,0.0,1811.0,1,2,4,choice,2,1,-4,-4.0,6,6,2,2,-4.0,6,-7.0,-7.0
43,98,wca8e71a,Yellow,0.0,2078.0,1,3,4,choice,3,2,-1,5.0,6,6,3,3,5.0,0,7.0,7.0
44,99,wca8e71a,Animal,1.0,1903.0,0,4,4,choice,3,2,-1,-3.0,6,6,3,3,-3.0,14,-6.0,-6.0
45,100,wca8e71a,Green,0.0,939.0,0,5,4,choice,1,1,8,-4.0,6,6,1,1,-4.0,16,-4.0,-4.0
46,101,wca8e71a,Food,1.0,1607.0,1,6,4,choice,1,1,6,6.0,6,6,1,1,6.0,12,6.0,6.0
47,102,wca8e71a,Animal,0.0,2031.0,1,1,5,choice,1,1,-9,-9.0,4,4,1,1,-9.0,-18,-9.0,-9.0
48,103,wca8e71a,Green,0.0,725.0,0,2,5,choice,3,2,3,-4.0,4,4,2,2,-1.0,-2,-1.0,-1.0
49,104,wca8e71a,Blue,0.0,1880.0,0,3,5,choice,2,1,2,0.0,4,4,2,2,0.0,-1,-3.0,-3.0
50,105,wca8e71a,Scene,1.0,2076.0,1,4,5,choice,2,2,5,5.0,4,4,2,4,5.0,10,5.0,5.0
51,107,wca8e71a,Food,0.0,1605.0,0,6,5,choice,3,1,3,-6.0,4,4,1,1,3.0,5,3.0,3.0
52,108,wbcfaf6a,Red,,,0,1,1,choice,2,3,-3,-5.0,4,4,2,2,-5.0,2,-3.0,-3.0
53,109,wbcfaf6a,Animal,1.0,3976.0,0,2,1,choice,3,4,-5,11.0,4,4,2,2,7.0,-2,11.0,7.0
54,110,wbcfaf6a,Green,0.0,3081.0,0,3,1,choice,1,3,9,9.0,4,4,1,2,9.0,18,9.0,9.0
55,111,wbcfaf6a,Blue,1.0,4544.0,0,4,1,choice,3,3,-1,15.0,4,4,1,1,7.0,-2,15.0,7.0
56,112,wbcfaf6a,Scene,0.0,3289.0,0,5,1,choice,2,3,3,1.0,4,4,1,1,-3.0,6,1.0,-3.0
57,113,wbcfaf6a,Food,1.0,3112.0,1,6,1,choice,1,4,7,7.0,4,4,1,1,7.0,14,7.0,7.0
58,114,wbcfaf6a,Red,1.0,5669.0,1,1,2,choice,1,2,3,3.0,4,4,1,2,3.0,6,3.0,3.0
59,115,wbcfaf6a,Yellow,0.0,5806.0,1,2,2,choice,3,2,-1,-14.0,4,4,2,2,-14.0,3,-8.0,-8.0
60,116,wbcfaf6a,Animal,1.0,4361.0,0,3,2,choice,1,2,-2,-2.0,4,4,1,2,-2.0,-4,-2.0,-2.0
61,117,wbcfaf6a,Scene,0.0,2153.0,1,4,2,choice,2,2,-3,-4.0,4,4,1,1,-12.0,3,-4.0,-6.0
62,118,wbcfaf6a,Food,1.0,2880.0,1,5,2,choice,3,2,2,1.0,4,4,1,1,3.0,1,-3.0,3.0
63,121,wbcfaf6a,Blue,0.0,3146.0,1,2,3,choice,1,2,-6,6.0,3,3,1,2,6.0,-12,6.0,6.0
64,123,wbcfaf6a,Red,1.0,3001.0,1,4,3,choice,3,2,1,-6.0,3,3,1,2,-6.0,4,-6.0,-6.0
65,124,wbcfaf6a,Green,1.0,2423.0,1,5,3,choice,2,2,2,-1.0,3,3,1,1,4.0,2,-1.0,4.0
66,125,wbcfaf6a,Animal,0.0,1541.0,0,6,3,choice,3,2,1,-5.0,3,3,2,2,0.0,-3,0.0,0.0
67,126,wbcfaf6a,Yellow,1.0,2519.0,1,1,4,choice,3,2,2,7.0,4,4,2,2,5.0,1,5.0,5.0
68,127,wbcfaf6a,Animal,0.0,6053.0,0,2,4,choice,1,2,5,3.0,4,4,1,2,3.0,15,3.0,3.0
69,128,wbcfaf6a,Object,0.0,1942.0,1,3,4,choice,3,2,-1,-7.0,4,4,2,2,-9.0,-10,-9.0,-9.0
70,129,wbcfaf6a,Food,1.0,2208.0,0,4,4,choice,2,2,-6,3.0,4,4,1,1,2.0,-14,5.0,5.0
71,130,wbcfaf6a,Green,0.0,5605.0,1,5,4,choice,2,2,-2,-4.0,4,4,1,2,-5.0,-6,-5.0,-5.0
72,131,wbcfaf6a,Blue,0.0,4257.0,1,6,4,choice,1,1,-2,-4.0,4,4,1,1,-4.0,-4,-4.0,-4.0
73,132,wbcfaf6a,Object,,,0,1,5,choice,3,2,-4,4.0,4,4,1,1,6.0,6,2.0,6.0
74,133,wbcfaf6a,Scene,1.0,2113.0,1,2,5,choice,1,1,8,6.0,4,4,1,1,6.0,16,6.0,6.0
75,134,wbcfaf6a,Blue,1.0,2248.0,0,3,5,choice,3,3,-2,4.0,4,4,2,2,8.0,-4,4.0,8.0
76,135,wbcfaf6a,Food,0.0,4092.0,1,4,5,choice,2,3,-1,5.0,4,4,2,3,5.0,-2,5.0,5.0
77,136,wbcfaf6a,Yellow,1.0,2673.0,1,5,5,choice,1,2,9,6.0,4,4,1,2,6.0,18,6.0,6.0
78,137,wbcfaf6a,Red,1.0,3644.0,0,6,5,choice,2,2,-4,5.0,4,4,1,2,3.0,6,3.0,3.0
79,138,w27e5a42,Blue,,,0,1,1,choice,2,1,2,5.0,4,4,1,1,9.0,18,9.0,9.0
80,139,w27e5a42,Red,0.0,2880.0,1,2,1,choice,3,3,-2,-2.0,4,4,3,3,-2.0,1,-2.0,-2.0
81,140,w27e5a42,Scene,0.0,2681.0,0,3,1,choice,2,1,4,4.0,4,4,2,3,4.0,13,9.0,9.0
82,141,w27e5a42,Animal,0.0,3293.0,1,4,1,choice,1,2,-3,-3.0,4,4,1,1,-3.0,-6,-3.0,-3.0
83,142,w27e5a42,Food,1.0,3717.0,1,5,1,choice,3,1,3,-1.0,4,4,1,2,6.0,12,6.0,6.0
84,144,w27e5a42,Red,0.0,4401.0,0,1,2,choice,1,1,5,5.0,5,5,1,1,5.0,10,5.0,5.0
