,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value
0,0,w18042a7,Pattern,1.0,2199.0,1,1,2,choice,4,1,2.0,1,1,1,1,2.0
1,3,w18042a7,Large,0.0,938.0,0,4,2,choice,3,2,3.0,1,1,1,1,2.0
2,4,w18042a7,Small,1.0,2099.0,0,1,3,choice,4,-1,0.0,1,1,1,1,-1.0
3,8,w18042a7,Object,1.0,2371.0,0,1,4,choice,2,-2,2.0,5,5,1,1,1.0
4,9,w18042a7,Large,0.0,837.0,0,2,4,choice,4,3,5.0,5,5,4,4,5.0
5,10,w18042a7,Land,0.0,1641.0,0,3,4,choice,1,1,1.0,5,5,1,1,1.0
6,11,w18042a7,Solid,1.0,2103.0,0,4,4,choice,3,-1,3.0,5,5,2,2,2.0
7,12,w18042a7,Land,0.0,3569.0,0,1,5,choice,1,1,1.0,5,5,1,1,1.0
8,13,w18042a7,Animal,1.0,2336.0,1,2,5,choice,4,3,3.0,5,5,4,4,3.0
9,14,w18042a7,Pattern,1.0,1280.0,0,3,5,choice,3,-1,-1.0,5,5,2,2,0.0
10,15,w18042a7,Small,1.0,1706.0,0,4,5,choice,2,-3,-3.0,5,5,1,1,-2.0
11,16,w18042a7,Solid,1.0,2697.0,1,1,6,choice,3,4,4.0,4,4,2,2,3.0
12,18,w18042a7,Large,1.0,2917.0,0,3,6,choice,2,-1,-1.0,4,4,1,1,-2.0
13,19,w18042a7,Land,1.0,951.0,0,4,6,choice,4,-1,-1.0,4,4,2,2,0.0
14,20,w18042a7,Pattern,1.0,1635.0,0,1,7,choice,4,-1,-1.0,6,6,4,4,-1.0
15,21,w18042a7,Object,0.0,3187.0,1,2,7,choice,3,-2,-2.0,6,6,3,3,-2.0
16,22,w18042a7,Large,1.0,1142.0,0,3,7,choice,2,-1,-1.0,6,6,2,2,-1.0
17,23,w18042a7,Sea,1.0,2031.0,1,4,7,choice,1,2,2.0,6,6,1,1,2.0
18,25,w2b4a70d,Animal,1.0,3165.0,0,2,1,choice,4,-1,1.0,3,3,1,3,-1.0
19,26,w2b4a70d,Large,1.0,1584.0,0,3,1,choice,2,-3,1.0,3,3,1,3,-1.0
20,27,w2b4a70d,Land,1.0,3420.0,0,4,1,choice,3,-5,0.0,3,3,1,2,-1.0
21,28,w2b4a70d,Animal,1.0,2477.0,1,1,2,choice,4,2,0.0,4,4,2,2,-1.0
22,29,w2b4a70d,Small,1.0,3839.0,0,2,2,choice,3,-2,-2.0,4,4,2,2,-1.0
23,30,w2b4a70d,Sea,0.0,4056.0,1,3,2,choice,2,-1,2.0,4,4,2,2,2.0
24,32,w2b4a70d,Object,1.0,1970.0,1,1,3,choice,4,4,0.0,4,4,3,4,-2.0
25,34,w2b4a70d,Pattern,0.0,1014.0,1,3,3,choice,3,-2,1.0,4,4,1,1,0.0
26,35,w2b4a70d,Land,1.0,4252.0,1,4,3,choice,2,1,-1.0,4,4,2,4,-1.0
