,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,dim_shown,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value
0,1,wcc033bc,Red,0.0,2467.0,1,2,2,choice,Before,Color,Color,1,-1,-2.0,3,3,1,1,-2.0
1,2,wcc033bc,Blue,1.0,1990.0,0,3,2,choice,Before,Color,Color,2,-1,2.0,3,3,2,3,2.0
2,3,wcc033bc,Red,0.0,3592.0,1,1,3,choice,After,Color,Color,3,-1,-1.0,3,3,1,1,1.0
3,4,wcc033bc,Yellow,1.0,1976.0,1,2,3,choice,After,Color,Color,2,4,0.0,3,3,1,1,-2.0
4,5,wcc033bc,Blue,1.0,1474.0,0,3,3,choice,After,Color,Color,1,-2,1.0,3,3,1,2,1.0
5,6,w367fa57,Red,1.0,2193.0,1,1,1,choice,After,Color,Color,2,2,2.0,2,2,2,2,2.0
6,10,w367fa57,Food,0.0,3196.0,1,2,2,choice,Before,Category,Category,2,-3,-2.0,3,3,2,2,-2.0
7,11,w367fa57,Scene,1.0,1078.0,1,3,2,choice,Before,Category,Category,3,5,5.0,3,3,1,1,2.0
8,12,w367fa57,Red,1.0,5312.0,1,1,3,choice,After,Color,Color,2,3,3.0,4,4,2,2,3.0
9,13,w367fa57,Blue,0.0,1279.0,1,2,3,choice,After,Color,Color,1,-2,-2.0,4,4,1,2,-2.0
10,14,w367fa57,Green,1.0,1470.0,0,3,3,choice,After,Color,Color,3,-1,0.0,4,4,1,1,-1.0
11,15,w367fa57,Animal,1.0,3825.0,0,1,4,choice,Before,Category,Category,3,-1,2.0,4,4,1,1,1.0
12,16,w367fa57,Object,0.0,4400.0,1,2,4,choice,Before,Category,Category,1,-2,-1.0,4,4,1,1,-1.0
13,17,w367fa57,Scene,1.0,799.0,1,3,4,choice,Before,Category,Category,2,4,4.0,4,4,2,3,4.0
14,18,w367fa57,Animal,0.0,6833.0,1,1,5,choice,After,Category,Category,2,-3,-3.0,6,6,2,2,-3.0
15,19,w367fa57,Food,,,0,2,5,choice,After,Category,Category,1,-1,-1.0,6,6,1,1,-1.0
16,20,w367fa57,Object,1.0,2667.0,1,3,5,choice,After,Category,Category,3,6,6.0,6,6,3,3,6.0
17,21,w367fa57,Red,0.0,1782.0,1,1,6,choice,Before,Color,Color,3,-5,-5.0,6,6,3,3,-5.0
18,22,w367fa57,Blue,1.0,1881.0,1,2,6,choice,Before,Color,Color,2,3,3.0,6,6,2,2,3.0
19,23,w367fa57,Yellow,1.0,1965.0,1,3,6,choice,Before,Color,Color,1,2,2.0,6,6,1,1,2.0
20,24,w367fa57,Animal,0.0,1486.0,1,1,7,choice,After,Category,Category,2,-3,-2.0,3,3,1,1,-1.0
21,26,w367fa57,Object,1.0,837.0,1,3,7,choice,After,Category,Category,3,2,4.0,3,3,2,2,3.0
22,33,w54c2956,Green,,,0,1,1,choice,Before,Color,Color,2,1,-4.0,5,5,2,2,-4.0
23,34,w54c2956,Blue,0.0,1485.0,1,2,1,choice,Before,Color,Color,3,-2,-4.0,5,5,2,2,-3.0
24,35,w54c2956,Red,1.0,2197.0,1,3,1,choice,Before,Color,Color,1,2,2.0,5,5,1,1,2.0
25,36,w54c2956,Food,1.0,6439.0,1,1,2,choice,After,Category,Category,2,1,3.0,3,3,1,2,2.0
26,37,w54c2956,Scene,0.0,1434.0,1,2,2,choice,After,Category,Category,3,-2,-5.0,3,3,1,1,-2.0
27,38,w54c2956,Animal,0.0,2597.0,0,3,2,choice,After,Category,Category,1,2,-1.0,3,3,1,1,-1.0
28,39,w54c2956,Object,1.0,3766.0,1,1,3,choice,Before,Category,Category,3,1,5.0,4,4,2,2,4.0
29,40,w54c2956,Animal,1.0,3325.0,1,2,3,choice,Before,Category,Category,2,1,2.0,4,4,1,2,1.0
30,41,w54c2956,Scene,0.0,437.0,1,3,3,choice,Before,Category,Category,1,-1,-2.0,4,4,1,1,-2.0
31,42,w54c2956,Object,1.0,2369.0,1,1,4,choice,After,Category,Category,3,1,3.0,4,4,2,2,4.0
32,43,w54c2956,Food,0.0,997.0,1,2,4,choice,After,Category,Category,1,-2,1.0,4,4,1,1,1.0
33,44,w54c2956,Animal,1.0,3367.0,1,3,4,choice,After,Category,Category,2,1,1.0,4,4,1,2,-1.0
34,46,w54c2956,Green,1.0,1488.0,1,2,5,choice,Before,Color,Color,3,2,-2.0,4,4,2,2,-3.0
35,47,w54c2956,Blue,0.0,449.0,1,3,5,choice,Before,Color,Color,2,-3,1.0,4,4,2,2,1.0
36,48,w54c2956,Animal,1.0,1496.0,1,1,6,choice,After,Category,Category,2,1,-3.0,4,4,2,2,-3.0
37,50,w54c2956,Food,0.0,2732.0,1,3,6,choice,After,Category,Category,3,-1,3.0,4,4,2,2,2.0
38,51,w54c2956,Yellow,0.0,1446.0,0,1,7,choice,Before,Color,Color,3,2,-4.0,2,2,2,3,-2.0
39,60,w1d52e8b,Yellow,0.0,3020.0,0,1,1,choice,After,Color,Color,3,1,-4.0,3,3,1,2,-1.0
40,61,w1d52e8b,Blue,1.0,1193.0,1,2,1,choice,After,Color,Color,2,1,0.0,3,3,1,1,2.0
41,62,w1d52e8b,Green,1.0,1348.0,0,3,1,choice,After,Color,Color,1,-2,-1.0,3,3,1,1,-1.0
42,65,w1d52e8b,Green,1.0,3041.0,1,3,2,choice,Before,Color,Color,3,2,1.0,2,2,2,2,0.0
43,67,w1d52e8b,Scene,1.0,1469.0,1,2,3,choice,After,Category,Category,3,2,-2.0,5,5,3,4,-2.0
44,68,w1d52e8b,Animal,0.0,1300.0,1,3,3,choice,After,Category,Category,2,-2,0.0,5,5,2,2,0.0
45,69,w1d52e8b,Red,0.0,1531.0,1,1,4,choice,Before,Color,Color,3,-3,-2.0,2,2,1,2,1.0
46,71,w1d52e8b,Green,0.0,818.0,1,3,4,choice,Before,Color,Color,1,-2,-2.0,2,2,1,2,-2.0
47,72,w1d52e8b,Scene,1.0,2025.0,0,1,5,choice,After,Category,Category,2,-2,-3.0,3,3,1,2,-2.0
48,74,w1d52e8b,Animal,0.0,1498.0,0,3,5,choice,After,Category,Category,3,1,-2.0,3,3,2,2,0.0
49,75,w1d52e8b,Green,1.0,1636.0,1,1,6,choice,Before,Color,Color,3,3,0.0,3,3,2,2,2.0
50,77,w1d52e8b,Red,0.0,866.0,1,3,6,choice,Before,Color,Color,2,-1,-1.0,3,3,1,2,-2.0
51,78,w1d52e8b,Object,0.0,1049.0,0,1,7,choice,After,Category,Category,3,1,-3.0,3,3,2,3,-1.0
52,80,w1d52e8b,Food,1.0,2165.0,1,3,7,choice,After,Category,Category,1,2,-2.0,3,3,1,3,-2.0
53,87,w9182e0b,Blue,1.0,2257.0,0,1,2,choice,After,Color,Color,3,-3,3.0,3,3,1,1,2.0
54,88,w9182e0b,Green,1.0,1340.0,1,2,2,choice,After,Color,Color,1,2,-2.0,3,3,1,2,-2.0
55,89,w9182e0b,Yellow,0.0,1301.0,1,3,2,choice,After,Color,Color,2,-1,-1.0,3,3,1,2,-2.0
56,90,w9182e0b,Animal,0.0,5345.0,1,1,3,choice,Before,Category,Category,1,-2,-1.0,3,3,1,1,-1.0
57,91,w9182e0b,Scene,0.0,1754.0,1,2,3,choice,Before,Category,Category,2,-3,-3.0,3,3,1,3,-1.0
58,92,w9182e0b,Food,1.0,811.0,1,3,3,choice,Before,Category,Category,3,4,4.0,3,3,1,1,2.0
59,93,w9182e0b,Animal,0.0,1077.0,1,1,4,choice,After,Category,Category,3,-1,-4.0,3,3,2,3,-2.0
60,94,w9182e0b,Scene,1.0,1467.0,1,2,4,choice,After,Category,Category,2,1,3.0,3,3,1,1,2.0
61,96,w9182e0b,Blue,0.0,2645.0,0,1,5,choice,Before,Color,Color,2,3,-3.0,5,5,2,2,-3.0
