wid,option,choice,rt,correct,trial_number,phase,n_images_with_option,n_images_with_option_wid,recalled_offer_value,true_offer_value
w2e9806f,Objects,1.0,7427.0,1.0,1.0,choice,7.0,7,-1,1
wf57281a,Objects,1.0,1764.0,1.0,4.0,choice,7.0,13,0,1
wc861d09,Objects,1.0,5023.0,1.0,11.0,choice,7.0,8,6,1
w3ef8767,Objects,0.0,3182.0,0.0,7.0,choice,7.0,10,5,1
wb050285,Objects,1.0,1301.0,1.0,14.0,choice,7.0,11,-3,1
w2c5d7eb,Objects,0.0,4005.0,0.0,19.0,choice,7.0,8,2,1
w567d945,Objects,1.0,4125.0,1.0,1.0,choice,7.0,3,3,1
wbf71104,Objects,0.0,2101.0,0.0,10.0,choice,7.0,10,1,1
wdcba2fa,Objects,1.0,111.0,1.0,10.0,choice,7.0,3,-2,1
w06dc745,Objects,1.0,1142.0,1.0,3.0,choice,7.0,4,5,1
wd3b5cb5,Objects,0.0,4506.0,0.0,20.0,choice,7.0,8,4,1
wea422b2,Objects,0.0,2874.0,0.0,27.0,choice,7.0,0,2,1
w8b71afe,Objects,1.0,5075.0,1.0,16.0,choice,7.0,10,0,1
wea26d76,Objects,1.0,4457.0,1.0,17.0,choice,7.0,4,2,1
w28e335e,Objects,0.0,2188.0,0.0,14.0,choice,7.0,5,-1,1
w8d04c13,Objects,1.0,2909.0,1.0,18.0,choice,7.0,7,1,1
w882868f,Objects,,,0.0,1.0,choice,7.0,7,-2,1
w973e0a4,Objects,1.0,3688.0,1.0,16.0,choice,7.0,8,3,1
w38281a7,Objects,0.0,5308.0,0.0,22.0,choice,7.0,12,1,1
w15afaeb,Objects,1.0,3425.0,1.0,8.0,choice,7.0,18,2,1
we820c40,Objects,0.0,5079.0,0.0,20.0,choice,7.0,2,2,1
wd1f6033,Objects,0.0,3738.0,0.0,12.0,choice,7.0,7,-2,1
wa9588e1,Objects,,,0.0,1.0,choice,7.0,3,0,1
w417dedd,Objects,0.0,1200.0,0.0,22.0,choice,7.0,4,-1,1
waf5ed76,Objects,0.0,3267.0,0.0,4.0,choice,7.0,7,-2,1
wb83a52c,Objects,0.0,5619.0,0.0,12.0,choice,7.0,13,1,1
wf9d56e4,Objects,1.0,1250.0,1.0,10.0,choice,7.0,20,1,1
w00c391f,Objects,1.0,2093.0,1.0,6.0,choice,7.0,6,1,1
wae73c1f,Objects,0.0,2681.0,0.0,10.0,choice,7.0,3,-1,1
wbdee46f,Objects,1.0,5966.0,1.0,1.0,choice,7.0,11,3,1
wd1558cc,Objects,0.0,2445.0,0.0,6.0,choice,7.0,2,2,1
w0cf8802,Objects,1.0,3457.0,1.0,4.0,choice,7.0,9,3,1
w31b7dbe,Objects,1.0,5003.0,1.0,20.0,choice,7.0,0,2,1
w1efb25c,Objects,1.0,2569.0,1.0,11.0,choice,7.0,8,0,1
w017e3cd,Objects,1.0,2085.0,1.0,15.0,choice,7.0,11,5,1
w865d6ad,Objects,0.0,2225.0,0.0,10.0,choice,7.0,17,4,1
w4810e3e,Objects,1.0,3948.0,1.0,8.0,choice,7.0,13,-2,1
w161eef2,Objects,0.0,1024.0,0.0,22.0,choice,7.0,8,3,1
wd9e76e4,Objects,1.0,4549.0,1.0,4.0,choice,7.0,6,2,1
w6355333,Objects,0.0,3880.0,0.0,13.0,choice,7.0,5,0,1
wa620fe2,Objects,1.0,5362.0,1.0,26.0,choice,7.0,6,2,1
w812d061,Objects,0.0,1142.0,0.0,15.0,choice,7.0,3,-1,1
wf9347d8,Objects,0.0,3038.0,0.0,28.0,choice,7.0,2,2,1
w5624f17,Objects,0.0,2216.0,0.0,25.0,choice,7.0,15,7,1
wad2e584,Objects,1.0,581.0,1.0,5.0,choice,7.0,0,3,1
wf2e46b5,Objects,1.0,273.0,1.0,28.0,choice,7.0,5,5,1
wbff56f6,Objects,1.0,1105.0,1.0,17.0,choice,7.0,7,2,1
w3067c35,Objects,1.0,2098.0,1.0,21.0,choice,7.0,0,5,1
wc136bb6,Objects,1.0,833.0,1.0,2.0,choice,7.0,6,-2,1
wa24f9fe,Objects,0.0,5574.0,0.0,6.0,choice,7.0,1,3,1
w51d8142,Objects,1.0,2154.0,1.0,4.0,choice,7.0,14,-1,1
wf7e1cf2,Objects,1.0,1195.0,1.0,20.0,choice,7.0,3,-1,1
w915dec2,Objects,1.0,3602.0,1.0,27.0,choice,7.0,9,4,1
w4e312fd,Objects,0.0,2891.0,0.0,26.0,choice,7.0,2,0,1
w0c6daff,Objects,1.0,1929.0,1.0,24.0,choice,7.0,4,2,1
w472a3b0,Objects,1.0,1648.0,1.0,18.0,choice,7.0,4,3,1
w7b672a4,Objects,1.0,6838.0,1.0,1.0,choice,7.0,13,2,1
wa06df17,Objects,0.0,2791.0,0.0,3.0,choice,7.0,2,1,1
w0e327f3,Objects,0.0,5487.0,0.0,5.0,choice,7.0,5,1,1
w1afb6bd,Objects,0.0,3559.0,0.0,20.0,choice,7.0,10,0,1
w08dda5e,Objects,1.0,1181.0,1.0,15.0,choice,7.0,10,0,1
w49dc7cd,Objects,1.0,2045.0,1.0,27.0,choice,7.0,1,2,1
w7574933,Objects,,,0.0,20.0,choice,7.0,2,2,1
w2e9806f,Clouds,1.0,3317.0,0.0,3.0,choice,2.0,2,0,-2
wf57281a,Clouds,1.0,786.0,0.0,23.0,choice,2.0,2,0,-2
wc861d09,Clouds,0.0,7311.0,1.0,19.0,choice,2.0,2,2,-2
w3ef8767,Clouds,1.0,834.0,0.0,28.0,choice,2.0,2,0,-2
wb050285,Clouds,0.0,1044.0,1.0,30.0,choice,2.0,2,0,-2
w2c5d7eb,Clouds,0.0,3290.0,1.0,26.0,choice,2.0,3,-2,-2
w567d945,Clouds,0.0,1847.0,1.0,11.0,choice,2.0,0,-2,-2
wbf71104,Clouds,0.0,455.0,1.0,11.0,choice,2.0,1,0,-2
wdcba2fa,Clouds,1.0,2769.0,0.0,19.0,choice,2.0,0,0,-2
w06dc745,Clouds,1.0,2088.0,0.0,2.0,choice,2.0,0,0,-2
wd3b5cb5,Clouds,0.0,4034.0,1.0,14.0,choice,2.0,0,1,-2
wea422b2,Clouds,0.0,1734.0,1.0,5.0,choice,2.0,1,0,-2
w8b71afe,Clouds,0.0,4526.0,1.0,23.0,choice,2.0,2,2,-2
wea26d76,Clouds,1.0,4511.0,0.0,21.0,choice,2.0,2,0,-2
w28e335e,Clouds,0.0,2217.0,1.0,23.0,choice,2.0,0,0,-2
w8d04c13,Clouds,1.0,2906.0,0.0,1.0,choice,2.0,2,-1,-2
w882868f,Clouds,0.0,4306.0,1.0,17.0,choice,2.0,2,-1,-2
w973e0a4,Clouds,0.0,4072.0,1.0,11.0,choice,2.0,0,-1,-2
w38281a7,Clouds,0.0,6610.0,1.0,14.0,choice,2.0,2,-2,-2
w15afaeb,Clouds,0.0,5542.0,1.0,26.0,choice,2.0,2,1,-2
we820c40,Clouds,0.0,1445.0,1.0,27.0,choice,2.0,1,0,-2
wd1f6033,Clouds,0.0,593.0,1.0,13.0,choice,2.0,2,-2,-2
wa9588e1,Clouds,0.0,1200.0,1.0,25.0,choice,2.0,2,-1,-2
w417dedd,Clouds,0.0,2942.0,1.0,16.0,choice,2.0,2,0,-2
waf5ed76,Clouds,1.0,749.0,0.0,17.0,choice,2.0,1,-2,-2
wb83a52c,Clouds,1.0,2948.0,0.0,21.0,choice,2.0,2,0,-2
wf9d56e4,Clouds,1.0,1483.0,0.0,24.0,choice,2.0,1,-1,-2
w00c391f,Clouds,0.0,2640.0,1.0,4.0,choice,2.0,1,0,-2
wae73c1f,Clouds,0.0,1507.0,1.0,8.0,choice,2.0,2,-2,-2
wbdee46f,Clouds,0.0,4215.0,1.0,29.0,choice,2.0,2,-1,-2
wd1558cc,Clouds,1.0,1554.0,0.0,5.0,choice,2.0,0,1,-2
w0cf8802,Clouds,1.0,461.0,0.0,30.0,choice,2.0,1,1,-2
w31b7dbe,Clouds,1.0,3431.0,0.0,21.0,choice,2.0,1,-1,-2
w1efb25c,Clouds,0.0,5214.0,1.0,10.0,choice,2.0,2,-2,-2
w017e3cd,Clouds,,,0.0,12.0,choice,2.0,2,0,-2
w865d6ad,Clouds,0.0,96.0,1.0,9.0,choice,2.0,0,-1,-2
w4810e3e,Clouds,1.0,1653.0,0.0,22.0,choice,2.0,2,2,-2
w161eef2,Clouds,0.0,1821.0,1.0,15.0,choice,2.0,1,-1,-2
wd9e76e4,Clouds,1.0,348.0,0.0,27.0,choice,2.0,3,1,-2
w6355333,Clouds,0.0,1360.0,1.0,28.0,choice,2.0,1,-2,-2
wa620fe2,Clouds,1.0,6194.0,0.0,1.0,choice,2.0,3,0,-2
w812d061,Clouds,1.0,2909.0,0.0,23.0,choice,2.0,1,-1,-2
wf9347d8,Clouds,1.0,1779.0,0.0,14.0,choice,2.0,2,0,-2
w5624f17,Clouds,0.0,4457.0,1.0,6.0,choice,2.0,1,1,-2
wad2e584,Clouds,0.0,852.0,1.0,18.0,choice,2.0,2,1,-2
wf2e46b5,Clouds,1.0,1817.0,0.0,14.0,choice,2.0,1,1,-2
wbff56f6,Clouds,0.0,2088.0,1.0,30.0,choice,2.0,1,-2,-2
w3067c35,Clouds,1.0,2035.0,0.0,15.0,choice,2.0,0,0,-2
wc136bb6,Clouds,1.0,492.0,0.0,19.0,choice,2.0,0,0,-2
wa24f9fe,Clouds,0.0,358.0,1.0,28.0,choice,2.0,0,-1,-2
w51d8142,Clouds,0.0,2020.0,1.0,19.0,choice,2.0,4,-1,-2
wf7e1cf2,Clouds,0.0,2582.0,1.0,10.0,choice,2.0,0,0,-2
w915dec2,Clouds,1.0,4836.0,0.0,29.0,choice,2.0,1,0,-2
w4e312fd,Clouds,0.0,2560.0,1.0,4.0,choice,2.0,2,-1,-2
w0c6daff,Clouds,0.0,2505.0,1.0,22.0,choice,2.0,2,-1,-2
w472a3b0,Clouds,0.0,2772.0,1.0,6.0,choice,2.0,1,-1,-2
w7b672a4,Clouds,0.0,1316.0,1.0,27.0,choice,2.0,0,1,-2
wa06df17,Clouds,1.0,732.0,0.0,25.0,choice,2.0,2,-1,-2
w0e327f3,Clouds,0.0,5597.0,1.0,26.0,choice,2.0,3,-2,-2
w1afb6bd,Clouds,0.0,2146.0,1.0,8.0,choice,2.0,2,0,-2
w08dda5e,Clouds,0.0,483.0,1.0,28.0,choice,2.0,2,1,-2
w49dc7cd,Clouds,1.0,1517.0,0.0,15.0,choice,2.0,1,2,-2
w7574933,Clouds,0.0,3939.0,1.0,7.0,choice,2.0,1,-1,-2
