,choice_bin,rt,value,value_memory,Combined,n_memories,total_pairs_remembered,total_values_remembered,n_value_remembered,n_pair_remembered,memory_quality,game,wid
0,1.0,7243.0,1,-7.0,True,1,4,2,0,1,1,1,wc9da487
1,1.0,4086.0,9,9.0,True,1,4,2,1,1,2,1,wc9da487
2,0.0,2309.0,-7,7.0,True,1,4,2,0,1,1,1,wc9da487
3,0.0,3203.0,-8,-8.0,True,1,4,2,1,1,2,1,wc9da487
4,1.0,3387.0,-1,8.0,False,4,4,1,0,1,1,2,wc9da487
5,0.0,1959.0,-1,3.0,False,4,4,1,1,3,4,2,wc9da487
6,1.0,4402.0,3,3.0,False,4,4,1,1,3,4,2,wc9da487
7,0.0,1932.0,-5,8.0,False,4,4,1,0,1,1,2,wc9da487
8,1.0,2733.0,5,7.0,False,2,3,0,0,1,1,3,wc9da487
9,1.0,5778.0,-2,-5.0,False,2,3,0,0,2,2,3,wc9da487
10,1.0,3228.0,-10,7.0,False,2,3,0,0,2,2,3,wc9da487
11,0.0,2306.0,13,-5.0,False,2,3,0,0,1,1,3,wc9da487
12,1.0,5293.0,-9,5.0,True,2,2,1,0,1,1,4,wc9da487
13,1.0,1885.0,1,16.0,True,2,2,1,1,1,2,4,wc9da487
14,1.0,6704.0,2,6.0,True,2,2,1,0,0,0,4,wc9da487
15,0.0,3569.0,12,0.0,True,2,2,1,0,0,0,4,wc9da487
16,0.0,4831.0,-19,-9.0,False,4,7,2,1,4,5,1,w8365c9a
17,1.0,962.0,-10,-4.0,False,4,7,2,0,3,3,1,w8365c9a
18,1.0,1463.0,6,4.0,False,4,7,2,1,3,4,1,w8365c9a
19,0.0,839.0,-1,-3.0,True,2,7,3,0,2,2,2,w8365c9a
20,1.0,1254.0,-2,-1.0,True,2,7,3,1,1,2,2,w8365c9a
21,1.0,1267.0,3,3.0,True,2,7,3,2,2,4,2,w8365c9a
22,1.0,1822.0,9,2.0,False,2,3,2,0,1,1,3,w8365c9a
23,1.0,1357.0,-3,-7.0,False,2,3,2,1,2,3,3,w8365c9a
24,1.0,2207.0,-8,-8.0,False,2,3,2,2,2,4,3,w8365c9a
25,1.0,1384.0,4,1.0,False,2,3,2,1,1,2,3,w8365c9a
26,1.0,1142.0,-6,-6.0,True,1,3,3,1,1,2,4,w8365c9a
27,0.0,42.0,2,2.0,True,1,3,3,1,1,2,4,w8365c9a
28,1.0,1582.0,-5,-5.0,True,1,3,3,1,1,2,4,w8365c9a
29,1.0,668.0,8,3.0,True,1,3,3,0,0,0,4,w8365c9a
30,1.0,3250.0,3,1.0,True,2,6,0,0,1,1,1,wfe13849
31,0.0,1510.0,7,3.0,True,2,6,0,0,1,1,1,wfe13849
32,0.0,1271.0,-7,0.0,True,2,6,0,0,2,2,1,wfe13849
33,1.0,3034.0,-1,6.0,True,2,6,0,0,2,2,1,wfe13849
34,1.0,1569.0,3,8.0,True,1,1,1,0,0,0,2,wfe13849
35,0.0,2752.0,2,2.0,True,1,1,1,1,1,2,2,wfe13849
36,1.0,3255.0,-8,8.0,True,1,1,1,0,0,0,2,wfe13849
37,0.0,3040.0,-4,4.0,True,1,1,1,0,0,0,2,wfe13849
38,1.0,2310.0,-8,-2.0,False,4,6,3,2,3,5,3,wfe13849
39,0.0,3518.0,9,12.0,False,4,6,3,2,3,5,3,wfe13849
40,0.0,1434.0,3,1.0,False,4,6,3,1,3,4,3,wfe13849
41,1.0,824.0,-14,-13.0,False,4,6,3,1,3,4,3,wfe13849
42,0.0,2130.0,4,5.0,False,2,3,1,0,1,1,4,wfe13849
43,0.0,2871.0,5,-9.0,False,2,3,1,0,1,1,4,wfe13849
44,1.0,5063.0,-3,-4.0,False,2,3,1,1,2,3,4,wfe13849
45,1.0,867.0,-4,10.0,False,2,3,1,1,2,3,4,wfe13849
46,0.0,6982.0,-3,-3.0,False,4,8,8,4,4,8,1,w14749bb
47,1.0,1227.0,6,6.0,False,4,8,8,4,4,8,1,w14749bb
48,1.0,6860.0,14,14.0,False,4,8,8,4,4,8,1,w14749bb
49,0.0,2259.0,-11,-11.0,False,4,8,8,4,4,8,1,w14749bb
50,1.0,5746.0,-3,-1.0,False,2,4,2,1,2,3,2,w14749bb
51,0.0,4997.0,-13,-11.0,False,2,4,2,1,2,3,2,w14749bb
52,1.0,792.0,-6,-16.0,False,2,4,2,1,2,3,2,w14749bb
53,1.0,709.0,4,-6.0,False,2,4,2,1,2,3,2,w14749bb
54,0.0,4605.0,-14,-14.0,True,2,7,4,2,1,3,3,w14749bb
55,1.0,2436.0,1,4.0,True,2,7,4,1,2,3,3,w14749bb
56,0.0,5262.0,1,5.0,True,2,7,4,0,2,2,3,w14749bb
57,1.0,2793.0,12,-2.0,True,2,7,4,1,2,3,3,w14749bb
58,1.0,2121.0,-5,-6.0,True,1,2,2,0,1,1,4,w14749bb
59,1.0,1061.0,7,7.0,True,1,2,2,1,0,1,4,w14749bb
60,0.0,540.0,2,-6.0,True,1,2,2,0,0,0,4,w14749bb
61,0.0,7238.0,-8,-9.0,True,2,7,2,0,2,2,1,w3de2f5d
62,1.0,3115.0,-4,-5.0,True,2,7,2,0,1,1,1,w3de2f5d
63,1.0,2116.0,14,13.0,True,2,7,2,0,2,2,1,w3de2f5d
64,0.0,5898.0,-6,-6.0,True,2,7,2,2,2,4,1,w3de2f5d
65,0.0,4919.0,-7,0.0,False,4,7,0,0,4,4,2,w3de2f5d
66,1.0,2590.0,-11,4.0,False,4,7,0,0,4,4,2,w3de2f5d
67,1.0,3351.0,-3,10.0,False,4,7,0,0,3,3,2,w3de2f5d
68,0.0,1450.0,1,6.0,False,4,7,0,0,3,3,2,w3de2f5d
69,1.0,1137.0,5,10.0,False,2,3,3,1,1,2,3,w3de2f5d
70,0.0,3881.0,-6,-1.0,False,2,3,3,1,2,3,3,w3de2f5d
71,0.0,686.0,-15,-15.0,False,2,3,3,2,2,4,3,w3de2f5d
72,1.0,854.0,-4,-4.0,False,2,3,3,2,1,3,3,w3de2f5d
