model,feature,choice,rt,n_memories,true_value,recalled_value,game_number
episodic,Food,0,2.0,1,-2,0.0,4
episodic,Animal,0,1.5,0,-3,0.0,4
episodic,Object,1,4.5,6,6,5.4961985252637335,4
episodic,Scene,1,4.0,5,1,0.18372659928993995,1
episodic,Food,0,2.5,2,-2,0.0,1
episodic,Animal,0,4.0,5,-1,-1.7367072077828003,1
episodic,Scene,0,3.5,4,-2,-3.98804734943509,1
episodic,Food,0,2.0,1,-2,0.0,1
episodic,Animal,1,3.0,3,3,1.8046474939307717,1
episodic,Animal,1,4.5,6,1,0.0877599873770687,6
episodic,Food,0,4.0,5,-1,-0.05931614647145944,6
episodic,Scene,0,2.5,2,2,0.0,6
episodic,Animal,0,3.0,3,-1,0.0,5
episodic,Object,1,2.5,2,4,0.9516808100847514,5
episodic,Scene,0,4.5,6,-4,-5.098293056263902,5
episodic,Blue,1,2.5,2,2,2.4948754705868903,3
episodic,Yellow,0,2.5,2,1,-1.2480432317651424,3
episodic,Red,1,3.5,4,-1,0.08939027498074537,3
episodic,Animal,0,3.5,4,1,-0.0034100017502616264,6
episodic,Food,0,2.5,2,-1,-1.0684706446740857,6
episodic,Scene,0,3.0,3,2,0.0,6
episodic,Food,1,4.5,6,2,2.043847788292236,7
episodic,Object,0,2.5,2,-2,-1.8509386049904748,7
episodic,Scene,1,3.0,3,3,2.007925243234517,7
episodic,Blue,0,1.5,0,-1,0.0,8
episodic,Green,1,2.5,2,-1,1.002057003158355,8
episodic,Red,0,1.5,0,2,0.0,8
episodic,Animal,0,4.0,5,-4,-1.8344809017413337,8
episodic,Scene,0,1.5,0,1,0.0,8
episodic,Food,1,4.0,5,1,3.3344868961173146,8
episodic,Blue,0,4.0,5,-3,-1.1895174276941478,2
episodic,Red,0,3.0,3,1,0.0,2
episodic,Green,1,2.0,1,3,1.8125390882100272,2
episodic,Green,0,3.0,3,-2,-1.9759794356857219,5
episodic,Red,1,3.5,4,3,3.1433850080212906,5
episodic,Yellow,0,2.0,1,-1,0.0,5
episodic,Animal,0,3.5,4,-2,-1.7655289943205497,1
episodic,Object,0,3.0,3,2,-0.21847853776843218,1
episodic,Food,1,4.0,5,2,3.017076241992121,1
episodic,Scene,0,2.0,1,-1,0.0,7
episodic,Object,1,3.0,3,3,0.5528797851236762,7
episodic,Animal,0,2.0,1,-2,0.0,7
episodic,Object,0,4.0,5,-4,-3.6216001092903762,8
episodic,Animal,0,2.0,1,3,0.0,8
