model,feature,choice,rt,true_value,recalled_value,game_number
feature,Food,0,2,-2,0.0,4
feature,Animal,0,2,-3,0.0,4
feature,Object,1,2,6,5.4961985252637335,4
feature,Scene,1,2,1,0.18372659928993995,1
feature,Food,0,2,-2,0.0,1
feature,Animal,0,2,-1,-1.7367072077828003,1
feature,Scene,0,2,-2,-3.98804734943509,1
feature,Food,0,2,-2,0.0,1
feature,Animal,1,2,3,1.8046474939307717,1
feature,Animal,1,2,1,0.0877599873770687,6
feature,Food,0,2,-1,-0.05931614647145944,6
feature,Scene,1,2,2,0.0,6
feature,Animal,0,2,-1,0.0,5
feature,Object,1,2,4,0.9516808100847514,5
feature,Scene,0,2,-4,-5.098293056263902,5
feature,Blue,1,2,2,2.4948754705868903,3
feature,Yellow,1,2,1,-1.2480432317651424,3
feature,Red,0,2,-1,0.08939027498074537,3
feature,Animal,1,2,1,-0.0034100017502616264,6
feature,Food,0,2,-1,-1.0684706446740857,6
feature,Scene,1,2,2,0.0,6
feature,Food,1,2,2,2.043847788292236,7
feature,Object,0,2,-2,-1.8509386049904748,7
feature,Scene,1,2,3,2.007925243234517,7
feature,Blue,0,2,-1,0.0,8
feature,Green,0,2,-1,1.002057003158355,8
feature,Red,1,2,2,0.0,8
feature,Animal,0,2,-4,-1.8344809017413337,8
feature,Scene,1,2,1,0.0,8
feature,Food,1,2,1,3.3344868961173146,8
feature,Blue,0,2,-3,-1.1895174276941478,2
feature,Red,1,2,1,0.0,2
feature,Green,1,2,3,1.8125390882100272,2
feature,Green,0,2,-2,-1.9759794356857219,5
feature,Red,1,2,3,3.1433850080212906,5
feature,Yellow,0,2,-1,0.0,5
feature,Animal,0,2,-2,-1.7655289943205497,1
feature,Object,1,2,2,-0.21847853776843218,1
feature,Food,1,2,2,3.017076241992121,1
feature,Scene,0,2,-1,0.0,7
feature,Object,1,2,3,0.5528797851236762,7
feature,Animal,0,2,-2,0.0,7
feature,Object,0,2,-4,-3.6216001092903762,8
feature,Animal,1,2,3,0.0,8
feature,Food,1,2,2,0.0,8
feature,Green,0,2,-1,0.0,1
feature,Yellow,1,2,2,0.0,1
feature,Red,0,2,-1,-2.653520187834254,1
feature,Animal,0,2,-2,1.2075182280323735,3
feature,Food,1,2,2,0.0,3
feature,Object,1,2,1,-0.4803441786291581,3
feature,Animal,1,2,1,-1.278169601129998,6
feature,Food,0,2,-1,2.1811458007986193,6
feature,Scene,1,2,2,0.0,6
feature,Blue,0,2,-2,0.007414530543680797,2
feature,Yellow,0,2,-1,-1.817059870472704,2
feature,Green,1,2,2,2.0343381867949417,2
feature,Animal,1,2,4,0.0,8
feature,Scene,0,2,-2,0.0,8
feature,Food,0,2,-2,0.2288846010796135,8
feature,Animal,0,2,-1,-1.1880969299545943,6
feature,Food,0,2,-1,1.6589211038186877,6
feature,Scene,1,2,2,0.0,6
feature,Blue,1,2,4,1.9508752083083714,1
feature,Yellow,0,2,-2,-0.942268893156868,1
feature,Green,0,2,-2,-2.0763921411481925,1
feature,Yellow,1,2,2,2.415595782974412,7
feature,Red,0,2,-2,0.0,7
feature,Blue,0,2,-2,0.0,7
feature,Green,1,2,1,0.0,7
feature,Yellow,1,2,2,0.0,7
feature,Red,0,2,-1,-0.47301997327639345,7
feature,Food,0,2,-1,0.0,7
feature,Object,0,2,-1,-2.058298487120763,7
feature,Scene,1,2,1,0.0,7
feature,Red,0,2,-2,0.0,1
feature,Blue,1,2,5,0.976119577404334,1
feature,Yellow,0,2,-2,-0.40331106509753367,1
feature,Object,1,2,1,0.128306347567387,4
feature,Scene,0,2,-2,-0.6551482735099101,4
feature,Animal,1,2,1,0.0,4
feature,Blue,1,2,2,1.4359228132697028,8
feature,Red,1,2,1,2.7776901064480057,8
feature,Yellow,0,2,-3,0.029360573532358547,8
feature,Red,1,2,3,0.7365261954456812,6
feature,Green,1,2,1,1.006253616936852,6
feature,Blue,0,2,-5,0.0,6
feature,Yellow,0,2,-1,0.3297232553832917,7
feature,Blue,1,2,2,-1.3328496656250823,7
feature,Green,0,2,-1,-0.70052112691139,7
feature,Food,1,2,1,0.0,7
feature,Object,1,2,1,0.8962273690397053,7
feature,Scene,0,2,-1,-0.2604786286431341,7
feature,Animal,1,2,2,-2.4498136073712304,1
feature,Scene,0,2,-2,0.0,1
feature,Food,1,2,2,0.0,1
feature,Scene,0,2,-4,-1.7269052216331717,7
feature,Food,1,2,2,0.0,7
feature,Object,1,2,2,1.1642902343346255,7
feature,Scene,1,2,2,2.3095925262295003,2
feature,Food,0,2,-1,-2.000492533072198,2
feature,Animal,0,2,-1,0.0,2
feature,Yellow,1,2,2,1.3811175701613485,7
feature,Red,0,2,-2,-2.0909241394940854,7
feature,Blue,0,2,-1,0.0,7
feature,Blue,0,2,-3,-0.6841089668948052,5
feature,Green,1,2,2,0.5726216738468834,5
feature,Yellow,1,2,2,0.0,5
feature,Red,0,2,-1,0.0,1
feature,Blue,1,2,4,0.0,1
feature,Yellow,0,2,-4,-1.5178405386263267,1
feature,Yellow,0,2,-1,0.0,6
feature,Blue,1,2,3,0.0,6
feature,Red,0,2,-2,-0.043798185434673176,6
feature,Blue,1,2,4,2.71970056241222,2
feature,Red,0,2,-1,0.0,2
feature,Green,0,2,-1,-2.4264865402896154,2
feature,Red,0,2,-1,-1.553027437723692,4
feature,Yellow,0,2,-3,-3.3506472694243103,4
feature,Blue,1,2,3,3.6200470276822165,4
feature,Object,0,2,-2,0.0,3
feature,Animal,1,2,3,0.0,3
feature,Scene,0,2,-1,-2.09688938676802,3
feature,Object,0,2,-3,-4.801080270474763,5
feature,Food,1,2,2,2.721782714610683,5
feature,Animal,0,2,-1,0.0,5
feature,Object,1,2,1,-0.19195618092486177,8
