,index,wid,game,item,order,shown
0,0,w2d80146,1,Object_Blue,1,True
1,1,w2d80146,1,Animal_Blue,2,True
2,2,w2d80146,1,Animal_Red,3,True
3,3,w2d80146,1,Object_Red,4,False
4,4,w2d80146,1,Scene_Blue,5,True
5,5,w2d80146,1,Scene_Yellow,6,True
6,6,w2d80146,2,Object_Yellow,1,True
7,7,w2d80146,2,Scene_Red,2,True
8,8,w2d80146,2,Object_Blue,3,True
9,9,w2d80146,2,Object_Red,4,True
10,10,w2d80146,2,Animal_Yellow,5,False
11,11,w2d80146,3,Scene_Green,1,True
12,12,w2d80146,3,Scene_Red,2,True
13,13,w2d80146,3,Object_Green,3,True
14,14,w2d80146,3,Scene_Yellow,4,True
15,15,w2d80146,3,Object_Yellow,5,True
16,16,w2d80146,4,Scene_Blue,1,False
17,17,w2d80146,4,Object_Green,2,True
18,18,w2d80146,4,Food_Yellow,3,False
19,19,w2d80146,4,Scene_Green,4,False
20,20,w2d80146,5,Animal_Yellow,1,True
21,21,w2d80146,5,Scene_Green,2,True
22,22,w2d80146,5,Object_Green,3,False
23,23,w2d80146,5,Animal_Blue,4,True
24,24,w7a04fdc,1,Irrelevant,1,False
25,25,w7a04fdc,1,Irrelevant,2,False
26,26,w7a04fdc,1,Irrelevant,3,False
27,27,w7a04fdc,1,Irrelevant,4,False
28,28,w7a04fdc,1,Irrelevant,5,False
29,29,w7a04fdc,1,Irrelevant,6,False
30,30,w7a04fdc,2,Animal_Green,1,True
31,31,w7a04fdc,2,Food_Red,2,True
32,32,w7a04fdc,3,Scene_Red,1,False
33,33,w7a04fdc,3,Food_Red,2,False
34,34,w7a04fdc,3,Food_Yellow,3,True
35,35,w7a04fdc,4,Food_Red,1,True
36,36,w7a04fdc,4,Animal_Green,2,True
37,65,wca8e71a,1,Scene_Yellow,1,True
38,66,wca8e71a,1,Scene_Blue,2,True
39,67,wca8e71a,1,Object_Red,3,True
40,68,wca8e71a,1,Animal_Yellow,4,True
41,69,wca8e71a,1,Object_Blue,5,True
42,70,wca8e71a,1,Object_Yellow,6,True
43,71,wca8e71a,2,Scene_Green,1,True
44,72,wca8e71a,2,Food_Red,2,True
45,73,wca8e71a,2,Scene_Yellow,3,True
46,74,wca8e71a,2,Object_Green,4,True
47,75,wca8e71a,2,Scene_Red,5,True
48,76,wca8e71a,2,Scene_Blue,6,False
49,77,wca8e71a,3,Food_Blue,1,True
50,78,wca8e71a,3,Animal_Blue,2,True
51,79,wca8e71a,3,Scene_Red,3,True
52,80,wca8e71a,3,Food_Red,4,True
53,81,wca8e71a,3,Animal_Red,5,True
54,82,wca8e71a,3,Scene_Yellow,6,False
55,83,wca8e71a,4,Animal_Yellow,1,True
56,84,wca8e71a,4,Animal_Green,2,True
57,85,wca8e71a,4,Animal_Blue,3,True
58,86,wca8e71a,4,Object_Blue,4,True
59,87,wca8e71a,4,Object_Yellow,5,True
60,88,wca8e71a,4,Food_Yellow,6,True
61,89,wca8e71a,5,Scene_Green,1,True
62,90,wca8e71a,5,Animal_Green,2,True
63,91,wca8e71a,5,Scene_Blue,3,True
64,92,wca8e71a,5,Scene_Yellow,4,False
65,93,wca8e71a,5,Scene_Red,5,False
66,94,wca8e71a,5,Food_Blue,6,True
67,95,wbcfaf6a,1,Animal_Red,1,True
68,96,wbcfaf6a,1,Object_Yellow,2,False
69,97,wbcfaf6a,1,Food_Blue,3,True
70,98,wbcfaf6a,1,Animal_Green,4,True
71,99,wbcfaf6a,1,Object_Green,5,False
72,100,wbcfaf6a,1,Scene_Red,6,True
73,101,wbcfaf6a,2,Animal_Red,1,False
74,102,wbcfaf6a,2,Scene_Yellow,2,True
75,103,wbcfaf6a,2,Food_Red,3,True
