,index,Unnamed: 0,wid,game,item,order,shown
0,0,0,w18042a7,2,Object_Land_Pattern_Large,2,True
1,1,1,w18042a7,2,Irrelevant,6,False
2,2,2,w18042a7,3,Object_Land_Pattern_Small,1,True
3,3,3,w18042a7,4,Animal_Sea_Pattern_Small,1,True
4,4,4,w18042a7,4,Animal_Sea_Pattern_Large,2,True
5,5,5,w18042a7,4,Object_Sea_Solid_Large,3,True
6,6,6,w18042a7,4,Animal_Land_Pattern_Large,4,True
7,7,7,w18042a7,4,Animal_Sea_Solid_Large,6,True
8,8,8,w18042a7,5,Object_Sea_Pattern_Large,1,True
9,9,9,w18042a7,5,Animal_Land_Solid_Large,2,True
10,10,10,w18042a7,5,Animal_Sea_Solid_Small,3,True
11,11,11,w18042a7,5,Animal_Sea_Solid_Large,5,True
12,12,12,w18042a7,5,Animal_Sea_Pattern_Large,6,True
13,13,13,w18042a7,6,Irrelevant,2,False
14,14,14,w18042a7,6,Animal_Sea_Pattern_Small,3,True
15,15,15,w18042a7,6,Animal_Land_Pattern_Large,4,True
16,16,16,w18042a7,6,Animal_Land_Solid_Small,5,True
17,17,17,w18042a7,6,Animal_Sea_Solid_Small,6,True
18,18,18,w18042a7,7,Object_Land_Pattern_Large,1,True
19,19,19,w18042a7,7,Object_Land_Pattern_Small,2,True
20,20,20,w18042a7,7,Object_Land_Solid_Small,3,True
21,21,21,w18042a7,7,Animal_Land_Solid_Small,4,True
22,22,22,w18042a7,7,Animal_Sea_Pattern_Small,5,True
23,23,23,w18042a7,7,Animal_Land_Pattern_Large,6,True
24,24,24,w2b4a70d,1,Animal_Sea_Pattern_Small,1,True
25,25,25,w2b4a70d,1,Object_Land_Pattern_Large,2,True
26,26,26,w2b4a70d,1,Animal_Sea_Solid_Large,3,False
27,27,27,w2b4a70d,1,Animal_Land_Solid_Large,4,False
28,28,28,w2b4a70d,1,Object_Sea_Pattern_Small,5,True
29,29,29,w2b4a70d,2,Animal_Sea_Solid_Large,1,True
30,30,30,w2b4a70d,2,Object_Land_Pattern_Large,2,False
31,31,31,w2b4a70d,2,Animal_Land_Solid_Small,3,True
32,32,32,w2b4a70d,2,Object_Sea_Solid_Small,4,True
33,33,33,w2b4a70d,2,Object_Land_Solid_Large,5,True
34,34,34,w2b4a70d,3,Object_Land_Pattern_Small,1,True
35,35,35,w2b4a70d,3,Object_Sea_Solid_Small,2,True
36,36,36,w2b4a70d,3,Animal_Sea_Solid_Small,3,True
