,index,Unnamed: 0,wid,game,item,order,shown,multi_time,0
0,0,0,wcc033bc,1,Object_Red,2,False,After,3
1,1,1,wcc033bc,1,Scene_Red,3,False,After,3
2,2,2,wcc033bc,1,Food_Red,4,False,After,3
3,3,3,wcc033bc,1,Object_Blue,5,False,After,3
4,4,4,wcc033bc,1,Food_Blue,6,False,After,3
5,5,5,wcc033bc,2,Animal_Green,1,False,Before,3
6,6,6,wcc033bc,2,Object_Blue,2,True,Before,3
7,7,7,wcc033bc,2,Food_Red,3,True,Before,3
8,8,8,wcc033bc,2,Food_Blue,4,True,Before,3
9,9,9,wcc033bc,2,Scene_Yellow,5,False,Before,3
10,10,10,wcc033bc,2,Scene_Blue,6,False,Before,3
11,11,11,wcc033bc,3,Scene_Red,1,True,After,3
12,12,12,wcc033bc,3,Animal_Yellow,2,True,After,3
13,13,13,wcc033bc,3,Food_Green,3,False,After,3
14,14,14,wcc033bc,3,Food_Blue,4,False,After,3
15,15,15,wcc033bc,3,Animal_Green,5,False,After,3
16,16,16,wcc033bc,3,Scene_Blue,6,True,After,3
17,17,17,w367fa57,1,Animal_Red,1,True,After,3
18,18,18,w367fa57,1,Object_Red,2,True,After,3
19,19,19,w367fa57,2,Scene_Green,1,True,Before,3
20,20,20,w367fa57,2,Food_Yellow,3,True,Before,3
21,21,21,w367fa57,2,Animal_Yellow,4,False,Before,3
22,22,22,w367fa57,2,Food_Blue,5,True,Before,3
23,23,23,w367fa57,3,Food_Red,1,True,After,3
24,24,24,w367fa57,3,Animal_Green,3,True,After,3
25,25,25,w367fa57,3,Food_Blue,4,True,After,3
26,26,26,w367fa57,3,Scene_Red,5,True,After,3
27,27,27,w367fa57,3,Scene_Blue,6,False,After,3
28,28,28,w367fa57,4,Scene_Yellow,1,True,Before,3
29,29,29,w367fa57,4,Object_Yellow,2,True,Before,3
30,30,30,w367fa57,4,Scene_Green,3,False,Before,3
31,31,31,w367fa57,4,Scene_Blue,4,True,Before,3
32,32,32,w367fa57,4,Animal_Red,5,True,Before,3
33,33,33,w367fa57,4,Food_Blue,6,False,Before,3
34,34,34,w367fa57,5,Object_Yellow,1,True,After,3
35,35,35,w367fa57,5,Object_Green,2,True,After,3
36,36,36,w367fa57,5,Food_Green,3,True,After,3
37,37,37,w367fa57,5,Animal_Blue,4,True,After,3
38,38,38,w367fa57,5,Animal_Green,5,True,After,3
39,39,39,w367fa57,5,Object_Blue,6,True,After,3
40,40,40,w367fa57,6,Object_Red,1,True,Before,3
41,41,41,w367fa57,6,Food_Blue,2,True,Before,3
42,42,42,w367fa57,6,Food_Red,3,True,Before,3
43,43,43,w367fa57,6,Scene_Red,4,True,Before,3
44,44,44,w367fa57,6,Scene_Yellow,5,True,Before,3
45,45,45,w367fa57,6,Scene_Blue,6,True,Before,3
46,46,46,w367fa57,7,Animal_Blue,2,True,After,3
47,47,47,w367fa57,7,Object_Red,3,True,After,3
48,48,48,w367fa57,7,Object_Blue,6,True,After,3
49,49,49,w367fa57,8,Scene_Red,1,True,Before,6
50,50,50,w367fa57,8,Food_Red,2,True,Before,6
51,51,51,w367fa57,8,Animal_Yellow,3,True,Before,6
52,52,52,w367fa57,8,Animal_Red,4,True,Before,6
53,53,53,w367fa57,8,Food_Yellow,6,True,Before,6
54,54,54,w54c2956,1,Scene_Blue,1,True,Before,3
55,55,55,w54c2956,1,Food_Red,2,True,Before,3
56,56,56,w54c2956,1,Object_Blue,3,True,Before,3
57,57,57,w54c2956,1,Object_Green,4,True,Before,3
58,58,58,w54c2956,1,Food_Green,5,True,Before,3
59,59,59,w54c2956,2,Scene_Yellow,1,True,After,3
60,60,60,w54c2956,2,Object_Green,2,False,After,3
61,61,61,w54c2956,2,Food_Green,3,True,After,3
62,62,62,w54c2956,2,Food_Blue,4,False,After,3
63,63,63,w54c2956,2,Animal_Yellow,5,True,After,3
64,64,64,w54c2956,3,Scene_Red,1,True,Before,3
65,65,65,w54c2956,3,Food_Blue,2,False,Before,3
66,66,66,w54c2956,3,Animal_Yellow,3,False,Before,3
67,67,67,w54c2956,3,Animal_Red,4,True,Before,3
68,68,68,w54c2956,3,Object_Green,5,True,Before,3
69,69,69,w54c2956,3,Object_Red,6,True,Before,3
70,70,70,w54c2956,4,Animal_Yellow,1,True,After,3
71,71,71,w54c2956,4,Object_Blue,3,True,After,3
72,72,72,w54c2956,4,Food_Blue,4,True,After,3
73,73,73,w54c2956,4,Object_Red,5,True,After,3
74,74,74,w54c2956,4,Animal_Red,6,False,After,3
75,75,75,w54c2956,5,Object_Yellow,1,False,Before,3
76,76,76,w54c2956,5,Object_Green,2,True,Before,3
77,77,77,w54c2956,5,Animal_Blue,3,True,Before,3
78,78,78,w54c2956,5,Animal_Yellow,4,False,Before,3
79,79,79,w54c2956,5,Scene_Blue,5,True,Before,3
80,80,80,w54c2956,5,Scene_Green,6,True,Before,3
81,81,81,w54c2956,6,Animal_Red,1,True,After,3
82,82,82,w54c2956,6,Food_Blue,2,True,After,3
83,83,83,w54c2956,6,Food_Yellow,3,True,After,3
84,84,84,w54c2956,6,Animal_Yellow,4,True,After,3
85,85,85,w54c2956,7,Animal_Yellow,1,False,Before,3
86,86,86,w54c2956,7,Animal_Red,2,False,Before,3
87,87,87,w54c2956,7,Object_Green,3,False,Before,3
88,88,88,w54c2956,7,Object_Yellow,4,True,Before,3
89,89,89,w54c2956,7,Scene_Blue,5,False,Before,3
90,90,90,w54c2956,7,Food_Yellow,6,True,Before,3
91,91,91,w54c2956,8,Animal_Yellow,1,False,After,6
92,92,92,w54c2956,8,Scene_Green,2,False,After,6
93,93,93,w54c2956,8,Animal_Green,3,True,After,6
94,94,94,w54c2956,8,Object_Blue,4,True,After,6
95,95,95,w54c2956,8,Food_Red,5,True,After,6
96,96,96,w1d52e8b,1,Animal_Green,1,True,After,3
97,97,97,w1d52e8b,1,Object_Red,2,False,After,3
98,98,98,w1d52e8b,1,Scene_Blue,3,True,After,3
99,99,99,w1d52e8b,1,Animal_Yellow,4,True,After,3
100,100,100,w1d52e8b,1,Object_Yellow,5,False,After,3
101,101,101,w1d52e8b,1,Irrelevant,6,False,After,3
102,102,102,w1d52e8b,2,Food_Green,1,True,Before,3
103,103,103,w1d52e8b,2,Scene_Yellow,2,False,Before,3
104,104,104,w1d52e8b,2,Scene_Blue,3,False,Before,3
105,105,105,w1d52e8b,2,Scene_Green,4,True,Before,3
106,106,106,w1d52e8b,2,Animal_Yellow,5,False,Before,3
107,107,107,w1d52e8b,3,Scene_Green,1,False,After,3
108,108,108,w1d52e8b,3,Scene_Blue,2,True,After,3
109,109,109,w1d52e8b,3,Scene_Yellow,3,True,After,3
110,110,110,w1d52e8b,3,Scene_Red,4,True,After,3
111,111,111,w1d52e8b,3,Animal_Red,5,True,After,3
112,112,112,w1d52e8b,3,Animal_Yellow,6,True,After,3
113,113,113,w1d52e8b,4,Food_Green,1,True,Before,3
114,114,114,w1d52e8b,4,Animal_Red,2,True,Before,3
115,115,115,w1d52e8b,4,Animal_Yellow,3,False,Before,3
116,116,116,w1d52e8b,4,Scene_Blue,4,False,Before,3
117,117,117,w1d52e8b,4,Scene_Red,5,False,Before,3
118,118,118,w1d52e8b,4,Animal_Green,6,False,Before,3
119,119,119,w1d52e8b,5,Animal_Red,1,True,After,3
120,120,120,w1d52e8b,5,Scene_Blue,2,False,After,3
121,121,121,w1d52e8b,5,Animal_Green,3,True,After,3
122,122,122,w1d52e8b,5,Scene_Red,4,True,After,3
123,123,123,w1d52e8b,5,Object_Red,5,False,After,3
124,124,124,w1d52e8b,5,Object_Yellow,6,False,After,3
125,125,125,w1d52e8b,6,Scene_Green,1,True,Before,3
126,126,126,w1d52e8b,6,Animal_Green,2,True,Before,3
127,127,127,w1d52e8b,6,Scene_Red,3,True,Before,3
128,128,128,w1d52e8b,6,Object_Yellow,4,False,Before,3
129,129,129,w1d52e8b,6,Animal_Red,5,False,Before,3
130,130,130,w1d52e8b,6,Scene_Yellow,6,False,Before,3
131,131,131,w1d52e8b,7,Object_Blue,1,True,After,3
132,132,132,w1d52e8b,7,Object_Yellow,2,True,After,3
133,133,133,w1d52e8b,7,Object_Red,3,False,After,3
134,134,134,w1d52e8b,7,Food_Red,4,False,After,3
135,135,135,w1d52e8b,7,Food_Blue,5,True,After,3
136,136,136,w1d52e8b,7,Food_Yellow,6,False,After,3
137,137,137,w1d52e8b,8,Object_Blue,1,True,Before,6
138,138,138,w1d52e8b,8,Scene_Yellow,2,False,Before,6
139,139,139,w1d52e8b,8,Object_Yellow,3,True,Before,6
140,140,140,w1d52e8b,8,Animal_Yellow,4,True,Before,6
141,141,141,w1d52e8b,8,Animal_Green,5,False,Before,6
142,142,142,w1d52e8b,8,Food_Red,6,False,Before,6
143,143,143,w9182e0b,1,Irrelevant,1,False,Before,3
144,144,144,w9182e0b,1,Irrelevant,2,False,Before,3
145,145,145,w9182e0b,1,Irrelevant,3,False,Before,3
146,146,146,w9182e0b,1,Irrelevant,4,False,Before,3
147,147,147,w9182e0b,2,Object_Blue,1,True,After,3
148,148,148,w9182e0b,2,Object_Green,2,False,After,3
149,149,149,w9182e0b,2,Scene_Green,3,True,After,3
150,150,150,w9182e0b,2,Food_Yellow,4,True,After,3
151,151,151,w9182e0b,2,Animal_Yellow,5,False,After,3
152,152,152,w9182e0b,2,Animal_Red,6,False,After,3
153,153,153,w9182e0b,3,Scene_Yellow,1,False,Before,3
154,154,154,w9182e0b,3,Scene_Green,2,True,Before,3
155,155,155,w9182e0b,3,Object_Blue,3,False,Before,3
156,156,156,w9182e0b,3,Animal_Green,4,True,Before,3
157,157,157,w9182e0b,3,Scene_Blue,5,False,Before,3
158,158,158,w9182e0b,3,Food_Red,6,True,Before,3
159,159,159,w9182e0b,4,Animal_Red,1,True,After,3
160,160,160,w9182e0b,4,Scene_Blue,2,True,After,3
161,161,161,w9182e0b,4,Animal_Green,3,False,After,3
162,162,162,w9182e0b,4,Food_Red,4,False,After,3
163,163,163,w9182e0b,4,Animal_Yellow,5,True,After,3
164,164,164,w9182e0b,4,Food_Green,6,False,After,3
165,165,165,w9182e0b,5,Food_Green,1,True,Before,3
166,166,166,w9182e0b,5,Object_Green,2,True,Before,3
167,167,167,w9182e0b,5,Animal_Green,3,True,Before,3
168,168,168,w9182e0b,5,Animal_Blue,4,True,Before,3
169,169,169,w9182e0b,5,Object_Blue,5,True,Before,3
170,170,170,w9182e0b,5,Scene_Yellow,6,False,Before,3
171,171,171,w9182e0b,6,Food_Blue,1,True,After,3
172,172,172,w9182e0b,6,Object_Red,2,True,After,3
173,173,173,w9182e0b,6,Scene_Blue,3,True,After,3
174,174,174,w9182e0b,6,Scene_Yellow,4,True,After,3
175,175,175,w9182e0b,6,Food_Red,5,True,After,3
176,176,176,w9182e0b,6,Food_Green,6,False,After,3
177,177,177,w9182e0b,7,Object_Green,1,True,Before,3
178,178,178,w9182e0b,7,Animal_Blue,2,True,Before,3
179,179,179,w9182e0b,7,Scene_Yellow,3,False,Before,3
180,180,180,w9182e0b,7,Object_Red,4,True,Before,3
181,181,181,w9182e0b,7,Animal_Green,5,True,Before,3
182,182,182,w9182e0b,7,Scene_Blue,6,False,Before,3
183,183,183,w9182e0b,8,Scene_Yellow,1,False,After,6
184,184,184,w9182e0b,8,Food_Yellow,2,True,After,6
185,185,185,w9182e0b,8,Animal_Red,3,True,After,6
186,186,186,w9182e0b,8,Food_Green,4,True,After,6
187,187,187,w9182e0b,8,Scene_Blue,5,False,After,6
188,188,188,w9182e0b,8,Animal_Yellow,6,True,After,6
189,243,243,waf52734,1,Object_Yellow,1,True,Before,3
190,244,244,waf52734,1,Animal_Red,2,False,Before,3
191,245,245,waf52734,1,Object_Blue,3,True,Before,3
192,246,246,waf52734,1,Food_Blue,4,True,Before,3
193,247,247,waf52734,1,Object_Green,5,True,Before,3
194,248,248,waf52734,1,Animal_Green,6,True,Before,3
195,249,249,waf52734,2,Object_Blue,1,True,After,3
196,250,250,waf52734,2,Scene_Red,2,True,After,3
197,251,251,waf52734,2,Scene_Green,3,True,After,3
198,252,252,waf52734,2,Food_Red,4,True,After,3
199,253,253,waf52734,2,Scene_Blue,5,True,After,3
200,254,254,waf52734,2,Object_Red,6,True,After,3
201,255,255,waf52734,3,Animal_Red,1,True,Before,3
202,256,256,waf52734,3,Scene_Red,2,False,Before,3
203,257,257,waf52734,3,Scene_Yellow,3,True,Before,3
204,258,258,waf52734,3,Animal_Yellow,4,True,Before,3
205,259,259,waf52734,3,Food_Yellow,5,True,Before,3
206,260,260,waf52734,3,Food_Green,6,True,Before,3
207,261,261,waf52734,4,Animal_Blue,1,True,After,3
208,262,262,waf52734,4,Animal_Yellow,2,True,After,3
209,263,263,waf52734,4,Object_Yellow,3,True,After,3
210,264,264,waf52734,4,Scene_Blue,4,True,After,3
211,265,265,waf52734,4,Scene_Yellow,5,True,After,3
212,266,266,waf52734,4,Animal_Red,6,True,After,3
213,267,267,waf52734,5,Scene_Green,1,True,Before,3
214,268,268,waf52734,5,Food_Blue,2,True,Before,3
215,269,269,waf52734,5,Food_Yellow,3,True,Before,3
216,270,270,waf52734,5,Animal_Yellow,4,True,Before,3
217,271,271,waf52734,5,Object_Yellow,5,False,Before,3
218,272,272,waf52734,5,Food_Green,6,True,Before,3
219,273,273,waf52734,6,Object_Green,1,True,After,3
220,274,274,waf52734,6,Food_Green,2,True,After,3
221,275,275,waf52734,6,Scene_Red,3,True,After,3
222,276,276,waf52734,6,Scene_Green,4,True,After,3
223,277,277,waf52734,6,Food_Red,5,True,After,3
224,278,278,waf52734,6,Food_Yellow,6,True,After,3
225,279,279,waf52734,7,Scene_Red,1,True,Before,3
226,280,280,waf52734,7,Scene_Blue,2,True,Before,3
227,281,281,waf52734,7,Scene_Yellow,3,True,Before,3
228,282,282,waf52734,7,Object_Yellow,4,True,Before,3
229,283,283,waf52734,7,Animal_Red,5,True,Before,3
230,284,284,waf52734,7,Object_Red,6,True,Before,3
231,285,285,waf52734,8,Animal_Blue,1,True,After,6
232,286,286,waf52734,8,Food_Blue,2,True,After,6
233,287,287,waf52734,8,Object_Red,3,True,After,6
234,288,288,waf52734,8,Animal_Green,4,True,After,6
235,289,289,waf52734,8,Object_Green,5,True,After,6
236,290,290,waf52734,8,Food_Red,6,False,After,6
237,291,291,w311c43d,1,Animal_Red,1,False,After,3
238,292,292,w311c43d,1,Object_Red,2,False,After,3
239,293,293,w311c43d,1,Food_Red,3,False,After,3
240,294,294,w311c43d,1,Food_Blue,4,True,After,3
241,295,295,w311c43d,1,Object_Blue,5,True,After,3
242,296,296,w311c43d,1,Scene_Blue,6,False,After,3
243,297,297,w311c43d,2,Food_Red,1,True,Before,3
244,298,298,w311c43d,2,Scene_Green,2,True,Before,3
245,299,299,w311c43d,2,Scene_Blue,3,True,Before,3
246,300,300,w311c43d,2,Object_Red,4,True,Before,3
247,301,301,w311c43d,2,Scene_Red,5,True,Before,3
248,302,302,w311c43d,2,Food_Blue,6,False,Before,3
249,303,303,w311c43d,3,Food_Red,1,True,After,3
250,304,304,w311c43d,3,Scene_Yellow,2,True,After,3
251,305,305,w311c43d,3,Food_Yellow,4,True,After,3
252,306,306,w311c43d,3,Animal_Red,6,True,After,3
253,307,307,w311c43d,4,Animal_Yellow,2,True,Before,3
254,308,308,w311c43d,4,Scene_Blue,3,True,Before,3
255,309,309,w311c43d,4,Scene_Yellow,4,True,Before,3
256,310,310,w311c43d,4,Animal_Red,5,True,Before,3
257,311,311,w311c43d,5,Animal_Yellow,1,True,After,3
258,312,312,w311c43d,5,Scene_Green,2,True,After,3
259,313,313,w311c43d,5,Scene_Blue,3,False,After,3
260,314,314,w311c43d,5,Irrelevant,6,False,After,3
261,315,315,w311c43d,6,Food_Red,1,True,Before,3
262,316,316,w311c43d,6,Scene_Green,2,True,Before,3
263,317,317,w311c43d,6,Food_Green,3,True,Before,3
264,318,318,w311c43d,6,Food_Yellow,4,True,Before,3
265,319,319,w311c43d,6,Food_Red,5,True,Before,3
266,320,320,w311c43d,7,Scene_Red,2,True,After,3
267,321,321,w311c43d,7,Object_Green,3,False,After,3
268,322,322,w311c43d,8,Object_Yellow,1,False,Before,6
269,323,323,w311c43d,8,Object_Green,2,True,Before,6
270,324,324,w311c43d,8,Animal_Green,3,True,Before,6
271,325,325,w311c43d,8,Object_Blue,4,True,Before,6
272,326,326,w311c43d,8,Object_Red,5,True,Before,6
273,327,327,wee338ab,1,Irrelevant,1,False,After,3
274,328,328,wee338ab,1,Irrelevant,2,False,After,3
275,329,329,wee338ab,1,Irrelevant,3,False,After,3
276,330,330,wee338ab,2,Scene_Green,1,True,Before,3
277,331,331,wee338ab,2,Scene_Blue,2,True,Before,3
278,332,332,wee338ab,2,Food_Yellow,3,True,Before,3
279,333,333,wee338ab,2,Object_Yellow,4,False,Before,3
280,334,334,wee338ab,2,Object_Green,5,False,Before,3
281,335,335,wee338ab,2,Scene_Yellow,6,True,Before,3
282,336,336,wee338ab,3,Food_Red,1,True,After,3
283,337,337,wee338ab,3,Scene_Green,2,True,After,3
284,338,338,wee338ab,3,Scene_Red,3,True,After,3
285,339,339,wee338ab,3,Animal_Green,4,True,After,3
286,340,340,wee338ab,3,Food_Blue,5,True,After,3
287,341,341,wee338ab,3,Object_Green,6,False,After,3
288,342,342,wee338ab,4,Object_Yellow,1,True,Before,3
289,343,343,wee338ab,4,Scene_Yellow,2,True,Before,3
290,344,344,wee338ab,4,Animal_Red,3,True,Before,3
291,345,345,wee338ab,4,Scene_Blue,4,True,Before,3
292,346,346,wee338ab,4,Food_Green,5,False,Before,3
293,347,347,wee338ab,4,Food_Blue,6,False,Before,3
294,348,348,wee338ab,5,Animal_Blue,1,True,After,3
295,349,349,wee338ab,5,Animal_Yellow,2,False,After,3
296,350,350,wee338ab,5,Food_Green,3,True,After,3
297,351,351,wee338ab,5,Scene_Green,4,False,After,3
298,352,352,wee338ab,5,Object_Yellow,5,True,After,3
299,353,353,wee338ab,5,Object_Green,6,True,After,3
300,354,354,wee338ab,6,Object_Red,1,True,Before,3
301,355,355,wee338ab,6,Food_Red,2,True,Before,3
302,356,356,wee338ab,6,Food_Blue,3,True,Before,3
303,357,357,wee338ab,6,Scene_Blue,4,True,Before,3
304,358,358,wee338ab,6,Scene_Red,5,True,Before,3
305,359,359,wee338ab,6,Animal_Blue,6,False,Before,3
306,360,360,wee338ab,7,Scene_Green,1,True,After,3
307,361,361,wee338ab,7,Food_Red,2,False,After,3
308,362,362,wee338ab,7,Animal_Green,3,True,After,3
309,363,363,wee338ab,7,Food_Blue,4,False,After,3
310,364,364,wee338ab,7,Object_Green,5,True,After,3
311,365,365,wee338ab,7,Animal_Blue,6,True,After,3
312,366,366,wee338ab,8,Food_Yellow,1,True,Before,6
313,367,367,wee338ab,8,Food_Green,2,True,Before,6
314,368,368,wee338ab,8,Food_Blue,3,False,Before,6
315,369,369,wee338ab,8,Animal_Red,4,True,Before,6
316,370,370,wee338ab,8,Object_Blue,5,False,Before,6
317,371,371,wee338ab,8,Animal_Green,6,False,Before,6
318,372,372,wdd486da,1,Object_Yellow,1,True,After,3
319,373,373,wdd486da,1,Object_Red,2,False,After,3
320,374,374,wdd486da,1,Object_Blue,3,True,After,3
321,375,375,wdd486da,1,Scene_Yellow,4,False,After,3
322,376,376,wdd486da,1,Food_Blue,5,True,After,3
323,377,377,wdd486da,1,Food_Red,6,False,After,3
324,378,378,wdd486da,2,Object_Blue,1,True,Before,3
325,379,379,wdd486da,2,Object_Red,2,True,Before,3
326,380,380,wdd486da,2,Animal_Blue,3,False,Before,3
327,381,381,wdd486da,2,Food_Red,4,True,Before,3
328,382,382,wdd486da,2,Object_Yellow,5,False,Before,3
329,383,383,wdd486da,3,Animal_Yellow,1,True,After,3
330,384,384,wdd486da,3,Scene_Yellow,2,True,After,3
331,385,385,wdd486da,3,Object_Yellow,3,False,After,3
332,386,386,wdd486da,3,Object_Red,4,False,After,3
333,387,387,wdd486da,3,Object_Blue,5,False,After,3
334,388,388,wdd486da,3,Scene_Green,6,False,After,3
335,389,389,wdd486da,4,Animal_Red,1,True,Before,3
336,390,390,wdd486da,4,Food_Red,2,False,Before,3
337,391,391,wdd486da,4,Animal_Blue,3,True,Before,3
338,392,392,wdd486da,4,Object_Yellow,4,True,Before,3
339,393,393,wdd486da,4,Scene_Yellow,5,True,Before,3
340,394,394,wdd486da,5,Animal_Red,1,False,After,3
341,395,395,wdd486da,5,Scene_Green,2,True,After,3
342,396,396,wdd486da,5,Scene_Blue,3,False,After,3
343,397,397,wdd486da,5,Object_Yellow,4,False,After,3
344,398,398,wdd486da,5,Animal_Yellow,5,True,After,3
345,399,399,wdd486da,5,Food_Yellow,6,True,After,3
346,400,400,wdd486da,6,Scene_Yellow,1,False,Before,3
347,401,401,wdd486da,6,Scene_Blue,2,False,Before,3
348,402,402,wdd486da,6,Scene_Green,3,True,Before,3
349,403,403,wdd486da,6,Food_Yellow,4,True,Before,3
350,404,404,wdd486da,6,Food_Red,5,True,Before,3
351,405,405,wdd486da,6,Animal_Red,6,False,Before,3
352,406,406,wdd486da,7,Scene_Blue,1,True,After,3
353,407,407,wdd486da,7,Animal_Red,2,True,After,3
