,index,Unnamed: 0,wid,game,item,order,shown,multi_time,0
0,0,0,w593f4a8,1,Object_Red,2,False,After,1
1,1,1,w593f4a8,1,Scene_Blue,3,False,After,1
2,2,2,w593f4a8,1,Animal_Yellow,4,False,After,1
3,3,3,w593f4a8,1,Food_Blue,5,True,After,1
4,4,4,w593f4a8,1,Animal_Green,6,True,After,1
5,5,5,w593f4a8,2,Object_Red,1,True,Before,1
6,6,6,w593f4a8,2,Scene_Green,2,True,Before,1
7,7,7,w593f4a8,2,Scene_Red,3,True,Before,1
8,8,8,w593f4a8,2,Scene_Blue,4,True,Before,1
9,9,9,w593f4a8,2,Food_Blue,5,False,Before,1
10,10,10,w593f4a8,3,Animal_Red,1,True,After,1
11,11,11,w593f4a8,3,Object_Blue,2,False,After,1
12,12,12,w593f4a8,3,Scene_Yellow,3,True,After,1
13,13,13,w593f4a8,4,Animal_Yellow,1,True,Before,1
14,14,14,w593f4a8,4,Animal_Red,4,True,Before,1
15,15,15,w593f4a8,4,Animal_Blue,5,True,Before,1
16,16,16,w593f4a8,4,Scene_Yellow,6,True,Before,1
17,17,17,w593f4a8,5,Food_Yellow,1,True,After,1
18,18,18,w593f4a8,5,Food_Green,2,True,After,1
19,19,19,w593f4a8,5,Animal_Green,3,True,After,1
20,20,20,w593f4a8,5,Animal_Yellow,4,True,After,1
21,21,21,w593f4a8,5,Food_Blue,5,True,After,1
22,22,22,w593f4a8,5,Scene_Green,6,True,After,1
23,23,23,w593f4a8,6,Food_Yellow,1,True,Before,1
24,24,24,w593f4a8,6,Food_Red,2,True,Before,1
25,25,25,w593f4a8,6,Scene_Red,4,True,Before,1
26,26,26,w593f4a8,6,Food_Green,5,True,Before,1
27,27,27,w593f4a8,6,Scene_Green,6,True,Before,1
28,28,28,w593f4a8,7,Scene_Green,3,False,After,1
29,29,29,w593f4a8,7,Food_Yellow,4,False,After,1
30,30,30,w593f4a8,7,Animal_Yellow,5,False,After,1
31,31,31,w593f4a8,8,Animal_Blue,1,True,Before,1
32,32,32,w593f4a8,8,Object_Blue,2,True,Before,1
33,33,33,w593f4a8,8,Animal_Yellow,3,False,Before,1
34,34,34,w593f4a8,8,Animal_Green,4,True,Before,1
35,35,35,w593f4a8,8,Food_Blue,5,True,Before,1
36,36,36,w593f4a8,9,Animal_Yellow,1,True,After,6
37,37,37,w593f4a8,9,Scene_Yellow,2,True,After,6
38,38,38,w593f4a8,9,Animal_Red,3,True,After,6
39,39,39,w593f4a8,9,Scene_Blue,4,True,After,6
40,40,40,w593f4a8,9,Object_Red,5,False,After,6
41,41,41,w593f4a8,9,Object_Yellow,6,True,After,6
42,42,42,w13e388b,1,Food_Red,1,True,After,1
43,43,43,w13e388b,1,Scene_Blue,2,True,After,1
44,44,44,w13e388b,1,Object_Blue,3,True,After,1
45,45,45,w13e388b,1,Animal_Green,4,False,After,1
46,46,46,w13e388b,1,Food_Blue,5,True,After,1
47,47,47,w13e388b,1,Object_Yellow,6,False,After,1
48,48,48,w13e388b,2,Scene_Blue,1,True,Before,1
49,49,49,w13e388b,2,Scene_Green,2,True,Before,1
50,50,50,w13e388b,2,Animal_Green,3,False,Before,1
51,51,51,w13e388b,2,Scene_Yellow,4,True,Before,1
52,52,52,w13e388b,2,Food_Yellow,5,True,Before,1
53,53,53,w13e388b,2,Animal_Yellow,6,True,Before,1
54,54,54,w13e388b,3,Object_Red,1,True,After,1
55,55,55,w13e388b,3,Object_Green,2,True,After,1
56,56,56,w13e388b,3,Animal_Red,3,True,After,1
57,57,57,w13e388b,3,Animal_Yellow,4,False,After,1
58,58,58,w13e388b,3,Animal_Green,5,True,After,1
59,59,59,w13e388b,4,Object_Blue,1,True,Before,1
60,60,60,w13e388b,4,Animal_Blue,2,True,Before,1
61,61,61,w13e388b,4,Object_Red,3,True,Before,1
62,62,62,w13e388b,4,Animal_Red,4,False,Before,1
63,63,63,w13e388b,4,Animal_Yellow,5,True,Before,1
64,64,64,w13e388b,5,Object_Green,1,True,After,1
65,65,65,w13e388b,5,Scene_Yellow,2,True,After,1
66,66,66,w13e388b,5,Animal_Blue,3,True,After,1
67,67,67,w13e388b,5,Animal_Green,4,True,After,1
68,68,68,w13e388b,5,Scene_Red,5,False,After,1
69,69,69,w13e388b,5,Food_Yellow,6,False,After,1
70,70,70,w13e388b,6,Food_Yellow,1,True,Before,1
71,71,71,w13e388b,6,Animal_Yellow,2,True,Before,1
72,72,72,w13e388b,6,Food_Red,3,True,Before,1
73,73,73,w13e388b,6,Animal_Green,4,False,Before,1
74,74,74,w13e388b,6,Food_Blue,5,True,Before,1
75,75,75,w13e388b,6,Scene_Red,6,True,Before,1
76,76,76,w13e388b,7,Scene_Green,1,True,After,1
77,77,77,w13e388b,7,Scene_Red,2,True,After,1
78,78,78,w13e388b,7,Food_Red,3,False,After,1
79,79,79,w13e388b,7,Scene_Yellow,4,True,After,1
80,80,80,w13e388b,7,Object_Yellow,5,True,After,1
81,81,81,w13e388b,7,Food_Yellow,6,True,After,1
82,82,82,w13e388b,8,Food_Red,1,True,Before,1
83,83,83,w13e388b,8,Animal_Red,2,True,Before,1
84,84,84,w13e388b,8,Object_Blue,3,True,Before,1
85,85,85,w13e388b,8,Animal_Green,4,True,Before,1
86,86,86,w13e388b,8,Object_Red,5,True,Before,1
87,87,87,w13e388b,8,Scene_Red,6,False,Before,1
88,88,88,w13e388b,9,Food_Red,1,False,After,6
89,89,89,w13e388b,9,Animal_Yellow,2,True,After,6
90,90,90,w13e388b,9,Food_Yellow,3,True,After,6
91,91,91,w13e388b,9,Scene_Green,4,True,After,6
92,92,92,w13e388b,9,Scene_Blue,5,True,After,6
93,93,93,w13e388b,9,Animal_Green,6,False,After,6
94,94,94,w479605b,1,Scene_Yellow,1,True,After,1
95,95,95,w479605b,1,Animal_Green,2,True,After,1
96,96,96,w479605b,1,Animal_Red,3,False,After,1
97,97,97,w479605b,1,Food_Yellow,4,True,After,1
98,98,98,w479605b,1,Object_Blue,5,False,After,1
