,wid,multi_time,expected_dim,correct_last,correct_full,correct_baseline_corrected
0,w01da968,Before,False,1.0,1.0,0.0
1,w01da968,Before,True,1.0,1.0,0.0
2,w02461c5,Before,False,0.4,1.0,-0.6
3,w02461c5,Before,True,1.0,1.0,0.0
4,w05f4989,Before,False,1.0,0.75,0.25
5,w05f4989,Before,True,1.0,0.75,0.25
6,w0b3246f,After,False,0.8333333333333334,0.5,0.33333333333333337
7,w0d04a41,Before,False,0.8,0.25,0.55
8,w0d04a41,Before,True,1.0,0.25,0.75
9,w0d62ec5,Before,False,0.4,1.0,-0.6
10,w0d62ec5,Before,True,0.0,1.0,-1.0
11,w0ef0b67,After,False,0.16666666666666666,0.3333333333333333,-0.16666666666666666
12,w0fd8c2c,After,False,0.6666666666666666,0.25,0.41666666666666663
13,w10f7bc5,After,False,0.6666666666666666,0.3333333333333333,0.3333333333333333
14,w11538ef,Before,False,0.6,1.0,-0.4
15,w11538ef,Before,True,1.0,1.0,0.0
16,w117e095,Before,False,0.4,0.75,-0.35
17,w117e095,Before,True,1.0,0.75,0.25
18,w13e388b,After,False,0.5,0.5,0.0
19,w1571d58,Before,False,0.6,0.5,0.09999999999999998
20,w1571d58,Before,True,0.0,0.5,-0.5
21,w1629b0b,After,False,1.0,0.75,0.25
22,w245142a,After,False,1.0,0.5,0.5
23,w277fccf,After,False,0.6666666666666666,0.25,0.41666666666666663
24,w2991322,After,False,0.0,0.5,-0.5
25,w29ed098,After,False,0.6666666666666666,0.25,0.41666666666666663
26,w2a7296e,After,False,0.6666666666666666,0.75,-0.08333333333333337
27,w2bc0b21,After,False,1.0,0.75,0.25
28,w2c1f2f7,Before,False,0.6,0.75,-0.15000000000000002
29,w2c1f2f7,Before,True,1.0,0.75,0.25
30,w2c75db7,After,False,0.6666666666666666,0.75,-0.08333333333333337
31,w308aa07,Before,False,1.0,0.5,0.5
32,w308aa07,Before,True,0.0,0.5,-0.5
33,w30e05e4,After,False,0.6666666666666666,0.25,0.41666666666666663
34,w31b60c3,Before,False,0.6,0.5,0.09999999999999998
35,w31b60c3,Before,True,1.0,0.5,0.5
36,w3327d2a,After,False,0.5,1.0,-0.5
37,w35dbe71,Before,False,0.8,0.75,0.050000000000000044
38,w35dbe71,Before,True,1.0,0.75,0.25
39,w365c8db,After,False,0.8333333333333334,0.5,0.33333333333333337
40,w36b3d2f,Before,False,0.6,0.75,-0.15000000000000002
41,w36b3d2f,Before,True,1.0,0.75,0.25
42,w383e1fe,Before,False,0.6,0.5,0.09999999999999998
43,w383e1fe,Before,True,1.0,0.5,0.5
44,w3b16ba3,Before,False,0.8,1.0,-0.19999999999999996
45,w3b16ba3,Before,True,1.0,1.0,0.0
46,w3c538ad,After,False,0.6666666666666666,1.0,-0.33333333333333337
47,w3d5caa9,After,False,0.5,0.25,0.25
48,w3fc2d2c,After,False,1.0,0.5,0.5
49,w3fdf5b1,After,False,0.6666666666666666,0.75,-0.08333333333333337
50,w409b474,After,False,0.5,0.25,0.25
51,w4400cbf,After,False,0.8333333333333334,0.5,0.33333333333333337
52,w44c6cc9,Before,False,0.6,0.75,-0.15000000000000002
53,w44c6cc9,Before,True,1.0,0.75,0.25
54,w44f5ace,Before,False,0.2,0.6666666666666666,-0.4666666666666666
55,w44f5ace,Before,True,1.0,0.6666666666666666,0.33333333333333337
56,w479605b,After,False,0.8333333333333334,0.75,0.08333333333333337
57,w4bf9dec,Before,False,1.0,0.5,0.5
58,w4bf9dec,Before,True,1.0,0.5,0.5
59,w4ed0320,Before,False,0.4,1.0,-0.6
60,w4ed0320,Before,True,1.0,1.0,0.0
61,w50c12e5,After,False,0.6666666666666666,0.75,-0.08333333333333337
62,w53b40c8,After,False,0.5,0.5,0.0
63,w5685230,Before,False,0.6,1.0,-0.4
64,w5685230,Before,True,1.0,1.0,0.0
65,w56b42b0,Before,False,0.2,0.5,-0.3
66,w56b42b0,Before,True,1.0,0.5,0.5
67,w580c449,After,False,0.5,0.5,0.0
68,w593f4a8,After,False,0.8333333333333334,0.3333333333333333,0.5
69,w5f010fa,Before,False,0.6,0.5,0.09999999999999998
70,w5f010fa,Before,True,0.0,0.5,-0.5
71,w5fb19e8,After,False,0.8333333333333334,1.0,-0.16666666666666663
72,w605fd50,Before,False,0.4,0.75,-0.35
73,w605fd50,Before,True,1.0,0.75,0.25
74,w60e6ea8,Before,False,1.0,0.75,0.25
