,wid,game,item,recalled,outcome,remembered_outcome,outcome_mem_difference,dimension_shown
0,w001d343,1,Animal_Blue,True,-4,-2.0,-2.0,False
1,w001d343,1,Animal_Yellow,False,5,5.0,0.0,True
2,w001d343,1,Food_Blue,True,-6,-3.0,-3.0,False
3,w001d343,1,Food_Green,True,7,8.0,-1.0,False
4,w001d343,1,Food_Yellow,True,-3,7.0,-10.0,True
5,w001d343,1,Scene_Blue,True,8,5.0,3.0,False
6,w001d343,2,Animal_Blue,True,2,-4.0,6.0,False
7,w001d343,2,Animal_Yellow,True,-3,3.0,-6.0,True
8,w001d343,2,Object_Yellow,True,7,7.0,0.0,True
9,w001d343,2,Scene_Blue,True,-8,-8.0,0.0,False
10,w001d343,2,Scene_Red,False,9,4.0,5.0,False
11,w001d343,2,Scene_Yellow,True,-6,9.0,-15.0,True
12,w001d343,3,Animal_Green,True,3,4.0,-1.0,False
13,w001d343,3,Animal_Red,False,-5,4.0,-9.0,False
14,w001d343,3,Object_Blue,True,-8,4.0,-12.0,True
15,w001d343,3,Object_Green,True,7,7.0,0.0,False
16,w001d343,3,Object_Red,False,4,-3.0,7.0,False
17,w001d343,3,Scene_Green,True,-9,-9.0,0.0,False
18,w001d343,4,Food_Red,True,-4,5.0,-9.0,True
19,w001d343,4,Food_Yellow,True,7,4.0,3.0,True
20,w001d343,4,Object_Yellow,False,3,3.0,0.0,False
21,w001d343,4,Scene_Green,True,-5,-9.0,4.0,False
22,w001d343,4,Scene_Red,True,9,7.0,2.0,False
23,w001d343,4,Scene_Yellow,False,-8,-9.0,1.0,False
24,w001d343,5,Animal_Green,True,-3,-2.0,-1.0,False
25,w001d343,5,Animal_Red,False,9,4.0,5.0,False
26,w001d343,5,Food_Red,True,-2,-3.0,1.0,False
27,w001d343,5,Object_Blue,False,6,-3.0,9.0,True
28,w001d343,5,Object_Green,True,5,5.0,0.0,True
29,w001d343,5,Object_Red,True,-8,-9.0,1.0,True
30,w03114c0,1,Animal_Blue,True,4,4.0,0.0,False
31,w03114c0,1,Animal_Green,False,5,5.0,0.0,False
32,w03114c0,1,Animal_Yellow,True,-8,-8.0,0.0,False
33,w03114c0,1,Object_Green,False,-2,-2.0,0.0,False
34,w03114c0,1,Object_Yellow,True,9,3.0,6.0,False
35,w03114c0,1,Scene_Yellow,True,-3,4.0,-7.0,True
36,w03114c0,2,Animal_Green,True,-2,-2.0,0.0,False
37,w03114c0,2,Animal_Red,True,8,-4.0,12.0,False
38,w03114c0,2,Food_Green,True,6,2.0,4.0,False
39,w03114c0,2,Food_Red,True,4,2.0,2.0,False
40,w03114c0,2,Food_Yellow,True,-7,-8.0,1.0,True
41,w03114c0,2,Scene_Red,True,-9,-9.0,0.0,False
42,w03114c0,3,Animal_Blue,False,7,8.0,-1.0,False
43,w03114c0,3,Animal_Red,True,3,4.0,-1.0,False
44,w03114c0,3,Animal_Yellow,False,-8,-2.0,-6.0,False
45,w03114c0,3,Food_Blue,True,-5,-4.0,-1.0,True
46,w03114c0,3,Food_Red,False,2,2.0,0.0,True
47,w03114c0,3,Object_Red,True,-4,-4.0,0.0,False
48,w03114c0,4,Food_Blue,False,9,-4.0,13.0,False
49,w03114c0,4,Object_Blue,True,-7,5.0,-12.0,True
50,w03114c0,4,Object_Green,False,2,2.0,0.0,True
51,w03114c0,4,Scene_Blue,True,-4,8.0,-12.0,False
52,w03114c0,4,Scene_Green,True,-5,4.0,-9.0,False
53,w03114c0,4,Scene_Red,True,8,9.0,-1.0,False
54,w03114c0,5,Food_Yellow,True,4,4.0,0.0,False
55,w03114c0,5,Object_Blue,True,9,9.0,0.0,False
56,w03114c0,5,Object_Red,False,-5,,,False
57,w03114c0,5,Object_Yellow,True,-7,-7.0,0.0,False
58,w03114c0,5,Scene_Blue,False,-8,,,True
59,w03114c0,5,Scene_Yellow,True,6,5.0,1.0,True
60,w0b2b304,1,Food_Blue,True,-8,8.0,-16.0,False
61,w0b2b304,1,Food_Green,True,1,1.0,0.0,False
62,w0b2b304,1,Object_Blue,False,7,7.0,0.0,False
63,w0b2b304,1,Object_Green,True,-5,-5.0,0.0,False
64,w0b2b304,1,Object_Yellow,False,-3,3.0,-6.0,True
65,w0b2b304,1,Scene_Blue,False,6,6.0,0.0,False
66,w0b2b304,2,Animal_Red,True,-4,-4.0,0.0,False
67,w0b2b304,2,Food_Green,True,9,9.0,0.0,False
68,w0b2b304,2,Food_Red,True,-2,-2.0,0.0,False
69,w0b2b304,2,Object_Blue,False,6,6.0,0.0,True
70,w0b2b304,2,Object_Green,True,-7,-5.0,-2.0,False
71,w0b2b304,2,Object_Red,True,5,5.0,0.0,False
72,w0b2b304,3,Animal_Green,True,1,1.0,0.0,True
73,w0b2b304,3,Animal_Yellow,True,-9,0.0,-9.0,True
74,w0b2b304,3,Object_Yellow,True,6,3.0,3.0,False
75,w0b2b304,3,Scene_Green,True,-7,-7.0,0.0,False
76,w0b2b304,3,Scene_Red,True,-5,-3.0,-2.0,False
77,w0b2b304,3,Scene_Yellow,True,8,8.0,0.0,False
78,w0b2b304,4,Animal_Blue,True,8,5.0,3.0,True
79,w0b2b304,4,Animal_Red,True,-2,-2.0,0.0,False
80,w0b2b304,4,Food_Blue,True,4,3.0,1.0,True
81,w0b2b304,4,Food_Red,True,6,6.0,0.0,False
82,w0b2b304,4,Food_Yellow,True,-7,-7.0,0.0,False
83,w0b2b304,4,Scene_Blue,True,-9,-9.0,0.0,True
84,w0b2b304,5,Animal_Blue,True,-7,-7.0,0.0,False
85,w0b2b304,5,Animal_Green,True,-5,-5.0,0.0,False
86,w0b2b304,5,Animal_Yellow,False,8,3.0,5.0,False
87,w0b2b304,5,Food_Yellow,True,2,2.0,0.0,True
88,w0b2b304,5,Scene_Green,True,4,5.0,-1.0,False
89,w0b2b304,5,Scene_Yellow,True,-9,8.0,-17.0,False
90,w0bdd7c4,1,Animal_Blue,False,3,6.0,-3.0,False
91,w0bdd7c4,1,Animal_Green,True,-8,3.0,-11.0,False
92,w0bdd7c4,1,Food_Blue,True,-4,2.0,-6.0,False
93,w0bdd7c4,1,Food_Green,False,7,-8.0,15.0,False
94,w0bdd7c4,1,Food_Red,False,-6,-6.0,0.0,False
95,w0bdd7c4,1,Object_Green,True,2,3.0,-1.0,True
96,w0bdd7c4,2,Food_Blue,True,-5,5.0,-10.0,True
97,w0bdd7c4,2,Food_Yellow,True,8,-4.0,12.0,False
98,w0bdd7c4,2,Object_Blue,True,6,6.0,0.0,True
99,w0bdd7c4,2,Object_Green,False,7,6.0,1.0,False
100,w0bdd7c4,2,Object_Yellow,False,-9,-9.0,0.0,False
101,w0bdd7c4,2,Scene_Blue,False,-3,-5.0,2.0,True
