,wid,game,item,recalled,outcome,remembered_outcome,outcome_mem_difference,dimension_shown
0,w04c1659,1,Food_Blue,True,-3,6.0,-9.0,True
1,w04c1659,1,Food_Red,True,6,3.0,3.0,False
2,w04c1659,1,Object_Red,True,-7,5.0,-12.0,False
3,w04c1659,1,Scene_Blue,True,8,3.0,5.0,True
4,w04c1659,1,Scene_Red,True,4,-9.0,13.0,False
5,w04c1659,1,Scene_Yellow,False,-9,-6.0,-3.0,False
6,w04c1659,2,Animal_Red,False,-7,5.0,-12.0,False
7,w04c1659,2,Food_Green,True,-5,5.0,-10.0,True
8,w04c1659,2,Food_Red,True,3,3.0,0.0,True
9,w04c1659,2,Food_Yellow,False,4,9.0,-5.0,True
10,w04c1659,2,Object_Red,False,6,3.0,3.0,False
11,w04c1659,2,Object_Yellow,True,-8,-2.0,-6.0,False
12,w04c1659,3,Animal_Blue,False,-8,3.0,-11.0,False
13,w04c1659,3,Animal_Green,True,7,-7.0,14.0,True
14,w04c1659,3,Animal_Yellow,True,5,-3.0,8.0,False
15,w04c1659,3,Object_Blue,False,9,-3.0,12.0,False
16,w04c1659,3,Object_Green,True,-6,9.0,-15.0,True
17,w04c1659,3,Scene_Green,True,-4,8.0,-12.0,True
18,w04c1659,4,Animal_Yellow,True,-3,5.0,-8.0,False
19,w04c1659,4,Food_Blue,True,6,-3.0,9.0,True
20,w04c1659,4,Food_Green,False,-9,-6.0,-3.0,True
21,w04c1659,4,Food_Yellow,True,5,4.0,1.0,True
22,w04c1659,4,Scene_Green,True,7,7.0,0.0,False
23,w04c1659,4,Scene_Yellow,True,-4,-8.0,4.0,False
24,w04c1659,5,Animal_Blue,False,4,5.0,-1.0,True
25,w04c1659,5,Animal_Green,True,-6,3.0,-9.0,True
26,w04c1659,5,Animal_Red,True,3,-5.0,8.0,True
27,w04c1659,5,Object_Blue,True,-7,-4.0,-3.0,False
28,w04c1659,5,Scene_Blue,True,5,6.0,-1.0,False
29,w04c1659,5,Scene_Red,True,-1,-8.0,7.0,False
30,w0a90f7a,1,Animal_Blue,True,-4,-6.0,2.0,True
31,w0a90f7a,1,Animal_Yellow,False,6,4.0,2.0,True
32,w0a90f7a,1,Food_Blue,False,-3,5.0,-8.0,False
33,w0a90f7a,1,Object_Blue,False,5,4.0,1.0,False
34,w0a90f7a,1,Object_Green,False,7,3.0,4.0,False
35,w0a90f7a,1,Object_Yellow,True,-8,-3.0,-5.0,False
36,w0a90f7a,2,Animal_Blue,True,6,-6.0,12.0,False
37,w0a90f7a,2,Animal_Green,True,5,4.0,1.0,False
38,w0a90f7a,2,Animal_Red,True,-7,6.0,-13.0,False
39,w0a90f7a,2,Object_Red,False,-8,-5.0,-3.0,False
40,w0a90f7a,2,Scene_Green,True,-4,4.0,-8.0,True
41,w0a90f7a,2,Scene_Red,True,9,9.0,0.0,True
42,w0a90f7a,3,Animal_Red,True,8,6.0,2.0,True
43,w0a90f7a,3,Food_Green,False,-6,5.0,-11.0,False
44,w0a90f7a,3,Food_Red,True,7,-6.0,13.0,True
45,w0a90f7a,3,Food_Yellow,False,-2,4.0,-6.0,False
46,w0a90f7a,3,Object_Green,False,5,4.0,1.0,False
47,w0a90f7a,3,Object_Red,False,-9,-9.0,0.0,True
48,w0a90f7a,4,Animal_Green,False,9,4.0,5.0,False
49,w0a90f7a,4,Animal_Yellow,True,-6,-4.0,-2.0,True
50,w0a90f7a,4,Food_Green,True,-2,-2.0,0.0,False
51,w0a90f7a,4,Scene_Green,True,-8,6.0,-14.0,False
52,w0a90f7a,4,Scene_Red,True,5,9.0,-4.0,False
53,w0a90f7a,4,Scene_Yellow,True,4,5.0,-1.0,True
54,w0a90f7a,5,Food_Blue,False,-3,6.0,-9.0,True
55,w0a90f7a,5,Food_Red,False,9,-6.0,15.0,False
56,w0a90f7a,5,Food_Yellow,False,-7,4.0,-11.0,False
57,w0a90f7a,5,Object_Yellow,True,8,-4.0,12.0,False
58,w0a90f7a,5,Scene_Blue,False,6,6.0,0.0,True
59,w0a90f7a,5,Scene_Yellow,False,-4,4.0,-8.0,False
60,w13816ba,1,Food_Green,True,-2,-2.0,0.0,False
61,w13816ba,1,Food_Red,True,5,5.0,0.0,False
62,w13816ba,1,Object_Red,True,-9,-9.0,0.0,True
63,w13816ba,1,Scene_Blue,True,-7,-9.0,2.0,False
64,w13816ba,1,Scene_Green,True,4,5.0,-1.0,False
65,w13816ba,1,Scene_Red,True,6,9.0,-3.0,False
66,w13816ba,2,Animal_Green,True,9,6.0,3.0,False
67,w13816ba,2,Food_Green,True,-6,-9.0,3.0,False
68,w13816ba,2,Food_Yellow,True,1,1.0,0.0,False
69,w13816ba,2,Object_Blue,True,8,9.0,-1.0,True
70,w13816ba,2,Object_Green,False,-7,-9.0,2.0,True
71,w13816ba,2,Object_Yellow,True,-2,-2.0,0.0,True
72,w13816ba,3,Animal_Blue,True,1,1.0,0.0,True
73,w13816ba,3,Animal_Yellow,True,-6,-5.0,-1.0,True
74,w13816ba,3,Food_Blue,False,-7,-5.0,-2.0,False
75,w13816ba,3,Food_Red,True,9,9.0,0.0,False
76,w13816ba,3,Food_Yellow,True,-4,-4.0,0.0,False
77,w13816ba,3,Scene_Yellow,True,8,9.0,-1.0,False
78,w13816ba,4,Animal_Blue,True,-6,-9.0,3.0,True
79,w13816ba,4,Animal_Red,True,-3,3.0,-6.0,False
80,w13816ba,4,Animal_Yellow,True,7,8.0,-1.0,False
81,w13816ba,4,Object_Blue,True,2,1.0,1.0,True
82,w13816ba,4,Scene_Blue,True,5,5.0,0.0,True
83,w13816ba,4,Scene_Yellow,True,-4,-4.0,0.0,False
84,w13816ba,5,Animal_Green,True,7,9.0,-2.0,True
85,w13816ba,5,Object_Green,True,6,5.0,1.0,True
86,w13816ba,5,Object_Red,True,-3,-3.0,0.0,False
87,w13816ba,5,Object_Yellow,False,-5,-3.0,-2.0,False
88,w13816ba,5,Scene_Green,False,-8,-8.0,0.0,True
89,w13816ba,5,Scene_Red,True,2,3.0,-1.0,False
90,w192a97f,1,Animal_Green,True,8,-3.0,11.0,False
91,w192a97f,1,Animal_Red,False,-6,-7.0,1.0,True
92,w192a97f,1,Animal_Yellow,True,-3,3.0,-6.0,False
93,w192a97f,1,Object_Red,False,-7,-9.0,2.0,True
94,w192a97f,1,Object_Yellow,True,1,4.0,-3.0,False
95,w192a97f,1,Scene_Red,True,9,-9.0,18.0,True
96,w192a97f,2,Food_Green,False,-9,-5.0,-4.0,True
97,w192a97f,2,Food_Yellow,True,5,5.0,0.0,True
98,w192a97f,2,Object_Blue,True,-3,-3.0,0.0,False
99,w192a97f,2,Object_Green,True,4,-4.0,8.0,False
100,w192a97f,2,Object_Yellow,True,-2,-2.0,0.0,False
101,w192a97f,2,Scene_Green,False,6,-1.0,7.0,False
102,w192a97f,3,Animal_Yellow,True,-3,3.0,-6.0,False
103,w192a97f,3,Food_Blue,True,2,-2.0,4.0,True
104,w192a97f,3,Food_Red,True,6,6.0,0.0,False
105,w192a97f,3,Food_Yellow,True,-7,-7.0,0.0,False
106,w192a97f,3,Scene_Blue,True,-9,-9.0,0.0,True
107,w192a97f,3,Scene_Yellow,True,8,8.0,0.0,False
108,w192a97f,4,Animal_Blue,False,4,4.0,0.0,True
109,w192a97f,4,Animal_Green,True,-6,-5.0,-1.0,True
110,w192a97f,4,Food_Green,True,-5,-5.0,0.0,False
111,w192a97f,4,Scene_Blue,True,-9,-9.0,0.0,False
112,w192a97f,4,Scene_Green,True,8,-2.0,10.0,False
113,w192a97f,4,Scene_Yellow,True,3,3.0,0.0,False
114,w192a97f,5,Animal_Blue,True,8,7.0,1.0,False
115,w192a97f,5,Food_Blue,True,-6,-6.0,0.0,False
116,w192a97f,5,Food_Red,True,3,3.0,0.0,True
117,w192a97f,5,Object_Blue,True,-4,-4.0,0.0,False
118,w192a97f,5,Object_Green,True,9,9.0,0.0,False
119,w192a97f,5,Object_Red,True,-7,-7.0,0.0,True
120,w1ad74ca,1,Animal_Red,False,-2,-2.0,0.0,False
121,w1ad74ca,1,Food_Blue,True,6,5.0,1.0,True
122,w1ad74ca,1,Food_Red,True,-7,2.0,-9.0,True
123,w1ad74ca,1,Food_Yellow,True,5,-4.0,9.0,True
124,w1ad74ca,1,Scene_Blue,True,-4,-5.0,1.0,False
125,w1ad74ca,1,Scene_Red,True,8,8.0,0.0,False
126,w1ad74ca,2,Animal_Green,True,-4,4.0,-8.0,False
127,w1ad74ca,2,Animal_Red,True,-6,-5.0,-1.0,True
