,wid,game,item,recalled,outcome,remembered_outcome,outcome_mem_difference,dimension_shown
0,w063688a,1,Animal_Land_Solid_Large,True,2,2.0,0.0,True
1,w063688a,1,Animal_Sea_Pattern_Large,True,-1,-1.0,0.0,False
2,w063688a,1,Animal_Sea_Solid_Large,True,2,2.0,0.0,True
3,w063688a,1,Object_Land_Solid_Large,True,-1,2.0,-3.0,True
4,w063688a,1,Object_Sea_Pattern_Large,True,2,2.0,0.0,False
5,w063688a,1,Object_Sea_Solid_Small,True,-1,-1.0,0.0,True
6,w063688a,2,Animal_Sea_Solid_Large,True,-1,-2.0,1.0,False
7,w063688a,2,Animal_Sea_Solid_Small,True,-2,-2.0,0.0,True
8,w063688a,2,Object_Land_Pattern_Small,True,-2,2.0,-4.0,True
9,w063688a,2,Object_Land_Solid_Large,True,1,1.0,0.0,False
10,w063688a,2,Object_Sea_Solid_Large,True,2,2.0,0.0,False
11,w063688a,2,Object_Sea_Solid_Small,True,2,-2.0,4.0,True
12,w063688a,3,Animal_Land_Solid_Small,True,2,2.0,0.0,True
13,w063688a,3,Animal_Sea_Pattern_Small,True,2,2.0,0.0,False
14,w063688a,3,Object_Sea_Pattern_Large,False,-1,-2.0,1.0,False
15,w063688a,3,Object_Sea_Pattern_Small,True,2,-2.0,4.0,False
16,w063688a,3,Object_Sea_Solid_Large,True,-2,-2.0,0.0,True
17,w063688a,3,Object_Sea_Solid_Small,True,-2,-2.0,0.0,True
18,w063688a,4,Animal_Sea_Pattern_Large,True,-1,-1.0,0.0,True
19,w063688a,4,Object_Land_Pattern_Large,True,2,2.0,0.0,False
20,w063688a,4,Object_Land_Pattern_Small,True,2,2.0,0.0,False
21,w063688a,4,Object_Land_Solid_Small,True,2,2.0,0.0,False
22,w063688a,4,Object_Sea_Pattern_Small,True,-2,-2.0,0.0,True
23,w063688a,4,Object_Sea_Solid_Small,True,-1,-1.0,0.0,True
24,w063688a,5,Animal_Land_Pattern_Small,False,-2,2.0,-4.0,False
25,w063688a,5,Animal_Sea_Pattern_Small,True,-2,-2.0,0.0,False
26,w063688a,5,Animal_Sea_Solid_Small,True,-1,-2.0,1.0,False
27,w063688a,5,Object_Land_Pattern_Large,True,1,1.0,0.0,True
28,w063688a,5,Object_Land_Pattern_Small,True,2,-1.0,3.0,True
29,w063688a,5,Object_Land_Solid_Small,True,2,2.0,0.0,True
30,w063688a,6,Animal_Land_Pattern_Large,True,2,2.0,0.0,True
31,w063688a,6,Animal_Land_Pattern_Small,True,1,1.0,0.0,True
32,w063688a,6,Animal_Land_Solid_Large,True,-1,-1.0,0.0,True
33,w063688a,6,Animal_Sea_Pattern_Large,True,-2,-2.0,0.0,False
34,w063688a,6,Animal_Sea_Pattern_Small,True,2,2.0,0.0,False
35,w063688a,6,Object_Sea_Solid_Large,True,-1,-1.0,0.0,False
36,w063688a,7,Animal_Land_Pattern_Large,True,2,2.0,0.0,False
37,w063688a,7,Animal_Land_Pattern_Small,True,1,1.0,0.0,True
38,w063688a,7,Animal_Land_Solid_Small,False,1,2.0,-1.0,True
39,w063688a,7,Object_Land_Pattern_Large,True,-2,-2.0,0.0,False
40,w063688a,7,Object_Land_Solid_Small,True,-2,-2.0,0.0,True
41,w063688a,7,Object_Sea_Pattern_Small,True,-1,-1.0,0.0,True
42,w06866f0,1,Animal_Land_Solid_Large,True,-2,-2.0,0.0,True
43,w06866f0,1,Animal_Land_Solid_Small,True,-1,-1.0,0.0,True
44,w06866f0,1,Animal_Sea_Solid_Large,False,1,-1.0,2.0,True
45,w06866f0,1,Object_Land_Pattern_Large,True,2,2.0,0.0,False
46,w06866f0,1,Object_Land_Solid_Small,True,2,1.0,1.0,False
47,w06866f0,1,Object_Sea_Solid_Large,True,-2,-2.0,0.0,False
48,w06866f0,2,Animal_Sea_Solid_Large,False,2,2.0,0.0,True
49,w06866f0,2,Animal_Sea_Solid_Small,True,1,1.0,0.0,True
50,w06866f0,2,Object_Land_Pattern_Small,True,-2,-2.0,0.0,False
51,w06866f0,2,Object_Land_Solid_Large,True,2,2.0,0.0,False
52,w06866f0,2,Object_Land_Solid_Small,True,-1,-1.0,0.0,False
53,w06866f0,2,Object_Sea_Solid_Small,True,-1,-1.0,0.0,True
54,w06866f0,3,Animal_Land_Pattern_Large,False,2,-1.0,3.0,False
55,w06866f0,3,Animal_Land_Pattern_Small,True,-2,-2.0,0.0,False
