,wid,game,multi_time,item,recalled,outcome,remembered_outcome,outcome_mem_difference,dimension_shown
0,w0198d08,1,Before,Animal_Red,True,-1,-1.0,0.0,False
1,w0198d08,1,Before,Animal_Yellow,True,2,2.0,0.0,False
2,w0198d08,1,Before,Food_Yellow,False,-2,1.0,-3.0,False
3,w0198d08,1,Before,Object_Green,True,2,1.0,1.0,True
4,w0198d08,1,Before,Object_Red,True,-2,-1.0,-1.0,False
5,w0198d08,1,Before,Object_Yellow,True,1,2.0,-1.0,False
6,w0198d08,2,After,Food_Blue,True,1,1.0,0.0,False
7,w0198d08,2,After,Food_Yellow,True,2,2.0,0.0,False
8,w0198d08,2,After,Object_Blue,True,-1,-1.0,0.0,True
9,w0198d08,2,After,Scene_Blue,True,-1,-1.0,0.0,False
10,w0198d08,2,After,Scene_Green,True,1,1.0,0.0,False
11,w0198d08,2,After,Scene_Yellow,True,-1,-1.0,0.0,False
12,w0198d08,3,Before,Animal_Green,True,2,-1.0,3.0,True
13,w0198d08,3,Before,Food_Blue,True,-2,-1.0,-1.0,False
14,w0198d08,3,Before,Food_Green,False,2,2.0,0.0,False
15,w0198d08,3,Before,Food_Red,True,-1,-1.0,0.0,False
16,w0198d08,3,Before,Scene_Green,True,2,2.0,0.0,False
17,w0198d08,3,Before,Scene_Red,True,-1,-1.0,0.0,False
18,w0198d08,4,After,Animal_Blue,False,2,-1.0,3.0,True
19,w0198d08,4,After,Animal_Red,True,-2,-2.0,0.0,False
20,w0198d08,4,After,Animal_Yellow,True,1,2.0,-1.0,False
21,w0198d08,4,After,Object_Yellow,True,-1,-2.0,1.0,False
22,w0198d08,4,After,Scene_Blue,True,1,1.0,0.0,True
23,w0198d08,4,After,Scene_Yellow,True,-2,-2.0,0.0,False
24,w0198d08,5,Before,Animal_Blue,False,-1,-1.0,0.0,True
25,w0198d08,5,Before,Animal_Green,True,-2,-2.0,0.0,False
26,w0198d08,5,Before,Food_Green,True,-1,-2.0,1.0,False
27,w0198d08,5,Before,Object_Blue,True,2,1.0,1.0,True
28,w0198d08,5,Before,Object_Green,True,1,1.0,0.0,False
29,w0198d08,5,Before,Object_Yellow,True,1,1.0,0.0,False
30,w0198d08,6,After,Food_Blue,True,2,2.0,0.0,False
31,w0198d08,6,After,Food_Red,True,-1,-1.0,0.0,False
32,w0198d08,6,After,Object_Red,False,1,1.0,0.0,False
33,w0198d08,6,After,Scene_Blue,True,2,1.0,1.0,True
34,w0198d08,6,After,Scene_Red,True,-2,-2.0,0.0,True
35,w0198d08,6,After,Scene_Yellow,True,-2,-2.0,0.0,True
36,w0198d08,7,Before,Animal_Blue,False,-1,-1.0,0.0,True
37,w0198d08,7,Before,Animal_Green,True,-1,-2.0,1.0,True
38,w0198d08,7,Before,Object_Blue,False,-2,-1.0,-1.0,False
39,w0198d08,7,Before,Object_Green,False,2,2.0,0.0,False
40,w0198d08,7,Before,Object_Red,True,2,1.0,1.0,False
41,w0198d08,7,Before,Scene_Green,False,1,1.0,0.0,False
42,w0198d08,8,After,Animal_Red,True,-1,-1.0,0.0,False
43,w0198d08,8,After,Animal_Yellow,True,2,1.0,1.0,False
44,w0198d08,8,After,Food_Green,True,-2,2.0,-4.0,True
45,w0198d08,8,After,Food_Red,True,1,-1.0,2.0,False
46,w0198d08,8,After,Food_Yellow,True,-1,1.0,-2.0,False
47,w0198d08,8,After,Scene_Red,True,2,-1.0,3.0,False
48,w05ede5c,1,Before,Animal_Blue,True,-1,1.0,-2.0,False
49,w05ede5c,1,Before,Animal_Green,True,-1,1.0,-2.0,False
