,wid,game,multi_time,item,recalled,outcome,remembered_outcome,outcome_mem_difference,dimension_shown
0,w022dd5a,1,Before,Food_Blue,True,1,-1.0,2.0,False
1,w022dd5a,1,Before,Food_Green,False,-1,-1.0,0.0,True
2,w022dd5a,1,Before,Food_Red,False,-2,1.0,-3.0,False
3,w022dd5a,1,Before,Object_Blue,True,2,2.0,0.0,False
4,w022dd5a,1,Before,Object_Green,True,-1,1.0,-2.0,True
5,w022dd5a,1,Before,Scene_Blue,True,1,2.0,-1.0,False
6,w022dd5a,2,After,Animal_Yellow,True,2,-2.0,4.0,False
7,w022dd5a,2,After,Food_Green,True,1,-1.0,2.0,False
8,w022dd5a,2,After,Food_Yellow,True,2,2.0,0.0,False
9,w022dd5a,2,After,Scene_Blue,False,-2,-1.0,-1.0,True
10,w022dd5a,2,After,Scene_Green,True,-2,2.0,-4.0,True
11,w022dd5a,2,After,Scene_Yellow,True,-2,-2.0,0.0,True
12,w022dd5a,3,Before,Animal_Green,True,1,-2.0,3.0,False
13,w022dd5a,3,Before,Animal_Red,True,-2,2.0,-4.0,False
14,w022dd5a,3,Before,Object_Green,True,1,2.0,-1.0,True
15,w022dd5a,3,Before,Object_Red,True,-2,-2.0,0.0,True
16,w022dd5a,3,Before,Object_Yellow,True,2,-1.0,3.0,True
17,w022dd5a,3,Before,Scene_Red,True,-2,1.0,-3.0,False
18,w022dd5a,4,After,Animal_Blue,True,2,-2.0,4.0,False
19,w022dd5a,4,After,Animal_Yellow,True,-1,-2.0,1.0,False
20,w022dd5a,4,After,Food_Blue,True,-2,-2.0,0.0,False
21,w022dd5a,4,After,Object_Blue,False,-2,1.0,-3.0,True
22,w022dd5a,4,After,Object_Red,False,1,1.0,0.0,True
23,w022dd5a,4,After,Object_Yellow,True,2,2.0,0.0,True
24,w022dd5a,5,Before,Animal_Blue,False,2,-2.0,4.0,False
25,w022dd5a,5,Before,Animal_Green,False,-1,2.0,-3.0,False
26,w022dd5a,5,Before,Object_Green,True,-1,-2.0,1.0,False
27,w022dd5a,5,Before,Scene_Blue,False,-1,-1.0,0.0,True
28,w022dd5a,5,Before,Scene_Green,True,1,-1.0,2.0,True
29,w022dd5a,5,Before,Scene_Yellow,True,2,1.0,1.0,True
30,w022dd5a,6,After,Animal_Red,True,-1,1.0,-2.0,False
31,w022dd5a,6,After,Animal_Yellow,True,2,-2.0,4.0,False
32,w022dd5a,6,After,Food_Blue,True,1,-1.0,2.0,True
33,w022dd5a,6,After,Food_Red,True,-1,-1.0,0.0,False
