,wid,game,multi_time,item,recalled,outcome,remembered_outcome,outcome_mem_difference,dimension_shown
0,w01da968,1,Before,Food_Blue,True,-2,-2.0,0.0,False
1,w01da968,1,Before,Food_Green,False,2,1.0,1.0,False
2,w01da968,1,Before,Food_Red,True,1,2.0,-1.0,False
3,w01da968,1,Before,Object_Blue,True,-2,1.0,-3.0,True
4,w01da968,1,Before,Object_Green,False,1,1.0,0.0,True
5,w01da968,1,Before,Scene_Blue,True,-2,,,False
6,w01da968,2,After,Animal_Yellow,False,2,2.0,0.0,False
7,w01da968,2,After,Food_Green,True,2,2.0,0.0,False
8,w01da968,2,After,Food_Yellow,False,2,1.0,1.0,False
9,w01da968,2,After,Scene_Blue,True,-1,-2.0,1.0,True
10,w01da968,2,After,Scene_Green,True,-1,-1.0,0.0,False
11,w01da968,2,After,Scene_Yellow,True,-2,-1.0,-1.0,False
12,w01da968,3,Before,Animal_Green,True,-1,2.0,-3.0,False
13,w01da968,3,Before,Animal_Red,False,2,1.0,1.0,False
14,w01da968,3,Before,Object_Green,True,-2,-2.0,0.0,False
15,w01da968,3,Before,Object_Red,True,1,-2.0,3.0,False
16,w01da968,3,Before,Object_Yellow,False,2,2.0,0.0,False
17,w01da968,3,Before,Scene_Red,True,-1,-1.0,0.0,True
18,w01da968,4,After,Animal_Blue,True,1,1.0,0.0,False
19,w01da968,4,After,Animal_Yellow,False,-2,-2.0,0.0,False
20,w01da968,4,After,Food_Blue,True,2,-2.0,4.0,False
21,w01da968,4,After,Object_Blue,True,-2,-2.0,0.0,False
22,w01da968,4,After,Object_Red,True,-2,1.0,-3.0,True
23,w01da968,4,After,Object_Yellow,True,1,-2.0,3.0,False
24,w01da968,5,Before,Animal_Blue,True,2,2.0,0.0,True
25,w01da968,5,Before,Animal_Green,True,-1,-1.0,0.0,True
26,w01da968,5,Before,Object_Green,False,1,1.0,0.0,False
27,w01da968,5,Before,Scene_Blue,False,-1,-1.0,0.0,False
28,w01da968,5,Before,Scene_Green,True,2,2.0,0.0,False
29,w01da968,5,Before,Scene_Yellow,True,-2,-2.0,0.0,False
30,w01da968,6,After,Animal_Red,False,2,-2.0,4.0,False
31,w01da968,6,After,Animal_Yellow,False,1,1.0,0.0,False
32,w01da968,6,After,Food_Blue,False,-2,-2.0,0.0,False
33,w01da968,6,After,Food_Red,False,-1,2.0,-3.0,False
34,w01da968,6,After,Food_Yellow,False,1,-2.0,3.0,False
35,w01da968,6,After,Scene_Red,False,-2,-2.0,0.0,False
