,index,wid,game,image,responses,remembered_outcome,category_1,category_2,outcome,outcome_mem_difference,item
0,0,w2d80146,1,Animal_Blue,"{""Q0"":""-7""}",-7.0,Animal,Blue,8,15.0,Animal_Blue
1,1,w2d80146,1,Animal_Yellow,"{""Q0"":""+8""}",8.0,Animal,Yellow,-9,-17.0,Animal_Yellow
2,2,w2d80146,1,Animal_Red,"{""Q0"":""-8""}",-8.0,Animal,Red,6,14.0,Animal_Red
3,3,w2d80146,1,Scene_Blue,"{""Q0"":""+8""}",8.0,Scene,Blue,-3,-11.0,Scene_Blue
4,4,w2d80146,1,Scene_Yellow,"{""Q0"":""+5""}",5.0,Scene,Yellow,5,0.0,Scene_Yellow
5,5,w2d80146,1,Object_Blue,"{""Q0"":""-7""}",-7.0,Object,Blue,-7,0.0,Object_Blue
6,6,w2d80146,2,Object_Blue,"{""Q0"":""-6""}",-6.0,Object,Blue,5,11.0,Object_Blue
7,7,w2d80146,2,Object_Red,"{""Q0"":""-7""}",-7.0,Object,Red,-8,-1.0,Object_Red
8,8,w2d80146,2,Object_Yellow,"{""Q0"":""+6""}",6.0,Object,Yellow,6,0.0,Object_Yellow
9,9,w2d80146,2,Scene_Blue,"{""Q0"":""+4""}",4.0,Scene,Blue,-4,-8.0,Scene_Blue
10,10,w2d80146,2,Scene_Red,"{""Q0"":""+4""}",4.0,Scene,Red,3,-1.0,Scene_Red
11,11,w2d80146,2,Food_Blue,"{""Q0"":""-2""}",-2.0,Food,Blue,-2,0.0,Food_Blue
12,12,w2d80146,3,Scene_Yellow,"{""Q0"":""+7""}",7.0,Scene,Yellow,4,-3.0,Scene_Yellow
13,13,w2d80146,3,Scene_Green,"{""Q0"":""+4""}",4.0,Scene,Green,-8,-12.0,Scene_Green
14,14,w2d80146,3,Scene_Red,"{""Q0"":""+4""}",4.0,Scene,Red,7,3.0,Scene_Red
15,15,w2d80146,3,Object_Yellow,"{""Q0"":""-3""}",-3.0,Object,Yellow,-3,0.0,Object_Yellow
16,16,w2d80146,3,Object_Green,"{""Q0"":""+9""}",9.0,Object,Green,9,0.0,Object_Green
17,17,w2d80146,3,Food_Yellow,"{""Q0"":""+3""}",3.0,Food,Yellow,-2,-5.0,Food_Yellow
18,18,w2d80146,4,Food_Red,"{""Q0"":""+4""}",4.0,Food,Red,-8,-12.0,Food_Red
19,19,w2d80146,4,Food_Green,"{""Q0"":""+7""}",7.0,Food,Green,9,2.0,Food_Green
20,20,w2d80146,4,Food_Blue,"{""Q0"":""-2""}",-2.0,Food,Blue,-4,-2.0,Food_Blue
21,21,w2d80146,4,Object_Red,"{""Q0"":""+5""}",5.0,Object,Red,6,1.0,Object_Red
22,22,w2d80146,4,Object_Green,"{""Q0"":""+9""}",9.0,Object,Green,-1,-10.0,Object_Green
23,23,w2d80146,4,Animal_Red,"{""Q0"":""-4""}",-4.0,Animal,Red,3,7.0,Animal_Red
24,24,w2d80146,5,Animal_Green,"{""Q0"":""+3""}",3.0,Animal,Green,-6,-9.0,Animal_Green
25,25,w2d80146,5,Animal_Yellow,"{""Q0"":""+9""}",9.0,Animal,Yellow,9,0.0,Animal_Yellow
26,26,w2d80146,5,Animal_Blue,"{""Q0"":""-4""}",-4.0,Animal,Blue,-8,-4.0,Animal_Blue
27,27,w2d80146,5,Food_Green,"{""Q0"":""+5""}",5.0,Food,Green,3,-2.0,Food_Green
28,28,w2d80146,5,Food_Yellow,"{""Q0"":""-2""}",-2.0,Food,Yellow,-2,0.0,Food_Yellow
29,29,w2d80146,5,Scene_Green,"{""Q0"":""-4""}",-4.0,Scene,Green,4,8.0,Scene_Green
30,30,w7a04fdc,1,Object_Yellow,"{""Q0"":""+9""}",9.0,Object,Yellow,5,-4.0,Object_Yellow
31,31,w7a04fdc,1,Object_Red,"{""Q0"":""+9i""}",,Object,Red,6,,Object_Red
32,32,w7a04fdc,1,Object_Green,"{""Q0"":""+9""}",9.0,Object,Green,-8,-17.0,Object_Green
33,33,w7a04fdc,1,Animal_Yellow,"{""Q0"":""+9""}",9.0,Animal,Yellow,3,-6.0,Animal_Yellow
34,34,w7a04fdc,1,Animal_Red,"{""Q0"":""+9""}",9.0,Animal,Red,-4,-13.0,Animal_Red
35,35,w7a04fdc,1,Food_Yellow,"{""Q0"":""+3""}",3.0,Food,Yellow,-7,-10.0,Food_Yellow
36,36,w7a04fdc,2,Food_Green,"{""Q0"":""1""}",,Food,Green,-7,,Food_Green
37,37,w7a04fdc,2,Food_Red,"{""Q0"":""""}",,Food,Red,-5,,Food_Red
38,38,w7a04fdc,2,Food_Blue,"{""Q0"":""2""}",,Food,Blue,9,,Food_Blue
39,39,w7a04fdc,2,Scene_Green,"{""Q0"":""3""}",,Scene,Green,-2,,Scene_Green
40,40,w7a04fdc,2,Scene_Red,"{""Q0"":""4""}",,Scene,Red,3,,Scene_Red
41,41,w7a04fdc,2,Animal_Green,"{""Q0"":""2""}",,Animal,Green,8,,Animal_Green
42,42,w7a04fdc,3,Object_Yellow,"{""Q0"":""9""}",,Object,Yellow,7,,Object_Yellow
43,43,w7a04fdc,3,Object_Blue,"{""Q0"":""""}",,Object,Blue,-6,,Object_Blue
