,index,wid,game,image,responses,remembered_outcome,category_1,category_2,outcome,outcome_mem_difference,item
0,0,w7c1d29f,1,Food_Blue,"{""Q0"":""+8""}",8.0,Food,Blue,7,-1.0,Food_Blue
1,1,w7c1d29f,1,Food_Yellow,"{""Q0"":""+4""}",4.0,Food,Yellow,-8,-12.0,Food_Yellow
2,2,w7c1d29f,1,Food_Red,"{""Q0"":""+2""}",2.0,Food,Red,2,0.0,Food_Red
3,3,w7c1d29f,1,Scene_Blue,"{""Q0"":""-6""}",-6.0,Scene,Blue,-6,0.0,Scene_Blue
4,4,w7c1d29f,1,Scene_Yellow,"{""Q0"":""+4""}",4.0,Scene,Yellow,3,-1.0,Scene_Yellow
5,5,w7c1d29f,1,Animal_Blue,"{""Q0"":""-6""}",-6.0,Animal,Blue,-5,1.0,Animal_Blue
6,6,w7c1d29f,2,Scene_Green,"{""Q0"":""+7""}",7.0,Scene,Green,8,1.0,Scene_Green
7,7,w7c1d29f,2,Scene_Blue,"{""Q0"":""-8""}",-8.0,Scene,Blue,-9,-1.0,Scene_Blue
8,8,w7c1d29f,2,Scene_Red,"{""Q0"":""+2""}",2.0,Scene,Red,4,2.0,Scene_Red
9,9,w7c1d29f,2,Object_Green,"{""Q0"":""+3""}",3.0,Object,Green,-2,-5.0,Object_Green
10,10,w7c1d29f,2,Object_Blue,"{""Q0"":""+2""}",2.0,Object,Blue,6,4.0,Object_Blue
11,11,w7c1d29f,2,Food_Green,"{""Q0"":""-8""}",-8.0,Food,Green,-7,1.0,Food_Green
12,12,w7c1d29f,3,Food_Red,"{""Q0"":""-4""}",-4.0,Food,Red,-6,-2.0,Food_Red
13,13,w7c1d29f,3,Food_Blue,"{""Q0"":""-2""}",-2.0,Food,Blue,-5,-3.0,Food_Blue
14,14,w7c1d29f,3,Food_Green,"{""Q0"":""+8""}",8.0,Food,Green,8,0.0,Food_Green
15,15,w7c1d29f,3,Object_Red,"{""Q0"":""-7""}",-7.0,Object,Red,-4,3.0,Object_Red
16,16,w7c1d29f,3,Object_Blue,"{""Q0"":""+1""}",1.0,Object,Blue,1,0.0,Object_Blue
17,17,w7c1d29f,3,Animal_Red,"{""Q0"":""+6""}",6.0,Animal,Red,9,3.0,Animal_Red
18,18,w7c1d29f,4,Animal_Red,"{""Q0"":""+8""}",8.0,Animal,Red,7,-1.0,Animal_Red
19,19,w7c1d29f,4,Animal_Green,"{""Q0"":""-4""}",-4.0,Animal,Green,-5,-1.0,Animal_Green
20,20,w7c1d29f,4,Animal_Yellow,"{""Q0"":""-4""}",-4.0,Animal,Yellow,-3,1.0,Animal_Yellow
21,21,w7c1d29f,4,Object_Red,"{""Q0"":""-7""}",-7.0,Object,Red,-8,-1.0,Object_Red
22,22,w7c1d29f,4,Object_Green,"{""Q0"":""+1""}",1.0,Object,Green,1,0.0,Object_Green
23,23,w7c1d29f,4,Scene_Red,"{""Q0"":""+3""}",3.0,Scene,Red,2,-1.0,Scene_Red
24,24,w7c1d29f,5,Animal_Yellow,"{""Q0"":""+4""}",4.0,Animal,Yellow,4,0.0,Animal_Yellow
25,25,w7c1d29f,5,Animal_Green,"{""Q0"":""-5""}",-5.0,Animal,Green,-2,3.0,Animal_Green
26,26,w7c1d29f,5,Animal_Blue,"{""Q0"":""-3""}",-3.0,Animal,Blue,-3,0.0,Animal_Blue
27,27,w7c1d29f,5,Scene_Yellow,"{""Q0"":""+8""}",8.0,Scene,Yellow,-8,-16.0,Scene_Yellow
28,28,w7c1d29f,5,Scene_Green,"{""Q0"":""+1""}",1.0,Scene,Green,1,0.0,Scene_Green
29,29,w7c1d29f,5,Object_Yellow,"{""Q0"":""+5""}",5.0,Object,Yellow,5,0.0,Object_Yellow
30,30,wfe9216a,1,Scene_Green,"{""Q0"":""-5""}",-5.0,Scene,Green,6,11.0,Scene_Green
31,31,wfe9216a,1,Scene_Yellow,"{""Q0"":""-9""}",-9.0,Scene,Yellow,-9,0.0,Scene_Yellow
32,32,wfe9216a,1,Scene_Red,"{""Q0"":""""}",,Scene,Red,8,,Scene_Red
33,33,wfe9216a,1,Object_Green,"{""Q0"":""4""}",,Object,Green,-5,,Object_Green
34,34,wfe9216a,1,Object_Yellow,"{""Q0"":""-1""}",-1.0,Object,Yellow,1,2.0,Object_Yellow
35,35,wfe9216a,1,Animal_Green,"{""Q0"":""2""}",,Animal,Green,-2,,Animal_Green
36,36,wfe9216a,2,Food_Blue,"{""Q0"":""+4""}",4.0,Food,Blue,5,1.0,Food_Blue
37,37,wfe9216a,2,Food_Red,"{""Q0"":""+5""}",5.0,Food,Red,4,-1.0,Food_Red
38,38,wfe9216a,2,Food_Yellow,"{""Q0"":""-8""}",-8.0,Food,Yellow,-8,0.0,Food_Yellow
39,39,wfe9216a,2,Scene_Blue,"{""Q0"":""-1""}",-1.0,Scene,Blue,3,4.0,Scene_Blue
40,40,wfe9216a,2,Scene_Red,"{""Q0"":""4""}",,Scene,Red,-2,,Scene_Red
41,41,wfe9216a,2,Object_Blue,"{""Q0"":""-8""}",-8.0,Object,Blue,-7,1.0,Object_Blue
42,42,wfe9216a,3,Food_Yellow,"{""Q0"":""+8""}",8.0,Food,Yellow,-7,-15.0,Food_Yellow
43,43,wfe9216a,3,Food_Green,"{""Q0"":""-2""}",-2.0,Food,Green,6,8.0,Food_Green
44,44,wfe9216a,3,Food_Blue,"{""Q0"":""4""}",,Food,Blue,2,,Food_Blue
45,45,wfe9216a,3,Scene_Yellow,"{""Q0"":""""}",,Scene,Yellow,9,,Scene_Yellow
46,46,wfe9216a,3,Scene_Green,"{""Q0"":""-7""}",-7.0,Scene,Green,-4,3.0,Scene_Green
47,47,wfe9216a,3,Animal_Yellow,"{""Q0"":""3""}",,Animal,Yellow,-8,,Animal_Yellow
48,48,wfe9216a,4,Object_Blue,"{""Q0"":""+4""}",4.0,Object,Blue,2,-2.0,Object_Blue
49,49,wfe9216a,4,Object_Red,"{""Q0"":""""}",,Object,Red,3,,Object_Red
50,50,wfe9216a,4,Object_Yellow,"{""Q0"":""+3""}",3.0,Object,Yellow,-4,-7.0,Object_Yellow
51,51,wfe9216a,4,Animal_Blue,"{""Q0"":""+2""}",2.0,Animal,Blue,5,3.0,Animal_Blue
52,52,wfe9216a,4,Animal_Red,"{""Q0"":""-2""}",-2.0,Animal,Red,-1,1.0,Animal_Red
53,53,wfe9216a,4,Scene_Blue,"{""Q0"":""-6""}",-6.0,Scene,Blue,-6,0.0,Scene_Blue
54,54,wfe9216a,5,Animal_Green,"{""Q0"":""+4""}",4.0,Animal,Green,4,0.0,Animal_Green
55,55,wfe9216a,5,Animal_Red,"{""Q0"":""-2""}",-2.0,Animal,Red,-9,-7.0,Animal_Red
56,56,wfe9216a,5,Animal_Blue,"{""Q0"":""+6""}",6.0,Animal,Blue,6,0.0,Animal_Blue
57,57,wfe9216a,5,Food_Green,"{""Q0"":""-2""}",-2.0,Food,Green,-2,0.0,Food_Green
58,58,wfe9216a,5,Food_Red,"{""Q0"":""+8""}",8.0,Food,Red,8,0.0,Food_Red
59,59,wfe9216a,5,Object_Green,"{""Q0"":""-3""}",-3.0,Object,Green,-3,0.0,Object_Green
60,60,w47f6859,1,Food_Green,"{""Q0"":""+7""}",7.0,Food,Green,7,0.0,Food_Green
61,61,w47f6859,1,Food_Blue,"{""Q0"":""-8""}",-8.0,Food,Blue,-6,2.0,Food_Blue
62,62,w47f6859,1,Food_Red,"{""Q0"":""-2""}",-2.0,Food,Red,-2,0.0,Food_Red
63,63,w47f6859,1,Animal_Green,"{""Q0"":""+7""}",7.0,Animal,Green,-9,-16.0,Animal_Green
64,64,w47f6859,1,Animal_Blue,"{""Q0"":""+3""}",3.0,Animal,Blue,8,5.0,Animal_Blue
65,65,w47f6859,1,Object_Green,"{""Q0"":""-2""}",-2.0,Object,Green,3,5.0,Object_Green
66,66,w47f6859,2,Food_Red,"{""Q0"":""+8""}",8.0,Food,Red,-7,-15.0,Food_Red
67,67,w47f6859,2,Food_Blue,"{""Q0"":""+4""}",4.0,Food,Blue,8,4.0,Food_Blue
68,68,w47f6859,2,Food_Yellow,"{""Q0"":""-2""}",-2.0,Food,Yellow,-3,-1.0,Food_Yellow
69,69,w47f6859,2,Scene_Red,"{""Q0"":""+4""}",4.0,Scene,Red,4,0.0,Scene_Red
70,70,w47f6859,2,Scene_Blue,"{""Q0"":""+9""}",9.0,Scene,Blue,-9,-18.0,Scene_Blue
71,71,w47f6859,2,Animal_Red,"{""Q0"":""+7""}",7.0,Animal,Red,6,-1.0,Animal_Red
72,72,w47f6859,3,Object_Green,"{""Q0"":""-6""}",-6.0,Object,Green,-6,0.0,Object_Green
73,73,w47f6859,3,Object_Yellow,"{""Q0"":""""}",,Object,Yellow,5,,Object_Yellow
74,74,w47f6859,3,Object_Red,"{""Q0"":""+9""}",9.0,Object,Red,3,-6.0,Object_Red
75,75,w47f6859,3,Scene_Green,"{""Q0"":""+9""}",9.0,Scene,Green,9,0.0,Scene_Green
76,76,w47f6859,3,Scene_Yellow,"{""Q0"":""-1""}",-1.0,Scene,Yellow,-1,0.0,Scene_Yellow
77,77,w47f6859,3,Food_Green,"{""Q0"":""-7""}",-7.0,Food,Green,-7,0.0,Food_Green
78,78,w47f6859,4,Scene_Blue,"{""Q0"":""-8""}",-8.0,Scene,Blue,-8,0.0,Scene_Blue
79,79,w47f6859,4,Scene_Green,"{""Q0"":""-7""}",-7.0,Scene,Green,7,14.0,Scene_Green
80,80,w47f6859,4,Scene_Yellow,"{""Q0"":""+2""}",2.0,Scene,Yellow,2,0.0,Scene_Yellow
81,81,w47f6859,4,Animal_Blue,"{""Q0"":""-8""}",-8.0,Animal,Blue,9,17.0,Animal_Blue
