,index,wid,game,image,responses,remembered_outcome,category_1,category_2,category_3,category_4,outcome,outcome_mem_difference,item
0,0,w18042a7,1,Object_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Solid,Small,2,3.0,Object_Land_Solid_Small
1,1,w18042a7,1,Object_Sea_Solid_Large,"{""Q0"":""-2""}",-2.0,Object,Sea,Solid,Large,1,3.0,Object_Sea_Solid_Large
2,2,w18042a7,1,Animal_Sea_Solid_Large,"{""Q0"":""+2""}",2.0,Animal,Sea,Solid,Large,-1,-3.0,Animal_Sea_Solid_Large
3,3,w18042a7,1,Object_Sea_Pattern_Large,"{""Q0"":""+2""}",2.0,Object,Sea,Pattern,Large,1,-1.0,Object_Sea_Pattern_Large
4,4,w18042a7,1,Animal_Land_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Land,Solid,Large,-1,-2.0,Animal_Land_Solid_Large
5,5,w18042a7,1,Animal_Sea_Pattern_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Pattern,Large,-2,-3.0,Animal_Sea_Pattern_Large
6,6,w18042a7,2,Object_Land_Solid_Small,"{""Q0"":""+1""}",1.0,Object,Land,Solid,Small,-1,-2.0,Object_Land_Solid_Small
7,7,w18042a7,2,Animal_Land_Solid_Small,"{""Q0"":""+2""}",2.0,Animal,Land,Solid,Small,2,0.0,Animal_Land_Solid_Small
8,8,w18042a7,2,Object_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Small,-1,0.0,Object_Land_Pattern_Small
9,9,w18042a7,2,Animal_Land_Pattern_Large,"{""Q0"":""_2""}",,Animal,Land,Pattern,Large,2,,Animal_Land_Pattern_Large
10,10,w18042a7,2,Object_Land_Pattern_Large,"{""Q0"":""+2""}",2.0,Object,Land,Pattern,Large,1,-1.0,Object_Land_Pattern_Large
11,11,w18042a7,2,Object_Sea_Pattern_Large,"{""Q0"":""+1""}",1.0,Object,Sea,Pattern,Large,-1,-2.0,Object_Sea_Pattern_Large
12,12,w18042a7,3,Object_Sea_Solid_Small,"{""Q0"":""-2""}",-2.0,Object,Sea,Solid,Small,-2,0.0,Object_Sea_Solid_Small
13,13,w18042a7,3,Object_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Land,Pattern,Small,-1,0.0,Object_Land_Pattern_Small
14,14,w18042a7,3,Object_Sea_Pattern_Large,"{""Q0"":""-2""}",-2.0,Object,Sea,Pattern,Large,-2,0.0,Object_Sea_Pattern_Large
15,15,w18042a7,3,Animal_Land_Pattern_Small,"{""Q0"":""+2""}",2.0,Animal,Land,Pattern,Small,1,-1.0,Animal_Land_Pattern_Small
16,16,w18042a7,3,Object_Sea_Pattern_Small,"{""Q0"":""+1""}",1.0,Object,Sea,Pattern,Small,1,0.0,Object_Sea_Pattern_Small
17,17,w18042a7,3,Object_Land_Solid_Large,"{""Q0"":""+1""}",1.0,Object,Land,Solid,Large,1,0.0,Object_Land_Solid_Large
18,18,w18042a7,4,Animal_Land_Pattern_Large,"{""Q0"":""+1""}",1.0,Animal,Land,Pattern,Large,1,0.0,Animal_Land_Pattern_Large
19,19,w18042a7,4,Animal_Sea_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Large,1,0.0,Animal_Sea_Solid_Large
20,20,w18042a7,4,Object_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Object,Sea,Solid,Small,-1,-2.0,Object_Sea_Solid_Small
21,21,w18042a7,4,Animal_Sea_Pattern_Large,"{""Q0"":""+2""}",2.0,Animal,Sea,Pattern,Large,2,0.0,Animal_Sea_Pattern_Large
22,22,w18042a7,4,Object_Sea_Solid_Large,"{""Q0"":""+1""}",1.0,Object,Sea,Solid,Large,-1,-2.0,Object_Sea_Solid_Large
23,23,w18042a7,4,Animal_Sea_Pattern_Small,"{""Q0"":""-2""}",-2.0,Animal,Sea,Pattern,Small,-2,0.0,Animal_Sea_Pattern_Small
24,24,w18042a7,5,Animal_Sea_Solid_Large,"{""Q0"":""+2""}",2.0,Animal,Sea,Solid,Large,2,0.0,Animal_Sea_Solid_Large
25,25,w18042a7,5,Object_Sea_Pattern_Large,"{""Q0"":""-2""}",-2.0,Object,Sea,Pattern,Large,-2,0.0,Object_Sea_Pattern_Large
26,26,w18042a7,5,Animal_Land_Solid_Large,"{""Q0"":""+1""}",1.0,Animal,Land,Solid,Large,1,0.0,Animal_Land_Solid_Large
27,27,w18042a7,5,Animal_Sea_Solid_Small,"{""Q0"":""-2""}",-2.0,Animal,Sea,Solid,Small,-2,0.0,Animal_Sea_Solid_Small
28,28,w18042a7,5,Object_Sea_Pattern_Small,"{""Q0"":""-1""}",-1.0,Object,Sea,Pattern,Small,-1,0.0,Object_Sea_Pattern_Small
29,29,w18042a7,5,Animal_Sea_Pattern_Large,"{""Q0"":""+2""}",2.0,Animal,Sea,Pattern,Large,2,0.0,Animal_Sea_Pattern_Large
30,30,w18042a7,6,Animal_Land_Solid_Small,"{""Q0"":""+2""}",2.0,Animal,Land,Solid,Small,2,0.0,Animal_Land_Solid_Small
31,31,w18042a7,6,Object_Land_Solid_Large,"{""Q0"":""+1""}",1.0,Object,Land,Solid,Large,1,0.0,Object_Land_Solid_Large
32,32,w18042a7,6,Animal_Land_Pattern_Large,"{""Q0"":""-2""}",-2.0,Animal,Land,Pattern,Large,-2,0.0,Animal_Land_Pattern_Large
33,33,w18042a7,6,Animal_Land_Pattern_Small,"{""Q0"":""-2""}",-2.0,Animal,Land,Pattern,Small,-2,0.0,Animal_Land_Pattern_Small
34,34,w18042a7,6,Animal_Sea_Pattern_Small,"{""Q0"":""-2""}",-2.0,Animal,Sea,Pattern,Small,-2,0.0,Animal_Sea_Pattern_Small
35,35,w18042a7,6,Animal_Sea_Solid_Small,"{""Q0"":""+1""}",1.0,Animal,Sea,Solid,Small,1,0.0,Animal_Sea_Solid_Small
36,36,w18042a7,7,Object_Land_Pattern_Small,"{""Q0"":""-2""}",-2.0,Object,Land,Pattern,Small,-2,0.0,Object_Land_Pattern_Small
37,37,w18042a7,7,Object_Land_Pattern_Large,"{""Q0"":""-2""}",-2.0,Object,Land,Pattern,Large,-2,0.0,Object_Land_Pattern_Large
38,38,w18042a7,7,Animal_Land_Pattern_Large,"{""Q0"":""+1""}",1.0,Animal,Land,Pattern,Large,1,0.0,Animal_Land_Pattern_Large
39,39,w18042a7,7,Object_Land_Solid_Small,"{""Q0"":""+2""}",2.0,Object,Land,Solid,Small,2,0.0,Object_Land_Solid_Small
40,40,w18042a7,7,Animal_Land_Solid_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Solid,Small,-1,0.0,Animal_Land_Solid_Small
41,41,w18042a7,7,Animal_Sea_Pattern_Small,"{""Q0"":""+2""}",2.0,Animal,Sea,Pattern,Small,2,0.0,Animal_Sea_Pattern_Small
42,42,w2b4a70d,1,Animal_Land_Pattern_Small,"{""Q0"":""-1""}",-1.0,Animal,Land,Pattern,Small,-2,-1.0,Animal_Land_Pattern_Small
