,index,wid,game,multi_time,image,responses,remembered_outcome,category_1,category_2,outcome,outcome_mem_difference,item
0,0,wa022482,1,After,Scene_Blue,"{""Q0"":""+1""}",1.0,Scene,Blue,2,1.0,Scene_Blue
1,1,wa022482,1,After,Scene_Yellow,"{""Q0"":""-2""}",-2.0,Scene,Yellow,-2,0.0,Scene_Yellow
2,2,wa022482,1,After,Scene_Red,"{""Q0"":""+1""}",1.0,Scene,Red,2,1.0,Scene_Red
3,3,wa022482,1,After,Animal_Blue,"{""Q0"":""+1""}",1.0,Animal,Blue,-1,-2.0,Animal_Blue
4,4,wa022482,1,After,Animal_Yellow,"{""Q0"":""+2""}",2.0,Animal,Yellow,-1,-3.0,Animal_Yellow
5,5,wa022482,1,After,Food_Blue,"{""Q0"":""-1""}",-1.0,Food,Blue,1,2.0,Food_Blue
6,6,wa022482,2,Before,Food_Yellow,"{""Q0"":""+1""}",1.0,Food,Yellow,-2,-3.0,Food_Yellow
7,7,wa022482,2,Before,Food_Green,"{""Q0"":""-2""}",-2.0,Food,Green,-1,1.0,Food_Green
8,8,wa022482,2,Before,Food_Red,"{""Q0"":""-1""}",-1.0,Food,Red,2,3.0,Food_Red
9,9,wa022482,2,Before,Scene_Yellow,"{""Q0"":""+1""}",1.0,Scene,Yellow,1,0.0,Scene_Yellow
10,10,wa022482,2,Before,Scene_Green,"{""Q0"":""-1""}",-1.0,Scene,Green,-2,-1.0,Scene_Green
11,11,wa022482,2,Before,Object_Yellow,"{""Q0"":""+2""}",2.0,Object,Yellow,2,0.0,Object_Yellow
12,12,wa022482,3,After,Animal_Yellow,"{""Q0"":""+1""}",1.0,Animal,Yellow,2,1.0,Animal_Yellow
13,13,wa022482,3,After,Animal_Blue,"{""Q0"":""+1""}",1.0,Animal,Blue,-1,-2.0,Animal_Blue
14,14,wa022482,3,After,Animal_Green,"{""Q0"":""+1""}",1.0,Animal,Green,1,0.0,Animal_Green
15,15,wa022482,3,After,Object_Yellow,"{""Q0"":""-1""}",-1.0,Object,Yellow,-2,-1.0,Object_Yellow
16,16,wa022482,3,After,Object_Blue,"{""Q0"":""-1""}",-1.0,Object,Blue,-1,0.0,Object_Blue
