,index,wid,game,multi_time,image,responses,remembered_outcome,category_1,category_2,outcome,outcome_mem_difference,item
0,0,wcc033bc,1,After,Animal_Yellow,"{""Q0"":""-1""}",-1.0,Animal,Yellow,1,2.0,Animal_Yellow
1,1,wcc033bc,1,After,Animal_Blue,"{""Q0"":""-2""}",-2.0,Animal,Blue,-2,0.0,Animal_Blue
2,2,wcc033bc,1,After,Animal_Green,"{""Q0"":""+1""}",1.0,Animal,Green,-2,-3.0,Animal_Green
3,3,wcc033bc,1,After,Scene_Yellow,"{""Q0"":""+2""}",2.0,Scene,Yellow,2,0.0,Scene_Yellow
4,4,wcc033bc,1,After,Scene_Blue,"{""Q0"":""+1""}",1.0,Scene,Blue,1,0.0,Scene_Blue
5,5,wcc033bc,1,After,Food_Yellow,"{""Q0"":""-1""}",-1.0,Food,Yellow,-2,-1.0,Food_Yellow
6,6,wcc033bc,2,Before,Food_Green,"{""Q0"":""-1""}",-1.0,Food,Green,-1,0.0,Food_Green
7,7,wcc033bc,2,Before,Food_Blue,"{""Q0"":""+1""}",1.0,Food,Blue,1,0.0,Food_Blue
8,8,wcc033bc,2,Before,Food_Red,"{""Q0"":""-2""}",-2.0,Food,Red,-1,1.0,Food_Red
9,9,wcc033bc,2,Before,Object_Green,"{""Q0"":""+2""}",2.0,Object,Green,1,-1.0,Object_Green
10,10,wcc033bc,2,Before,Object_Blue,"{""Q0"":""+1""}",1.0,Object,Blue,-2,-3.0,Object_Blue
11,11,wcc033bc,2,Before,Scene_Green,"{""Q0"":""+2""}",2.0,Scene,Green,1,-1.0,Scene_Green
12,12,wcc033bc,3,After,Scene_Red,"{""Q0"":""+1""}",1.0,Scene,Red,-1,-2.0,Scene_Red
13,13,wcc033bc,3,After,Scene_Yellow,"{""Q0"":""+2""}",2.0,Scene,Yellow,2,0.0,Scene_Yellow
14,14,wcc033bc,3,After,Scene_Blue,"{""Q0"":""+1""}",1.0,Scene,Blue,-2,-3.0,Scene_Blue
15,15,wcc033bc,3,After,Animal_Red,"{""Q0"":""-1""}",-1.0,Animal,Red,2,3.0,Animal_Red
16,16,wcc033bc,3,After,Animal_Yellow,"{""Q0"":""-2""}",-2.0,Animal,Yellow,2,4.0,Animal_Yellow
17,17,wcc033bc,3,After,Object_Red,"{""Q0"":""-1""}",-1.0,Object,Red,-2,-1.0,Object_Red
18,18,wcc033bc,4,Before,Food_Red,"{""Q0"":""+2""}",2.0,Food,Red,2,0.0,Food_Red
19,19,wcc033bc,4,Before,Food_Yellow,"{""Q0"":""+1""}",1.0,Food,Yellow,-2,-3.0,Food_Yellow
20,20,wcc033bc,4,Before,Food_Green,"{""Q0"":""-1""}",-1.0,Food,Green,-1,0.0,Food_Green
21,21,wcc033bc,4,Before,Object_Red,"{""Q0"":""-2""}",-2.0,Object,Red,1,3.0,Object_Red
22,22,wcc033bc,4,Before,Object_Yellow,"{""Q0"":""+1""}",1.0,Object,Yellow,1,0.0,Object_Yellow
23,23,wcc033bc,4,Before,Animal_Red,"{""Q0"":""-1""}",-1.0,Animal,Red,-1,0.0,Animal_Red
24,24,wcc033bc,5,After,Animal_Green,"{""Q0"":""-2""}",-2.0,Animal,Green,1,3.0,Animal_Green
25,25,wcc033bc,5,After,Animal_Red,"{""Q0"":""+1""}",1.0,Animal,Red,-1,-2.0,Animal_Red
26,26,wcc033bc,5,After,Animal_Blue,"{""Q0"":""-2""}",-2.0,Animal,Blue,1,3.0,Animal_Blue
