,wid,image,chosen_value,point_value,correct
0,w2e9806f,car,1,1,True
1,wf57281a,car,-1,1,False
2,wc861d09,car,1,1,True
4,w3ef8767,car,1,1,True
5,wb050285,car,1,1,True
6,w2c5d7eb,car,1,1,True
7,w567d945,car,1,1,True
8,wbf71104,car,1,1,True
9,wdcba2fa,car,1,1,True
10,w06dc745,car,1,1,True
11,wd3b5cb5,car,1,1,True
12,wea422b2,car,1,1,True
14,w8b71afe,car,1,1,True
15,wea26d76,car,1,1,True
16,w28e335e,car,-1,1,False
17,w8d04c13,car,1,1,True
18,w882868f,car,1,1,True
19,w973e0a4,car,1,1,True
20,w38281a7,car,1,1,True
21,w15afaeb,car,-1,1,False
22,we820c40,car,1,1,True
23,wd1f6033,car,1,1,True
24,wa9588e1,car,-1,1,False
25,w417dedd,car,1,1,True
26,waf5ed76,car,1,1,True
30,wb83a52c,car,-1,1,False
31,wf9d56e4,car,-1,1,False
32,w00c391f,car,-1,1,False
33,wae73c1f,car,1,1,True
34,wbdee46f,car,1,1,True
35,wd1558cc,car,1,1,True
36,w0cf8802,car,1,1,True
37,w31b7dbe,car,1,1,True
38,w1efb25c,car,1,1,True
39,w017e3cd,car,1,1,True
40,w865d6ad,car,1,1,True
41,w4810e3e,car,1,1,True
43,w161eef2,car,1,1,True
45,wd9e76e4,car,1,1,True
46,w6355333,car,1,1,True
47,wa620fe2,car,1,1,True
48,w812d061,car,-1,1,False
49,wf9347d8,car,1,1,True
50,w5624f17,car,1,1,True
51,wad2e584,car,-1,1,False
52,wf2e46b5,car,1,1,True
53,wbff56f6,car,1,1,True
54,w3067c35,car,1,1,True
58,wc136bb6,car,-1,1,False
59,wa24f9fe,car,1,1,True
61,w51d8142,car,1,1,True
63,wf7e1cf2,car,1,1,True
64,w915dec2,car,1,1,True
65,w4e312fd,car,1,1,True
66,w0c6daff,car,1,1,True
67,w472a3b0,car,1,1,True
68,w7b672a4,car,1,1,True
70,wa06df17,car,1,1,True
71,w0e327f3,car,1,1,True
72,w1afb6bd,car,1,1,True
73,w08dda5e,car,-1,1,False
74,w49dc7cd,car,1,1,True
75,w7574933,car,1,1,True
76,w2e9806f,beachball,-1,-1,True
77,wf57281a,beachball,-1,-1,True
78,wc861d09,beachball,1,-1,False
80,w3ef8767,beachball,1,-1,False
81,wb050285,beachball,-1,-1,True
82,w2c5d7eb,beachball,-1,-1,True
83,w567d945,beachball,-1,-1,True
84,wbf71104,beachball,1,-1,False
85,wdcba2fa,beachball,1,-1,False
86,w06dc745,beachball,1,-1,False
87,wd3b5cb5,beachball,1,-1,False
88,wea422b2,beachball,-1,-1,True
90,w8b71afe,beachball,1,-1,False
91,wea26d76,beachball,-1,-1,True
92,w28e335e,beachball,-1,-1,True
93,w8d04c13,beachball,-1,-1,True
94,w882868f,beachball,-1,-1,True
95,w973e0a4,beachball,-1,-1,True
96,w38281a7,beachball,-1,-1,True
97,w15afaeb,beachball,-1,-1,True
98,we820c40,beachball,-1,-1,True
99,wd1f6033,beachball,-1,-1,True
100,wa9588e1,beachball,-1,-1,True
