"model","parameter","estimate","error","ci_50_lower","ci_50_upper","ci_80_lower","ci_80_upper","ci_95_lower","ci_95_upper"
"true","b_Intercept",0.236797436073082,0.0632623405024972,0.19494008179813,0.278782995085191,0.155261123911445,0.319104640704894,0.113474619227555,0.363474180061848
"true","b_value_z",0.729961527591497,0.0937849011319037,0.668450059218463,0.789763710153291,0.613461195081253,0.849175571508235,0.549272148762436,0.928754576221702
"true","sd_wid__Intercept",0.158714856554045,0.098811327217439,0.0792721358302651,0.226957255741037,0.033368821756311,0.293128468137952,0.00822979697406107,0.365943630739828
"true","sd_wid__value_z",0.501111352748998,0.113532125566136,0.424745504651454,0.572679528947344,0.361899780934324,0.649755090376427,0.284703345025117,0.734234177516611
"true","cor_wid__Intercept__value_z",-0.0433454407264023,0.47475683591301,-0.40383203073103,0.302527478597536,-0.687572148450934,0.607960737286033,-0.917174337882794,0.856250188201673
"true","Intercept",0.236797436073082,0.0632623405024972,0.19494008179813,0.278782995085191,0.155261123911445,0.319104640704894,0.113474619227555,0.363474180061848
"true","r_wid[w001d343,Intercept]",0.122297307048397,0.19647967009207,-0.00303572426490344,0.213298706119135,-0.0535549014936404,0.389140336988139,-0.152256656666033,0.620894808007159
"true","r_wid[w03114c0,Intercept]",0.0295518566544363,0.157014131707732,-0.0471523482250259,0.101537703322004,-0.13928967224162,0.224274998408313,-0.290798851170251,0.395996284789888
"true","r_wid[w0b2b304,Intercept]",-0.0284194218811336,0.181742854169995,-0.120287017767579,0.0600499325728422,-0.247872638996286,0.176140581439786,-0.424325086929165,0.346283177894628
"true","r_wid[w0bdd7c4,Intercept]",-0.0558675370901933,0.163379581298501,-0.131584067518864,0.0343649065910519,-0.277628434952959,0.115587544748831,-0.453047236008121,0.231588927411641
"true","r_wid[w0e7fb0a,Intercept]",0.00123505680814495,0.163430725154157,-0.070941929046445,0.0742630774844464,-0.187778222306914,0.182201025645215,-0.359815982336873,0.349645186224306
"true","r_wid[w0fc6501,Intercept]",0.059748268326762,0.177094971069924,-0.0318045619513716,0.139151250872945,-0.119418649828674,0.287987248275862,-0.269395105830121,0.495058733227934
"true","r_wid[w24cc88c,Intercept]",-0.0343361749717819,0.160153112867944,-0.109117712450793,0.0456333895956817,-0.235429307797652,0.140296820961033,-0.407659246037983,0.284768957156145
"true","r_wid[w27e5a42,Intercept]",-0.0130719111332852,0.14689549817274,-0.0870943400851501,0.0548375396883239,-0.184718433240562,0.155505230256385,-0.343640942263829,0.299779806545057
"true","r_wid[w28f36aa,Intercept]",-0.043977660795981,0.177063095782922,-0.12649024262386,0.046673452787976,-0.266311873885868,0.147382752679004,-0.470834503806153,0.293606967841876
"true","r_wid[w2b37aae,Intercept]",0.0151607659404879,0.161008994844178,-0.0625491170939406,0.0877981919983764,-0.166609870736062,0.208606504998432,-0.314797012807128,0.367772658772302
