"model","parameter","estimate","error","ci_50_lower","ci_50_upper","ci_80_lower","ci_80_upper","ci_95_lower","ci_95_upper"
"true","b_Intercept",0.423025436555593,0.101872602106537,0.354821346349637,0.49010006252888,0.295206981687563,0.552526346819024,0.225405651340817,0.627241723162548
"true","b_value_z",0.613560333400193,0.152166608656499,0.512130811458809,0.710261693257834,0.426539271143096,0.81219562391779,0.323161509768951,0.919653038839413
"true","sd_wid__Intercept",0.178634863367692,0.129434354551221,0.074623284670332,0.258288272145848,0.0299715610689762,0.35616409856082,0.00779847306177357,0.483618112569937
"true","sd_wid__value_z",0.710900751480973,0.193498408906362,0.582085015697597,0.829980850159945,0.47044896290494,0.964154298888687,0.343192839764264,1.10256399687833
"true","cor_wid__Intercept__value_z",0.203576216785829,0.522290232244651,-0.17908786011253,0.639865902820155,-0.59460349489498,0.847846792135106,-0.877982355150536,0.955057845555026
"true","Intercept",0.423025436555593,0.101872602106537,0.354821346349637,0.49010006252888,0.295206981687563,0.552526346819024,0.225405651340817,0.627241723162548
"true","r_wid[w04c1659,Intercept]",-0.0315670271796982,0.203265053732062,-0.123944663871949,0.0534442018336458,-0.273279394113559,0.178206715006523,-0.469074372435317,0.405104821062618
"true","r_wid[w0a90f7a,Intercept]",-0.0370685551236517,0.195022534492391,-0.123543073200808,0.0523495007228308,-0.269462561143099,0.157627224137379,-0.491644203470277,0.34491112309759
"true","r_wid[w13816ba,Intercept]",0.106668201678608,0.233134270911506,-0.0194025203023396,0.201890612242105,-0.10433250754141,0.399580077397361,-0.234542849520596,0.689235951472051
"true","r_wid[w192a97f,Intercept]",-0.0209628079073149,0.188529108705837,-0.0929170964956309,0.059945310675859,-0.241761614326158,0.180940514388018,-0.456914344673836,0.362553678515979
"true","r_wid[w1ad74ca,Intercept]",-0.0224218629400339,0.191793040592442,-0.0960476140128091,0.0670860570068001,-0.25027430335476,0.174793724748636,-0.479041318765135,0.360099160967182
"true","r_wid[w29215b1,Intercept]",-0.124538002677989,0.276447086086511,-0.259983390969452,0.030519480734444,-0.496129430368234,0.153255708244263,-0.793950576905941,0.326993454517898
"true","r_wid[w2b9a138,Intercept]",0.0443293069615123,0.226059180182289,-0.0573263780973545,0.138719622189702,-0.181890508423119,0.301478181541978,-0.38778139775959,0.579514833178714
"true","r_wid[w2d4c98d,Intercept]",0.00743339675130876,0.208830792928169,-0.0829210265003199,0.0911397877743639,-0.221500115188529,0.237437668144741,-0.429331905379751,0.482390915769745
"true","r_wid[w2f45fb6,Intercept]",0.0185284236709022,0.20631583399523,-0.0691360464729054,0.109885186667365,-0.205423883055253,0.25882584812986,-0.413383501443643,0.484130844247281
"true","r_wid[w2fdc513,Intercept]",-0.0503803394693938,0.195577367440188,-0.118320324831146,0.0392991782572894,-0.274992684894169,0.140645878697645,-0.554456458384826,0.29645825587621
"true","r_wid[w3946928,Intercept]",0.079114239372047,0.212201582416014,-0.0285776323670488,0.163599352534873,-0.115156188607192,0.33958953377509,-0.270572073427766,0.613641341551573
"true","r_wid[w47f6859,Intercept]",-0.106583365770785,0.238971890252725,-0.198021170065717,0.0201048739940426,-0.416475016759264,0.106406094721925,-0.712037735198708,0.271681937447379
"true","r_wid[w488be27,Intercept]",-0.106060216351805,0.236463616233284,-0.192390786278211,0.0177479040977671,-0.40918266719401,0.0995813528155466,-0.703373275273331,0.247588893141275
"true","r_wid[w4a643e0,Intercept]",0.040886497075889,0.200299477979118,-0.0480677852333589,0.115830122482787,-0.152510751165333,0.269575473681898,-0.346037784024705,0.518232397269684
"true","r_wid[w4b34871,Intercept]",0.0272810506819999,0.197084469002226,-0.0557084782264966,0.0998658936354027,-0.17449992846173,0.252048225148101,-0.374238752682905,0.478668504193418
"true","r_wid[w4bdc2df,Intercept]",-0.000934123244973191,0.204406044428695,-0.0782977702579292,0.0815601849119821,-0.224144656844892,0.21573367959638,-0.450386418535127,0.427425266296406
"true","r_wid[w4f4cbdd,Intercept]",0.0992381431976214,0.211618031066108,-0.0160776154104184,0.181269443824168,-0.087878107134681,0.369436514037039,-0.210851654773932,0.657693319963766
"true","r_wid[w502a382,Intercept]",0.068978828539717,0.21257721916867,-0.0330662615852716,0.143191897568904,-0.13028761850537,0.327180039337849,-0.297710000579871,0.61451484953044
"true","r_wid[w5317a1b,Intercept]",0.0492238917725387,0.203437918698136,-0.0506950549935475,0.123118679338639,-0.148212366390258,0.296313116969194,-0.300797917981863,0.551788090645258
"true","r_wid[w5ef243f,Intercept]",0.00230684519813103,0.196256285777036,-0.0815481056546502,0.0824843569809861,-0.2142159844745,0.219822864075684,-0.416514793183158,0.457260377792971
"true","r_wid[w608e33c,Intercept]",-0.0316922499799848,0.181822783969214,-0.102790990093819,0.0471296052007614,-0.255398908020501,0.155733099754046,-0.462173414955156,0.322506915395397
"true","r_wid[w65ed633,Intercept]",0.0266290396836365,0.191954076642757,-0.0598190716034627,0.104645696083096,-0.174250459013346,0.252665484611225,-0.354488944533025,0.461421993274842
"true","r_wid[w6b34a8b,Intercept]",0.0257890269867649,0.189638488331841,-0.0572477777949799,0.0962013416744703,-0.171456558927619,0.24151051145397,-0.35995037017187,0.476782978924229
"true","r_wid[w797a1e5,Intercept]",-0.0241551665730595,0.182794061836257,-0.0924669186924697,0.0549826970167973,-0.234717952197906,0.164142732213939,-0.469764610627257,0.339552824306783
"true","r_wid[w7c1d29f,Intercept]",-0.0450262199469332,0.19191910950368,-0.113304522416504,0.042830936681289,-0.264804427144972,0.14099052707243,-0.5283330113872,0.302057535506339
"true","r_wid[w7cfc37e,Intercept]",-0.0775797037662643,0.237168564011421,-0.178515537482215,0.0355692745042368,-0.379771870599953,0.151256814352395,-0.628834262152786,0.338904479756468
"true","r_wid[w8ad52eb,Intercept]",-0.0621971211395755,0.20523744175131,-0.1424655514341,0.0367224299063785,-0.320409707192702,0.141053245259988,-0.57557434919562,0.298417858589839
"true","r_wid[w8d56791,Intercept]",-0.00883271918933532,0.192155898808505,-0.0876760998530065,0.0709926048604914,-0.222850616404918,0.203272910008654,-0.442237003418716,0.383680087114709
"true","r_wid[w8e2568d,Intercept]",0.0460343434868378,0.197212623638036,-0.0459672338547164,0.114151380759111,-0.14690667948436,0.288535413816556,-0.305641674749093,0.534260132205669
"true","r_wid[w8f47681,Intercept]",-0.0505935050949325,0.198643987937656,-0.123381112879766,0.0464808986962342,-0.294531357274861,0.140247737010874,-0.543418467032502,0.300545053578385
"true","r_wid[w91e953e,Intercept]",-0.0830674219372751,0.207496846916872,-0.173682218033969,0.02899187116129,-0.354643665071793,0.117615608070247,-0.607151944858633,0.261450040332564
