,wid,overall_before_vs_last_before_unexpected,overall_before_vs_last_before_expected,overall_after_vs_last_before_unexpected,overall_after_vs_last_before_expected,overall_before_vs_last_after,overall_after_vs_last_after
0,w05f4989,-0.25,-0.25,-0.5,-0.5,,
1,wf2f2835,,,,,,
2,w01da968,0.0,0.0,-0.33333333333333337,-0.33333333333333337,,
3,wc0a4260,,,,,0.25,-0.16666666666666669
4,w9f7c438,,,,,,
5,we1b8e64,,,,,0.33333333333333337,0.08333333333333337
6,w2c1f2f7,0.15000000000000002,-0.25,0.15000000000000002,-0.25,,
7,wa79cf20,,,,,0.08333333333333337,0.08333333333333337
8,wdab535b,0.2666666666666666,0.6666666666666666,-0.4,0.0,,
9,w610dd08,-0.30000000000000004,-0.5,-0.050000000000000044,-0.25,,
10,we10d2c6,,,,,,
11,w182a5f6,,,,,,
12,wf63c50b,-0.8,-1.0,-0.30000000000000004,-0.5,,
13,wbc79189,,,,,0.16666666666666663,-0.08333333333333337
14,w51664f0,,,,,,
15,wf469935,,,,,0.5,0.5
16,we38f335,-0.30000000000000004,-0.5,-0.30000000000000004,-0.5,,
17,w0fd8c2c,,,,,0.08333333333333337,-0.41666666666666663
18,w4bf9dec,-0.5,-0.5,-0.25,-0.25,,
19,w35dbe71,-0.050000000000000044,-0.25,-0.55,-0.75,,
20,wdde7ef1,0.4,0.0,0.15000000000000002,-0.25,,
21,w2c75db7,,,,,0.33333333333333337,0.08333333333333337
22,w5f010fa,-0.09999999999999998,0.5,-0.35,0.25,,
23,w3fc2d2c,,,,,-0.25,-0.5
24,w0ef0b67,,,,,0.16666666666666666,0.16666666666666666
25,w5ab5786,,,,,,
26,wc73f4d8,-0.050000000000000044,0.75,-0.050000000000000044,0.75,,
27,w08f65eb,,,,,,
28,w6ea0c26,0.55,0.75,0.04999999999999999,0.25,,
29,w962c662,0.75,0.75,0.6666666666666666,0.6666666666666666,,
30,w63ea659,,,,,0.16666666666666663,-0.33333333333333337
31,wb2d9807,,,,,,
32,we2434bb,0.4,0.0,0.15000000000000002,-0.25,,
33,we58a710,,,,,0.0,-0.75
34,wb772565,0.6,0.0,0.35,-0.25,,
35,w30e05e4,,,,,0.08333333333333337,-0.41666666666666663
36,w6dd030e,,,,,-0.5833333333333334,-0.08333333333333337
37,w768a02c,0.6,0.0,0.09999999999999998,-0.5,,
38,w593f4a8,,,,,0.16666666666666663,-0.5
39,w7232115,0.15000000000000002,-0.25,0.06666666666666665,-0.33333333333333337,,
40,w31b60c3,-0.09999999999999998,-0.5,-0.35,-0.75,,
41,w0b3246f,,,,,-0.33333333333333337,-0.33333333333333337
42,w90f4896,,,,,0.08333333333333337,-0.41666666666666663
43,wd47555e,-0.050000000000000044,-0.25,-0.050000000000000044,-0.25,,
44,w4dce7b5,,,,,,
45,w1571d58,-0.09999999999999998,0.5,-0.09999999999999998,0.5,,
46,wc6f0e84,0.8,0.0,0.55,-0.25,,
47,w605fd50,0.35,-0.25,0.35,-0.25,,
