"model","parameter","estimate","error","ci_50_lower","ci_50_upper","ci_80_lower","ci_80_upper","ci_95_lower","ci_95_upper"
"before","b_Intercept",1.00177348735553,0.102734786142534,0.929753476264848,1.07019063486957,0.873087581696151,1.13429594393083,0.813123082466071,1.21305889158815
"before","sd_wid__Intercept",0.526410099837244,0.143810771886097,0.434606121932776,0.621634307224349,0.348768328014364,0.707517898685267,0.236369363425507,0.811039788015438
"before","Intercept",1.00177348735553,0.102734786142534,0.929753476264848,1.07019063486957,0.873087581696151,1.13429594393083,0.813123082466071,1.21305889158815
"before","r_wid[w022dd5a,Intercept]",-0.435187840240315,0.424122257431129,-0.712561956255198,-0.136424230257538,-0.998206912717383,0.0833572921207066,-1.32753055473195,0.336887666168645
"before","r_wid[w060c642,Intercept]",0.180329855936459,0.435851804652233,-0.10465131474612,0.455695245707221,-0.357693674327374,0.738954870441127,-0.645597823739175,1.09016443120441
"before","r_wid[w06d51ce,Intercept]",-0.171339503361905,0.421627775443318,-0.450472848441915,0.0974643775780089,-0.70609715433899,0.35819799172439,-1.03530719189428,0.662394187981594
"before","r_wid[w07271cc,Intercept]",0.594573240066945,0.479425382680298,0.262332355772237,0.877756752065032,0.0232962951071313,1.22395058853425,-0.222361485879622,1.65615932665916
"before","r_wid[w07f26c1,Intercept]",-0.426938334407354,0.419896954971763,-0.699685893145054,-0.133884809802251,-0.983188524270366,0.0889036838334909,-1.28756609919395,0.345327978526433
"before","r_wid[w16b46ff,Intercept]",-0.0988498691939467,0.436616337030935,-0.375097142799419,0.177986693146514,-0.661347843784628,0.451482068426122,-0.977953913755662,0.764510381610067
"before","r_wid[w1d52e8b,Intercept]",0.27753175262065,0.450073585657245,-0.0269091156502111,0.557205189147382,-0.274898815126999,0.873834003282033,-0.551225592167247,1.20865003681594
"before","r_wid[w1d9c2fb,Intercept]",-0.449341363054767,0.450853142143412,-0.73664090916055,-0.135693024452685,-1.04017406969391,0.0954115123111644,-1.3924541364829,0.40371390280175
"before","r_wid[w249e8ce,Intercept]",0.235270185249765,0.454866137331742,-0.0612206820965426,0.512215167895981,-0.302980617731414,0.841320780016592,-0.61214008477753,1.19899502165835
"before","r_wid[w299c268,Intercept]",0.281672863559318,0.434886886140925,-0.00452269625401421,0.550455386024267,-0.234899441638004,0.841981184079549,-0.536919066154349,1.21000822811823
"before","r_wid[w3002e39,Intercept]",0.243486009664902,0.461858280956179,-0.0623851593778239,0.523432050603306,-0.316049103460742,0.844707683148585,-0.598554619970722,1.23612373630592
"before","r_wid[w311c43d,Intercept]",-0.0988682116236499,0.423396978203478,-0.373986195158396,0.169861645823123,-0.630145745196498,0.416358062837803,-0.949779440215615,0.730673576292051
"before","r_wid[w367fa57,Intercept]",0.291827544696904,0.457491798198649,-0.0180833758042707,0.57936991910455,-0.257825797389048,0.85840109655346,-0.547478651475839,1.2786764552448
"before","r_wid[w38a9dbf,Intercept]",-0.165639229308849,0.40992952702847,-0.436406217975732,0.0992363900228818,-0.699908406596022,0.344186885591923,-0.994325275573578,0.622209636997912
"before","r_wid[w3acba24,Intercept]",-0.331074706424406,0.414450926427993,-0.59576692226139,-0.0576349720244673,-0.860575685767865,0.183569132940842,-1.1749943153296,0.459159556143261
"before","r_wid[w3c1c747,Intercept]",-0.436563718282944,0.405950542308834,-0.704690560512081,-0.153291015168311,-0.981891224289656,0.0590712785881018,-1.27315609298218,0.302694389981089
"before","r_wid[w4a66ba2,Intercept]",-0.277949411542974,0.434008941911252,-0.553965740465008,0.0133735881881893,-0.832407212618767,0.252488243353684,-1.14769005191418,0.557611083597447
"before","r_wid[w4a907eb,Intercept]",0.0910677650096595,0.41783565651958,-0.180923333657922,0.342723605518385,-0.425608064466363,0.616116784829999,-0.71930515678048,0.93748996297158
"before","r_wid[w4cc863f,Intercept]",-0.151376963959929,0.433699292602058,-0.427364307800126,0.132323682783631,-0.715441316253302,0.391941159894659,-1.045037816365,0.683298660027823
"before","r_wid[w4db7ccb,Intercept]",-0.14955052102834,0.442194553544356,-0.430976927434103,0.139077692955086,-0.706823685123233,0.387071002677998,-1.05047384322819,0.743787419110314
"before","r_wid[w4dd7b34,Intercept]",0.213232406998875,0.418952186608622,-0.059018357247988,0.466725189816113,-0.286049912797105,0.758062583166387,-0.558669999614722,1.10533381561999
"before","r_wid[w53209bb,Intercept]",-0.274602262661762,0.443170622229658,-0.550958978203441,0.0191169216381494,-0.842811986160117,0.274672983451505,-1.19287595267292,0.589398814594325
"before","r_wid[w54c2956,Intercept]",0.175818243995284,0.414215342254973,-0.10223933033895,0.4344232426794,-0.335384377979281,0.71422545240077,-0.609687189901127,1.04118136928005
"before","r_wid[w59c9d33,Intercept]",0.00651173976559711,0.399716632056456,-0.252950730497072,0.263628732738143,-0.492199003355705,0.502270788972584,-0.781922849587765,0.821746460551686
"before","r_wid[w5d6df14,Intercept]",-0.622155107140105,0.480166273068008,-0.923359657517234,-0.274604882364961,-1.24115612097115,-0.0257434227884627,-1.62327658862584,0.228654749501559
"before","r_wid[w61b360a,Intercept]",-0.279003453610772,0.406146013603779,-0.541617361579556,-0.00107565647722837,-0.804734396135947,0.226838885738589,-1.11103517765294,0.490047723788857
