model,parameter,estimate,error,ci_50_lower,ci_50_upper,ci_80_lower,ci_80_upper,ci_95_lower,ci_95_upper
rel_only,b_Intercept,7.507991586,0.044443805,7.477841901,7.53773511,7.452773273,7.564894569,7.420917941,7.594901982
rel_only,b_n_rel_mem_mean,0.227427475,0.062261399,0.185543308,0.269839717,0.147868383,0.308478473,0.107934029,0.350811613
rel_only,b_n_rel_mem_dev,0.024619397,0.011066642,0.01729774,0.032116944,0.010807396,0.038799945,0.00269487,0.046262741
rel_only,b_nback_performance_z,-0.000977196,0.045025906,-0.030694609,0.028817803,-0.057590633,0.058138658,-0.089236637,0.088732287
rel_only,sd_wid__Intercept,0.329438075,0.035216592,0.304695012,0.35198883,0.285579196,0.374284035,0.265780188,0.40411698
rel_only,sd_wid__n_rel_mem_dev,0.012428857,0.00951498,0.004965673,0.017866612,0.001998699,0.025728386,0.000524159,0.034948901
rel_only,cor_wid__Intercept__n_rel_mem_dev,-0.015853104,0.545496997,-0.4688668,0.439253919,-0.771892574,0.755759706,-0.930838463,0.92001213
rel_only,sigma,0.792359259,0.013266796,0.783387544,0.801244535,0.77533804,0.809791255,0.766684083,0.818721307
rel_only,ndt,0.368572792,0.346632662,0.111328428,0.513639861,0.039967411,0.850047227,0.010207898,1.265964762
rel_only,Intercept,7.507991586,0.044443805,7.477841901,7.53773511,7.452773273,7.564894569,7.420917941,7.594901982
rel_only,"r_wid[w00c391f,Intercept]",0.179862348,0.151699684,0.08104845,0.280666565,-0.019342652,0.375392321,-0.11737298,0.468406407
rel_only,"r_wid[w017e3cd,Intercept]",0.211470332,0.14455905,0.113685389,0.309709423,0.023309393,0.395721148,-0.071634422,0.489115306
rel_only,"r_wid[w06dc745,Intercept]",-0.394095456,0.145503014,-0.491636441,-0.297808546,-0.580232468,-0.212598746,-0.683364166,-0.106112754
rel_only,"r_wid[w08dda5e,Intercept]",-0.139405662,0.142408961,-0.232485076,-0.043814964,-0.321222828,0.046646079,-0.4249068,0.136262713
rel_only,"r_wid[w0c6daff,Intercept]",-0.277546516,0.148651729,-0.380479863,-0.174702542,-0.470696204,-0.086228668,-0.566234547,0.009421644
rel_only,"r_wid[w0cf8802,Intercept]",-0.142924558,0.151544069,-0.244395851,-0.043325315,-0.335522188,0.049724453,-0.43832255,0.159152296
rel_only,"r_wid[w0e327f3,Intercept]",0.421133918,0.165299055,0.309456723,0.531671555,0.206246329,0.634756887,0.106029335,0.745192016
rel_only,"r_wid[w15afaeb,Intercept]",0.648082298,0.147786065,0.549048812,0.74898906,0.458680491,0.83562583,0.349829548,0.93491177
rel_only,"r_wid[w161eef2,Intercept]",-0.064467493,0.151645324,-0.169588161,0.039417016,-0.256514548,0.132358578,-0.354945702,0.237591881
rel_only,"r_wid[w1afb6bd,Intercept]",-0.278360375,0.146268395,-0.374334137,-0.181712215,-0.467753512,-0.091167308,-0.570292119,0.017572023
rel_only,"r_wid[w1efb25c,Intercept]",0.215252231,0.139895542,0.12189297,0.308046126,0.032638678,0.3923914,-0.065000426,0.490964143
rel_only,"r_wid[w28e335e,Intercept]",0.109443624,0.143663287,0.011336213,0.208227916,-0.076997177,0.297496177,-0.166458303,0.385441608
rel_only,"r_wid[w2c5d7eb,Intercept]",-0.252599854,0.155291723,-0.353483582,-0.147768385,-0.449699864,-0.056817405,-0.561270148,0.049212107
rel_only,"r_wid[w2e9806f,Intercept]",0.455916471,0.145042428,0.359543036,0.551825898,0.271513027,0.64515927,0.169542273,0.744742645
rel_only,"r_wid[w3067c35,Intercept]",0.094079924,0.162856055,-0.016333696,0.202250276,-0.113524908,0.299512109,-0.22533441,0.413595674
rel_only,"r_wid[w31b7dbe,Intercept]",0.570239184,0.140820782,0.472846388,0.666923978,0.391668199,0.754298617,0.30396162,0.845411234
rel_only,"r_wid[w38281a7,Intercept]",0.038218061,0.152440865,-0.0628032,0.142109113,-0.158119438,0.230420398,-0.269954963,0.329648627
rel_only,"r_wid[w3ef8767,Intercept]",-0.084354469,0.143171395,-0.182640896,0.009778031,-0.267950095,0.100527793,-0.347552041,0.199698785
rel_only,"r_wid[w417dedd,Intercept]",0.054708185,0.157193042,-0.048938068,0.16329671,-0.145995497,0.25707544,-0.251956682,0.361320554
rel_only,"r_wid[w472a3b0,Intercept]",-0.148423599,0.136653813,-0.2408325,-0.057904898,-0.325113549,0.028071935,-0.415322254,0.118646599
rel_only,"r_wid[w4810e3e,Intercept]",0.298851741,0.147435371,0.198569271,0.397947795,0.110623207,0.489544049,0.007993788,0.584207237
rel_only,"r_wid[w49dc7cd,Intercept]",-0.004321582,0.138121119,-0.098313471,0.089000725,-0.176066911,0.17446574,-0.276955974,0.266333935
rel_only,"r_wid[w4e312fd,Intercept]",-0.325407349,0.15171932,-0.428513164,-0.222018689,-0.521748925,-0.13355844,-0.618173373,-0.029934912
rel_only,"r_wid[w51d8142,Intercept]",0.07963781,0.148256646,-0.018552472,0.178623339,-0.110306179,0.265202752,-0.206410978,0.37688921
rel_only,"r_wid[w5624f17,Intercept]",0.091601212,0.144176877,-0.00404063,0.189554239,-0.090387329,0.273843624,-0.194895396,0.379440428
rel_only,"r_wid[w567d945,Intercept]",0.280285727,0.14198356,0.180883947,0.375629342,0.101481759,0.467939575,0.011659456,0.565410051
rel_only,"r_wid[w6355333,Intercept]",-0.041944598,0.150768073,-0.144003773,0.058831727,-0.234247485,0.1509149,-0.338420393,0.252568864
rel_only,"r_wid[w7574933,Intercept]",0.032210332,0.158710173,-0.073952193,0.140012255,-0.17078365,0.233501823,-0.283982003,0.338092552
rel_only,"r_wid[w7b672a4,Intercept]",0.287298457,0.144959434,0.19212438,0.383893564,0.103536499,0.477199813,0.00322808,0.569906325
rel_only,"r_wid[w812d061,Intercept]",-0.557070653,0.158095485,-0.660579022,-0.447862451,-0.759737395,-0.355844147,-0.86912406,-0.255413705
rel_only,"r_wid[w865d6ad,Intercept]",-0.444554572,0.142763228,-0.539447687,-0.350210172,-0.627837529,-0.262749047,-0.72378089,-0.160324341
rel_only,"r_wid[w882868f,Intercept]",-0.508660004,0.152438187,-0.608130609,-0.409881,-0.705009972,-0.314491324,-0.808123764,-0.205611429
rel_only,"r_wid[w8b71afe,Intercept]",0.382060251,0.144123613,0.285530643,0.481370145,0.198519469,0.567094617,0.104396139,0.664587395
rel_only,"r_wid[w8d04c13,Intercept]",-0.136106539,0.146745447,-0.234717483,-0.040503502,-0.322360808,0.05717239,-0.419434425,0.153356049
rel_only,"r_wid[w915dec2,Intercept]",0.137472717,0.153166109,0.031812067,0.24082739,-0.062101324,0.333557838,-0.159341322,0.439743943
rel_only,"r_wid[w973e0a4,Intercept]",-0.364738927,0.19004834,-0.49732377,-0.239685275,-0.603699648,-0.117429015,-0.728091875,0.008160186
rel_only,"r_wid[wa06df17,Intercept]",0.235571387,0.141669083,0.137636554,0.331686289,0.055118075,0.414150791,-0.038102036,0.515014076
rel_only,"r_wid[wa24f9fe,Intercept]",0.197990046,0.146028724,0.099633761,0.298385091,0.008023942,0.383396386,-0.090225083,0.481072727
rel_only,"r_wid[wa620fe2,Intercept]",-0.018410056,0.138928109,-0.11527209,0.076262798,-0.194517927,0.159747559,-0.281900163,0.256223694
rel_only,"r_wid[wa9588e1,Intercept]",-0.301625643,0.145721155,-0.399162994,-0.204883832,-0.489671575,-0.113833941,-0.591512123,-0.017592654
rel_only,"r_wid[wad2e584,Intercept]",-0.252604906,0.141048016,-0.345932317,-0.155598621,-0.435241183,-0.073138784,-0.52573635,0.014464644
rel_only,"r_wid[wae73c1f,Intercept]",0.302829552,0.152052446,0.201579079,0.405623884,0.106469502,0.500141649,0.006830639,0.592010188
rel_only,"r_wid[waf5ed76,Intercept]",-0.433660904,0.148875538,-0.53531418,-0.332693005,-0.62164845,-0.2459758,-0.727019782,-0.141146112
rel_only,"r_wid[wb050285,Intercept]",-0.196061457,0.138492534,-0.29221986,-0.100629843,-0.372115509,-0.02055456,-0.4698285,0.075682081
rel_only,"r_wid[wb83a52c,Intercept]",0.277101894,0.150358549,0.174635786,0.377364847,0.082198745,0.470748058,-0.016987893,0.563709219
rel_only,"r_wid[wbdee46f,Intercept]",-0.004148945,0.139669418,-0.098469604,0.088167081,-0.181884843,0.1763229,-0.275217007,0.27643974
rel_only,"r_wid[wbf71104,Intercept]",0.008444477,0.143720862,-0.089983251,0.107502777,-0.177493311,0.193854228,-0.275359061,0.284274905
rel_only,"r_wid[wbff56f6,Intercept]",-0.011954917,0.147696348,-0.113139422,0.090402504,-0.203900808,0.177990455,-0.302691142,0.275041369
rel_only,"r_wid[wc136bb6,Intercept]",0.134855544,0.151161205,0.035535777,0.233099693,-0.063152287,0.328302439,-0.161931862,0.428153162
rel_only,"r_wid[wc861d09,Intercept]",0.428344901,0.147864591,0.328525652,0.526293622,0.240533155,0.616239168,0.145725593,0.720956862
rel_only,"r_wid[wd1558cc,Intercept]",0.108566415,0.174591535,-0.007515501,0.21896054,-0.110062602,0.33754477,-0.230711847,0.46012981
rel_only,"r_wid[wd1f6033,Intercept]",-0.138152164,0.141820456,-0.234487269,-0.037653545,-0.320538353,0.039371481,-0.413123777,0.13636534
rel_only,"r_wid[wd3b5cb5,Intercept]",0.301044011,0.180653136,0.178740894,0.423008901,0.068936346,0.528479697,-0.051383785,0.658812721
rel_only,"r_wid[wd9e76e4,Intercept]",-0.089105756,0.139776592,-0.18161636,0.004032652,-0.268765908,0.094199858,-0.366521477,0.184838489
rel_only,"r_wid[wdcba2fa,Intercept]",-0.405128176,0.142181042,-0.498949477,-0.307977406,-0.586304688,-0.226977822,-0.683214333,-0.12526387
rel_only,"r_wid[we820c40,Intercept]",-0.000206768,0.159548312,-0.110228145,0.112548973,-0.20537226,0.204733423,-0.321089714,0.304318937
rel_only,"r_wid[wea26d76,Intercept]",0.472377841,0.153304714,0.370030478,0.571844984,0.277627256,0.669886359,0.176836257,0.777361771
rel_only,"r_wid[wea422b2,Intercept]",0.149872544,0.152918482,0.048257916,0.250798789,-0.045719018,0.348387008,-0.152752105,0.449587972
rel_only,"r_wid[wf2e46b5,Intercept]",-0.611289642,0.143521881,-0.709753717,-0.513180575,-0.794744048,-0.425311234,-0.888462942,-0.329322378
rel_only,"r_wid[wf57281a,Intercept]",-0.092741577,0.134216344,-0.183796327,0.000123181,-0.266163399,0.080548547,-0.353465491,0.170497724
rel_only,"r_wid[wf7e1cf2,Intercept]",-0.082114527,0.158033453,-0.18871409,0.024955773,-0.2864382,0.121134874,-0.387451494,0.221758138
rel_only,"r_wid[wf9347d8,Intercept]",0.074290048,0.141752042,-0.019513615,0.168594086,-0.106715383,0.255031195,-0.204144319,0.357001933
rel_only,"r_wid[wf9d56e4,Intercept]",-0.473281676,0.145159739,-0.568615457,-0.376119768,-0.664461546,-0.286934575,-0.76869393,-0.190696715
rel_only,"r_wid[w00c391f,n_rel_mem_dev]",0.001504227,0.014335722,-0.004361087,0.006409198,-0.012863949,0.017030916,-0.025616168,0.035598358
rel_only,"r_wid[w017e3cd,n_rel_mem_dev]",-0.001519018,0.01409442,-0.006723111,0.004327179,-0.01739812,0.012959651,-0.033044617,0.025874106
rel_only,"r_wid[w06dc745,n_rel_mem_dev]",-0.000105365,0.016120422,-0.006244152,0.00638689,-0.016900458,0.016900435,-0.037323021,0.033566033
rel_only,"r_wid[w08dda5e,n_rel_mem_dev]",0.000763405,0.013957185,-0.004194893,0.005140344,-0.012669568,0.014929702,-0.027381293,0.03214582
rel_only,"r_wid[w0c6daff,n_rel_mem_dev]",-0.00143828,0.014953958,-0.006629783,0.004715918,-0.017543917,0.013905083,-0.03764257,0.02845601
rel_only,"r_wid[w0cf8802,n_rel_mem_dev]",-0.000941679,0.013829906,-0.005535127,0.004392944,-0.015296155,0.01312925,-0.034693934,0.027117173
rel_only,"r_wid[w0e327f3,n_rel_mem_dev]",-0.00252251,0.016239769,-0.008813924,0.004572337,-0.02100349,0.013807063,-0.041557512,0.029951599
rel_only,"r_wid[w15afaeb,n_rel_mem_dev]",0.000463298,0.020128294,-0.008412255,0.009222923,-0.022198815,0.02268508,-0.041558797,0.044945686
rel_only,"r_wid[w161eef2,n_rel_mem_dev]",-0.001203887,0.013514432,-0.005681118,0.003882684,-0.015475894,0.011186293,-0.033456252,0.02614833
rel_only,"r_wid[w1afb6bd,n_rel_mem_dev]",-6.13E-05,0.014560435,-0.005692939,0.005757044,-0.015404027,0.015434451,-0.033152544,0.031861915
rel_only,"r_wid[w1efb25c,n_rel_mem_dev]",-0.00042255,0.014240014,-0.005823096,0.004926194,-0.01519428,0.014925233,-0.032119337,0.030180093
rel_only,"r_wid[w28e335e,n_rel_mem_dev]",0.000996147,0.013818357,-0.004437202,0.005512593,-0.012890889,0.015644009,-0.025288555,0.034089449
rel_only,"r_wid[w2c5d7eb,n_rel_mem_dev]",0.000298601,0.01417527,-0.005496226,0.00586441,-0.014886038,0.015625717,-0.030069021,0.032209144
rel_only,"r_wid[w2e9806f,n_rel_mem_dev]",0.000240109,0.017055091,-0.007161993,0.007378866,-0.019045941,0.019334837,-0.036165068,0.036906931
rel_only,"r_wid[w3067c35,n_rel_mem_dev]",-0.000664468,0.013170001,-0.005158257,0.004487351,-0.015141721,0.013214267,-0.031556934,0.026752181
rel_only,"r_wid[w31b7dbe,n_rel_mem_dev]",-0.001980417,0.019304166,-0.010146512,0.007016778,-0.024903781,0.019341111,-0.046520192,0.035786579
rel_only,"r_wid[w38281a7,n_rel_mem_dev]",0.002874098,0.013892155,-0.003062433,0.00692716,-0.009797566,0.018900162,-0.021634331,0.037643538
rel_only,"r_wid[w3ef8767,n_rel_mem_dev]",-0.00217297,0.013653226,-0.006123714,0.003246091,-0.016909988,0.009885007,-0.036730031,0.022845064
rel_only,"r_wid[w417dedd,n_rel_mem_dev]",-0.000209284,0.013773341,-0.004649776,0.004983954,-0.013779864,0.0132397,-0.031359126,0.02972293
rel_only,"r_wid[w472a3b0,n_rel_mem_dev]",0.001348145,0.013340481,-0.004001496,0.005655842,-0.012007723,0.016010578,-0.024631737,0.032781686
rel_only,"r_wid[w4810e3e,n_rel_mem_dev]",-0.000681771,0.014637883,-0.006198074,0.005263029,-0.01672008,0.014384014,-0.033122892,0.030281418
rel_only,"r_wid[w49dc7cd,n_rel_mem_dev]",-0.00169372,0.01349229,-0.006016114,0.003235223,-0.015539636,0.010364553,-0.032333143,0.024984767
rel_only,"r_wid[w4e312fd,n_rel_mem_dev]",-0.000425648,0.015368088,-0.006407676,0.005805968,-0.01698938,0.015589763,-0.034296628,0.031615824
