"model","parameter","estimate","error","ci_50_lower","ci_50_upper","ci_80_lower","ci_80_upper","ci_95_lower","ci_95_upper"
"rel_only","b_Intercept",7.60684752527641,0.0229826589510304,7.59100319565335,7.62226416754066,7.57832694727771,7.63605938828922,7.56284382772257,7.65270688055604
"rel_only","b_n_rel_mem_dev",-0.0611177580737257,0.018400587658672,-0.0739059046333902,-0.0485905428763865,-0.0839873902114933,-0.0371490162227669,-0.0965551305097516,-0.0243826388379316
"rel_only","b_exp_versionexp_c1",-0.0557533933243251,0.0357424862253392,-0.0792129265413788,-0.0321474486977945,-0.102080448852234,-0.0103607713910606,-0.12500114817545,0.013318015163286
"rel_only","b_exp_versionexp_c2",0.0238275491825047,0.0295510074730226,0.00390587708769078,0.0434480046107795,-0.0146385744395498,0.0621521776300816,-0.0350930175129912,0.0812252576367047
"rel_only","b_multi_timeAfter",0.201342036668299,0.0217575055837667,0.186981386612226,0.216282491806726,0.17310594375568,0.229316469317997,0.158146118885327,0.243477212198082
"rel_only","b_n_rel_mem_mean",0.129421019148083,0.0706282852166751,0.0823768169676367,0.177572946403236,0.0399381022065179,0.221624519897706,-0.00855371203665287,0.267622478123768
"rel_only","b_nback_performance_z",-0.0445932839002729,0.02022539126673,-0.0578709895509842,-0.0315816660661193,-0.0706514449895027,-0.0188613915197235,-0.0832582031831055,-0.00399910777980771
"rel_only","b_n_rel_mem_dev:exp_versionexp_c1",0.027076579867764,0.0262856511985966,0.00918199373237705,0.0447177501976607,-0.0067289454105104,0.0607530096896751,-0.0253126442755405,0.0795794552272295
"rel_only","b_n_rel_mem_dev:exp_versionexp_c2",0.0232833925589978,0.0233396184510609,0.00782895122460434,0.0391736113563013,-0.00684927388812216,0.0535926952946299,-0.0217039567280708,0.0705069364812708
"rel_only","b_n_rel_mem_dev:multi_timeAfter",0.0464178924717174,0.0260337710237162,0.0296352207236727,0.0634761048559068,0.0128953462044331,0.0801001049138409,-0.00493728504958589,0.0971357335870675
"rel_only","b_exp_versionexp_c1:multi_timeAfter",-0.00481045634653053,0.0317417604587702,-0.0267590740529315,0.0174292436214974,-0.0455751602301294,0.0358748866996006,-0.0661659858598975,0.0571805307278719
"rel_only","b_exp_versionexp_c2:multi_timeAfter",-0.164061689768343,0.027563675813813,-0.182668733627892,-0.145430321442073,-0.199540967890346,-0.128833098586166,-0.217611095741251,-0.109648649801487
"rel_only","b_exp_versionexp_c1:n_rel_mem_mean",0.0632252444146861,0.108958259250338,-0.0110110864909966,0.134552536499321,-0.0755409115089703,0.204672228296501,-0.141414730120615,0.283101566975773
"rel_only","b_exp_versionexp_c2:n_rel_mem_mean",0.161783606327463,0.0947065491244976,0.0989648149329625,0.224601199402928,0.0395673268388571,0.282778608084839,-0.0248492524355966,0.342973674798162
"rel_only","b_multi_timeAfter:n_rel_mem_mean",0.23185348355742,0.0612850008661213,0.190729131476127,0.273078845117252,0.153046958758152,0.310782701078798,0.110381661664174,0.351027698917471
"rel_only","b_n_rel_mem_dev:exp_versionexp_c1:multi_timeAfter",0.0234182093684878,0.0370235776876484,-0.00129961183346954,0.0480518004984734,-0.0239399404633442,0.0713314009850905,-0.0478449997154025,0.0953985592450289
"rel_only","b_n_rel_mem_dev:exp_versionexp_c2:multi_timeAfter",-0.0554177765209203,0.0333868851214915,-0.0780253271815258,-0.032763491782114,-0.0981712538629407,-0.0129341582821796,-0.119794921587861,0.0102572262571239
"rel_only","b_exp_versionexp_c1:multi_timeAfter:n_rel_mem_mean",-0.172105981250887,0.0914236093027491,-0.232748776857106,-0.111543710413702,-0.287451687544062,-0.0568336165513229,-0.356827491597018,0.00850122252571283
"rel_only","b_exp_versionexp_c2:multi_timeAfter:n_rel_mem_mean",-0.02171232683084,0.0812009753386324,-0.0788192390047014,0.0331933866608335,-0.123380812395481,0.0842761544561958,-0.177946689187312,0.138079016602593
"rel_only","sd_wid__Intercept",0.256821402542583,0.0189151267509239,0.243991312194957,0.269217809923388,0.232769235991278,0.281563484775603,0.22068729780911,0.295334937548154
"rel_only","sd_wid__n_rel_mem_dev",0.0373225885422521,0.0254077719088489,0.0165536435030017,0.0543214705584001,0.00625128702442052,0.0726661885280602,0.00164962633361766,0.0921369488488213
"rel_only","sd_wid__multi_timeAfter",0.0746902494684187,0.0439191107344589,0.0386086265805231,0.106401751599826,0.0155486082270273,0.133665437403362,0.00428967954774168,0.161202080452123
"rel_only","sd_wid__n_rel_mem_dev:multi_timeAfter",0.034207020955441,0.0259779454548109,0.0138546912762538,0.0488372033027816,0.00545072868368085,0.0701060188108438,0.00129191041747741,0.0954194574864935
"rel_only","cor_wid__Intercept__n_rel_mem_dev",-0.0912164912625323,0.352387731904887,-0.328613591588142,0.128908641020489,-0.559057901855851,0.37686472786066,-0.767218341669538,0.626264818902945
"rel_only","cor_wid__Intercept__multi_timeAfter",-0.250982500677137,0.308363895831998,-0.45907979483308,-0.0971641051221253,-0.596933198038036,0.167909918530279,-0.76375088874218,0.507431753244921
"rel_only","cor_wid__n_rel_mem_dev__multi_timeAfter",-0.0326482855332293,0.438485043669624,-0.369573387600883,0.299266839837666,-0.621037985277859,0.567290179186829,-0.819485929261416,0.776683288641665
"rel_only","cor_wid__Intercept__n_rel_mem_dev:multi_timeAfter",0.00361188841178627,0.396056384057948,-0.287780495167714,0.291536538659269,-0.527525012578853,0.533057391153134,-0.757971026217174,0.743251197269064
"rel_only","cor_wid__n_rel_mem_dev__n_rel_mem_dev:multi_timeAfter",-0.104350001646718,0.453205326041698,-0.465949175393664,0.237751268606484,-0.708862457938792,0.525163136099173,-0.86859336683923,0.77042832302868
"rel_only","cor_wid__multi_timeAfter__n_rel_mem_dev:multi_timeAfter",-0.0250782523821649,0.443236511704495,-0.36632289158398,0.32402169198194,-0.627485154213155,0.574946085974045,-0.811542361345931,0.795330606849654
"rel_only","sigma",0.575834218811771,0.00711529419493303,0.570810051144649,0.580644777955721,0.566850456525837,0.584934768994343,0.562268932305106,0.589612281412836
"rel_only","ndt",1.71994122390143,1.65931960851399,0.507772948736706,2.40494692471539,0.183314348437187,4.00998019621208,0.0468568336591216,6.26784269146022
"rel_only","Intercept",7.68343039340028,0.0195477154467897,7.66966575165237,7.69663501465922,7.65900300402169,7.70825623278483,7.64431292807956,7.72162374423735
"rel_only","r_wid[w0198d08,Intercept]",-0.108318731997209,0.132177883170218,-0.198487563429935,-0.0184147228612435,-0.277565131786786,0.0595472361613294,-0.365815400860058,0.150881795723982
"rel_only","r_wid[w01da968,Intercept]",-0.0648483764048881,0.178780623804112,-0.18871748790153,0.0584525146606506,-0.293811649198061,0.166292072052313,-0.412793208193093,0.280785994745946
"rel_only","r_wid[w022dd5a,Intercept]",-0.180858280040452,0.119239321004952,-0.260543960125653,-0.0986343942821163,-0.338675635978032,-0.0273976973550424,-0.422332959546261,0.041651953926646
"rel_only","r_wid[w02461c5,Intercept]",0.163609048978914,0.182647815081744,0.0413707515647196,0.287238906807968,-0.0691865540891882,0.393171710172025,-0.191678981045531,0.528518638532248
"rel_only","r_wid[w05ede5c,Intercept]",-0.101428773845432,0.125074646213975,-0.185352411422026,-0.0176275202173963,-0.263518195793088,0.0535637416427616,-0.350510893054738,0.145467038263959
"rel_only","r_wid[w05f4989,Intercept]",-0.0279517066508322,0.174909612616499,-0.151421154429381,0.092055156167783,-0.254067707719488,0.199424982626536,-0.366064226740431,0.320515562610582
"rel_only","r_wid[w060c642,Intercept]",-0.122425310295875,0.121610873324823,-0.204297760473782,-0.0388161425693861,-0.278261084166788,0.0333354918074075,-0.354218898893606,0.109469199531799
"rel_only","r_wid[w06d51ce,Intercept]",0.141406478277467,0.124948119311839,0.0582968183871257,0.224570176885445,-0.0204511594699883,0.299092698261238,-0.108940980006271,0.388942711847886
"rel_only","r_wid[w07271cc,Intercept]",0.392168085692896,0.123704866088851,0.306097690757421,0.473324282987783,0.232168417126652,0.549377185602335,0.154141221832297,0.637180524076648
"rel_only","r_wid[w07f26c1,Intercept]",0.0400865485598903,0.127596932440621,-0.0442785566283224,0.125973947269598,-0.120634147655701,0.200374616445764,-0.214234343322778,0.286279496456831
"rel_only","r_wid[w08f65eb,Intercept]",-0.120619353255771,0.175301598979628,-0.235644338376339,-0.00529896281973003,-0.340884468185348,0.103099145210004,-0.460305881514829,0.213968064404513
"rel_only","r_wid[w0a25e9c,Intercept]",0.285927118917082,0.122724221530588,0.199722172670876,0.370765715523063,0.131287350277965,0.44284367324266,0.0532158034100064,0.532529023897339
"rel_only","r_wid[w0b0ec85,Intercept]",-0.000861196922286774,0.193650074272725,-0.129102927010075,0.122829562458156,-0.247177844090189,0.245720501633486,-0.371961744235802,0.385566260651476
"rel_only","r_wid[w0b3246f,Intercept]",0.0865195293206897,0.17304488894973,-0.0269428255021748,0.200776836017441,-0.135646188105453,0.308012908198616,-0.255883598081396,0.422935368723055
"rel_only","r_wid[w0baed73,Intercept]",-0.0329276027610598,0.181898405008035,-0.156376978301181,0.0928155794745427,-0.261428873124555,0.198553671058456,-0.393142046215895,0.313250906315931
"rel_only","r_wid[w0c031fe,Intercept]",-0.212051949734551,0.118490282537245,-0.290936929478507,-0.134410652536952,-0.364094310933,-0.0587703684724581,-0.443399997078053,0.0198518730114309
"rel_only","r_wid[w0d04a41,Intercept]",0.205563056173287,0.176336505118806,0.0858265087175316,0.322765697082006,-0.0151426867926874,0.426302271305145,-0.137444231808443,0.556420708548719
"rel_only","r_wid[w0d62ec5,Intercept]",-0.150731625362492,0.164438527605654,-0.265088746568298,-0.0397975317814749,-0.362713996617014,0.0596555357413425,-0.473415996681383,0.175313057935505
"rel_only","r_wid[w0db2e6f,Intercept]",-0.19507439122765,0.171266679358904,-0.307293960686555,-0.0829019717448733,-0.416196329666447,0.0259836042401539,-0.530915619065513,0.137993382095621
"rel_only","r_wid[w0ef0b67,Intercept]",-0.0671340177971336,0.182128527911006,-0.190952935344464,0.0561104569589378,-0.294884500779568,0.168541720913918,-0.4341618037814,0.287476508395398
"rel_only","r_wid[w0fd8c2c,Intercept]",0.143350998652522,0.18270097115689,0.0273218157671403,0.25859716122511,-0.0866273725893908,0.372977381772808,-0.217787581758834,0.51328068103339
