"model","parameter","estimate","error","ci_50_lower","ci_50_upper","ci_80_lower","ci_80_upper","ci_95_lower","ci_95_upper"
"rel_only","b_Intercept",7.82592389269963,0.0219368711014754,7.8114605727418,7.84065276551296,7.79833151235856,7.85392188504144,7.78308326319643,7.86947804983836
"rel_only","b_n_rel_mem_dev",-0.0297935181199762,0.0114422167216334,-0.0374309343663614,-0.0222633203924733,-0.0443473875232482,-0.0152365267989227,-0.0521209475701425,-0.00760047662541098
"rel_only","b_exp_versionexp_c1",0.0265608142512894,0.0295195589640841,0.00676931062817041,0.0468431083766274,-0.0113826431510361,0.0643586844664668,-0.0313060413439466,0.0833285090229016
"rel_only","b_exp_versionexp_c2",0.0640721795541656,0.033578359596626,0.0425398747052948,0.0866276277087152,0.0207440405528689,0.1076516400827,-0.00302515393187931,0.130432486434431
"rel_only","b_n_rel_mem_mean",0.382551565933619,0.0567137877507386,0.345996366248078,0.420293914400028,0.309440677581691,0.452858258481483,0.265989341294539,0.492682927413177
"rel_only","b_nback_performance_z",0.0432158486232029,0.0220152479530428,0.0284584141238707,0.0579942768839452,0.0153708487756911,0.0714330960434642,0.00124000135096804,0.0864069240439386
"rel_only","b_n_rel_mem_dev:exp_versionexp_c1",-0.0320458978336363,0.01437707449438,-0.0419729702178227,-0.022408290674809,-0.0506376094250116,-0.0137564149825386,-0.0604237712892091,-0.00373176650948196
"rel_only","b_n_rel_mem_dev:exp_versionexp_c2",0.00387670535320484,0.0192096999729957,-0.00886071277524576,0.0168700813177653,-0.0202161518248146,0.0285718012188594,-0.0339427998533403,0.0417154186069588
"rel_only","b_exp_versionexp_c1:n_rel_mem_mean",0.0331956456243959,0.0800349619105296,-0.0226630634496363,0.0870189372191547,-0.0687278657868666,0.135731843943831,-0.123626941063818,0.184535213526436
"rel_only","b_exp_versionexp_c2:n_rel_mem_mean",-0.00137074830563123,0.0826213338499708,-0.0560561877562489,0.0545442911521502,-0.109132241031294,0.103412253603033,-0.164218601705679,0.156379088152324
"rel_only","sd_wid__Intercept",0.257577931698837,0.0166559593260828,0.246104995389634,0.268659763968519,0.236622134898758,0.278916217882393,0.226456420436657,0.292456037264317
"rel_only","sd_wid__n_rel_mem_dev",0.0164328485880194,0.0127570972827986,0.00640317493948608,0.0237849860588714,0.00242073631837981,0.0347942875231018,0.000636510436987363,0.0472225046985226
"rel_only","cor_wid__Intercept__n_rel_mem_dev",-0.0412744073681573,0.483679835814195,-0.396708244065437,0.301184400927255,-0.699302712342831,0.640392347956667,-0.918013393107341,0.894356667310135
"rel_only","sigma",0.550800172443789,0.00610708116276642,0.546715105811023,0.554866444867723,0.542901495619329,0.558770644957851,0.538990876947254,0.562846505533555
"rel_only","ndt",0.246174745892128,0.234319829143239,0.0723217174246744,0.346405422570722,0.0286637692749867,0.562587088328629,0.00660246491676861,0.880558954235451
"rel_only","Intercept",7.80412993713927,0.0205733767812547,7.79043043358646,7.81757115367045,7.77815070972468,7.83061592829428,7.76470219835081,7.84427376381405
"rel_only","r_wid[w001d343,Intercept]",0.014574596044489,0.0981206670204968,-0.0533586432552073,0.0798762048688309,-0.112161337230137,0.141738920843767,-0.171038670137586,0.210750065676257
"rel_only","r_wid[w03114c0,Intercept]",-0.310231850235997,0.0990029811497507,-0.376904731444697,-0.242030763875521,-0.436113702006783,-0.182655965970781,-0.500876229798794,-0.117560112464249
"rel_only","r_wid[w04c1659,Intercept]",0.114104947955961,0.131819504029514,0.0270730942206701,0.20374297260053,-0.055377332715837,0.28145358440568,-0.148349969329304,0.368462291324516
"rel_only","r_wid[w063688a,Intercept]",0.134460604743297,0.107265674506019,0.0606988180761053,0.206974546337067,-0.000977566267943673,0.274556346036136,-0.0716292967827913,0.346068448723989
"rel_only","r_wid[w06866f0,Intercept]",0.0275217465345842,0.104007850741999,-0.0414147177790579,0.0970183797069208,-0.110314023669662,0.161067107450163,-0.175405327879873,0.227520557319369
