"model","parameter","estimate","error","ci_50_lower","ci_50_upper","ci_80_lower","ci_80_upper","ci_95_lower","ci_95_upper"
"memory","b_Intercept",7.79575097889545,0.0386830302016077,7.76908160382829,7.8209932687011,7.74536256238628,7.84537538627093,7.72165005578467,7.87332399321216
"memory","b_n_total_memories_shown_c",0.0360799144280936,0.0167576968627265,0.0249501178309826,0.0470173752855497,0.0148991275614104,0.0574291214644331,0.00297810093592323,0.0696683728023204
"memory","sd_wid__Intercept",0.296221353557061,0.0299928447002529,0.275045929099696,0.315264950877615,0.259432210420904,0.335401384012207,0.242425180365277,0.360101692090749
"memory","sd_wid__n_total_memories_shown_c",0.066992741952458,0.0277788870263836,0.0478687854480951,0.0861331326281259,0.0298264726362346,0.102451665116632,0.011788654472851,0.120941288984066
"memory","cor_wid__Intercept__n_total_memories_shown_c",-0.330843393486003,0.290315198842559,-0.533128149505007,-0.137048460129712,-0.699730225830787,0.0261944437248174,-0.881823020042197,0.255045881681613
"memory","sigma",0.546552974739159,0.00919622588513144,0.539983402877779,0.55281617861214,0.534867378232256,0.558382570160519,0.529352439656606,0.564498556768784
"memory","ndt",0.476076079754919,0.452872483556939,0.143734284385679,0.677437434741319,0.0541686819492557,1.08856148508912,0.0141864370765897,1.68005169187424
"memory","Intercept",7.79575097889545,0.0386830302016077,7.76908160382829,7.8209932687011,7.74536256238628,7.84537538627093,7.72165005578467,7.87332399321216
"memory","r_wid[w001d343,Intercept]",0.101441194857365,0.100834871646806,0.0322088294972573,0.166959534778343,-0.0288582628753214,0.233245141717678,-0.0981860280150124,0.296395159046184
"memory","r_wid[w03114c0,Intercept]",-0.319896043247303,0.10247164812245,-0.388307616383699,-0.251406258421384,-0.454655430507581,-0.187015859426133,-0.520240275394636,-0.117925341925815
"memory","r_wid[w0b2b304,Intercept]",-0.027145870339296,0.0972829786466873,-0.0948521846978982,0.0375487283611528,-0.151685826545264,0.095384049872425,-0.214564955142153,0.167699076489777
"memory","r_wid[w0bdd7c4,Intercept]",-0.0477487414663574,0.10023296572058,-0.118006213484926,0.0201016326227982,-0.175697341204518,0.081388772680036,-0.245917770195607,0.145704909339883
"memory","r_wid[w0e7fb0a,Intercept]",-0.121809486020293,0.100378056800936,-0.190138082101797,-0.0530077812522939,-0.249644855256638,0.00694789760118664,-0.322616138086056,0.0685939566067531
